"","SampleID_frp","OrganismID","VisitNo","QAQC","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData","SiteComments","newStation","newLocation","SampleID_key","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","fixedLatStart","fixedLongStart","fixedLatEnd","fixedLongEnd","X","CommonName.x","subsample","Count","AdjCount","LAB_NAME","Date","effort","CPUE","Visit.Date2","year","month","OrganismCode","FishCode","Code_UCDAVIS","Code_YBFM","CommonName.y","Category","Species","Genus","Family","Order","Class","Phylum","Native","State.Status","Federal.Status","Status.Abrev","LifeStage","FishDiet","Legend_Clams","Legend_Fish_Color_hex","Legend_Fish","Legend_Macro","Legend_Meso","Analy","Analy2","CN","Legend2"
"1","MAC13-BRAD-29MAR2023",13,7543,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",27,11,9.7,857,7.5,32.5,0.68,1.16,25.2," 1=absent",1," Inside",NA," false"," ","BRAD-SS","Bradmoor Island",12571,"Trawl","MAC",""," "," 2= against flow"," Channel",1.1,NA,NA,NA,"","12:20","12:27",6,NA,NA,38.187651,121.914845,38.189511,121.912602,31511,44970,61081,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," true"," 1.Surface","1.Boat",5,5," "," Garmin 6",3," "," MAC AND NT OUT FOR 10 SEC TO AVOID SAV. MAC ENDED EARLY BECAUSE CHANNEL BECAME TOO SHALLOW",38.1827043333333,-121.923604,38.1845643333333,-121.921361,1539,"Aeshnidae larvae",100,1,1,"FRP","2023-03-29",85.0097960241627,0.011763350187498,2023-03-29,2023,3,"129","","","","Aeshnidae larvae","Invertebrate","","","Aeshnidae","Odonata","Insecta","Arthropoda","","","","","larvae",FALSE,"Present",NA,"","Insecta Larvae","Insecta","Odonata","Insecta","Aeshnidae larvae",""
"2","MAC11-LIBE-17AUG2023",13,8163,"true","Mudsucker","GU;DH;SH;AM;GN","Liberty Island","08/17/2023","LIBE_UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",75,26.1,4.15,208,7.3,7.8,0.09,0.54,13.3," 1=absent",2," Inside",NA," false"," guest is LS","LIBE-UNK","Liberty Island",13605,"Trawl","MAC",""," "," 2= against flow"," Channel",2.7,NA,NA,NA,"","07:54","07:59",5,NA,NA,38.30499,121.675888,38.307003,121.675907,31511,338356,351131,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," true"," 1.Surface","1.Boat",5,5," "," Garmin 6",4," "," had to redo MAC due to cod end being full of SAV",38.30499,-121.675888,38.307003,-121.675907,1006,"Aeshnidae larvae",25,1,4,"FRP","2023-08-17",67.4073703810241,0.0593406919360564,2023-08-17,2023,8,"129","","","","Aeshnidae larvae","Invertebrate","","","Aeshnidae","Odonata","Insecta","Arthropoda","","","","","larvae",FALSE,"Present",NA,"","Insecta Larvae","Insecta","Odonata","Insecta","Aeshnidae larvae",""
"3","MAC21-FLYW-27APR2023",13,7879,"true","Mudsucker","BA;AC;DC;ED;AE","Flyway Farms","04/27/2023","FLYW-CH-W","1=0-33% clouds","0=Calm; glassy"," NW"," 1=high slack",53,21.9,6.79,761,9.4,11.2,0.31,1.82,16.4," 1=absent",2," Inside",NA," false"," ","FLYW-CH-W","Yolo Flyway Farms",13112,"Trawl","MAC",""," "," 2= against flow"," Channel",1.2,NA,NA,NA,"","11:23","11:28",5,NA,NA,38.360976,121.643051,38.360859,121.645489,31506,292593,293669,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," true"," 1.Surface","1.Boat",11,11," "," Garmin 5",2," "," not enough distance for 10 min mac trawl. 1 large crayfish removed from mac trawl. ",38.360976,-121.643051,38.360859,-121.645489,2285,"Aeshnidae larvae",25,1,4,"FRP","2023-04-27",5.6775209808205,0.704532843385799,2023-04-27,2023,4,"129","","","","Aeshnidae larvae","Invertebrate","","","Aeshnidae","Odonata","Insecta","Arthropoda","","","","","larvae",FALSE,"Present",NA,"","Insecta Larvae","Insecta","Odonata","Insecta","Aeshnidae larvae",""
"4","MAC14-LOWE-16AUG2023",13,8208,"true","SeaArk","DD;SH;GN","Lower Yolo Ranch","08/16/2023","LOWE-CH-ENTRANCE-S","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",76,24.7,5.03,221,7.2,8,0.15,0.53,13.6," 1=absent",1," Inside",NA," false"," ","LOWE-CH-ENTRANCE-S","Lower Yolo Ranch",13637,"Trawl","MAC",""," "," 2= against flow"," Channel",2.3,NA,NA,NA,"","10:41","10:46",5,NA,NA,38.341124,121.665389,38.342191,121.665105,31511,303430,314403,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," true"," 1.Surface","1.Boat",5,5," 34-66%"," Garmin 6",4," "," MAC stopped short because cod end already 1/2 full of filamentous algae",38.341124,-121.665389,38.342191,-121.665105,2047,"Aeshnidae larvae",100,1,1,"FRP","2023-08-16",57.8991056900961,0.0172714239379185,2023-08-16,2023,8,"129","","","","Aeshnidae larvae","Invertebrate","","","Aeshnidae","Odonata","Insecta","Arthropoda","","","","","larvae",FALSE,"Present",NA,"","Insecta Larvae","Insecta","Odonata","Insecta","Aeshnidae larvae",""
"5","MAC14-LOWE-09MAY2023",15,7875,"true","Mudsucker","DMC;DD;GN;AAC","Lower Yolo Ranch","05/09/2023","LOWE-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",52,21.5,9.03,854,7.9,9.5,0.34,0.8,23.1," 1=absent",1," Inside",NA," false"," ","LOWE-CH-ENTRANCE-N","Lower Yolo Ranch",13101,"Trawl","MAC",""," "," 2= against flow"," Channel",1.6,NA,NA,NA,"","12:40","12:50",10,NA,NA,38.355932,121.652864,38.359371,121.651271,31511,30378,46532,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," true"," 1.Surface","1.Boat",5,5," 34-66%"," Garmin 6",3," "," mac veg < 1/3 cod end",38.3509853333333,-121.661623,38.3544243333333,-121.66003,2030,"American Shad",100,1,1,"FRP","2023-05-09",85.236685803136,0.0117320375678334,2023-05-09,2023,5,"902","AMESHA","ASH","AMS","American Shad","Fish","sapidissima","Alosa","Clupeidae","Clupeiformes","Actinopterygii","Chordata","Introduced","","","","",FALSE,"Present",NA,"American Shad","Fish Larvae","Fish Larvae","fish","fish","American Shad","American Shad"
"6","MAC23-HONK-15MAY2023",15,7957,"true","Kvichak","AC;ED;SH;AM","Honker-Spoonbill","05/15/2023","HONK-SPOON","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," W"," 2=ebb",39,18.5,9.56,167,7.9,18.8,0.24,0.94,7.3," 1=absent",2," Inside",NA," false"," ","HONK-SPOON","Honker-Spoonbill",13357,"Trawl","MAC",""," "," 2= against flow"," Channel",8,NA,NA,NA,"","14:33","14:43",10,NA,NA,38.069588,121.91151,38.065196,121.911073,31506,377783,408176,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",11,11," "," Garmin 6",5," "," ",38.069588,-121.91151,38.065196,-121.911073,2611,"American Shad",100,1,1,"FRP","2023-05-15",160.368861682228,0.00623562448164972,2023-05-15,2023,5,"902","AMESHA","ASH","AMS","American Shad","Fish","sapidissima","Alosa","Clupeidae","Clupeiformes","Actinopterygii","Chordata","Introduced","","","","",FALSE,"Present",NA,"American Shad","Fish Larvae","Fish Larvae","fish","fish","American Shad","American Shad"
"7","MAC13-MINE-27APR2023",15,7943,"true","Kvichak","DMC;GU;GN","Miner Slough","04/27/2023","MINE-M","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NA"," 2=ebb",62,16,9.88,112,7.5,10.8,0.5,0.35,5," 1=absent",1," Inside",NA," false"," ","MINE-M","Miner Slough",13320,"Trawl","MAC",""," "," 2= against flow"," Channel",6.5,NA,NA,NA,"","13:27","13:37",10,NA,NA,38.259928,121.643641,38.260851,121.64341,31511,807346,828692,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",5,5," "," Garmin 6",3," "," ",38.2549813333333,-121.6524,38.2559043333333,-121.652169,1728,"American Shad",100,2,2,"FRP","2023-04-27",112.632307487541,0.0177568944880334,2023-04-27,2023,4,"902","AMESHA","ASH","AMS","American Shad","Fish","sapidissima","Alosa","Clupeidae","Clupeiformes","Actinopterygii","Chordata","Introduced","","","","",FALSE,"Present",NA,"American Shad","Fish Larvae","Fish Larvae","fish","fish","American Shad","American Shad"
"8","MAC25-PEYT-13APR2023",16,7929,"true","Mudsucker","MA;ED;GU;AM","Peytonia-Suisun","04/13/2023","PEYT-PEYT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 2=ebb",30,17.2,8.61,2059,7.8,29.3,0.34,1.9,40," 1=absent",2," Inside",NA," false"," ","PEYT-PEYT","Peytonia-Suisun",13277,"Trawl","MAC",""," "," 2= against flow"," Channel",3.3,NA,NA,NA,"","13:43","13:53",10,NA,NA,38.230068,122.033946,38.226402,122.035253,31511,459047,481494,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",5,5," "," Garmin 6",3," "," ",38.2251213333333,-122.042705,38.2214553333333,-122.044012,2810,"Americorophium spinicorne",100,7,7,"FRP","2023-04-13",118.441741130556,0.0591007860335662,2023-04-13,2023,4,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"9","MAC14-WINT-22AUG2023",16,8144,"true","Mudsucker","AC;DH;SH;GN","Winter Island","08/22/2023","WINT-CH-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",113,22.9,6.23,1317,7.1,6,0.25,0.33,9," 1=absent",1," Inside",NA," false"," re-doing same location because other stations have too much SAV","WINT-CH-INT","Winter Island",13575,"Trawl","MAC",""," "," 2= against flow"," Channel",2,NA,NA,NA,"","09:55","10:05",10,NA,NA,38.029437,121.841304,38.031326,121.842422,31506,676871,694449,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",11,11," "," Garmin 6",NA," "," ",38.029437,-121.841304,38.031326,-121.842422,2174,"Americorophium spinicorne",100,5,5,"FRP","2023-08-22",92.750431041694,0.053908105265326,2023-08-22,2023,8,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"10","MAC13-DECK-11APR2023",16,7915,"true","SeaArk","GU;SH;GN","Decker Island","04/11/2023","DECK-CH-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," "," 2=ebb",76,15.3,8.57,169,7,11.1,0.13,0.43,11.3," 1=absent",2," Inside",NA," false"," ","DECK-CH-INT","Decker Island",13219,"Trawl","MAC",""," "," 2= against flow"," Channel",1.4,NA,50,NA,"","13:00","00:00",NA,NA,NA,38.084441,121.723933,NA,NA,31506,73337,77509,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","5.Boogie board",11,11," "," Garmin 5",2," "," ",38.084441,-121.723933,NA,NA,1621,"Americorophium spinicorne",100,4,4,"FRP","2023-04-11",9.8174770424681,0.407436654315252,2023-04-11,2023,4,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
