"","Legend","sharedRegion","newLoc2","GearTypeAbbreviation","tCatch"
"1","Chinook Salmon (fall)","Cache Slough Complex","Yolo
Flyway
Farms","Beach Seine",1
"2","Chinook Salmon (fall)","Cache Slough Complex","Yolo
Flyway
Farms","Lampara",1
"3","Chinook Salmon (fall)","Cache Slough Complex","Lower
Yolo
Ranch","Lampara",2
"4","Chinook Salmon (fall)","Cache Slough Complex","Stairsteps-
Liberty
Cut","Lampara",2
"5","Chinook Salmon (fall)","Cache Slough Complex","Liberty
Island","Beach Seine",2
"6","Chinook Salmon (fall)","Confluence","Winter
Island","Lampara",1
"7","Chinook Salmon (fall)","Confluence","Broad
Slough","Lampara",1
"8","Chinook Salmon (fall)","Confluence","Chipps
Island","Lampara",4
"9","Chinook Salmon (fall)","Confluence","Browns
Island","Lampara",1
"10","Chinook Salmon (fall)","E Suisun Marsh","Arnold
Slough","Lampara",1
"11","Chinook Salmon (fall)","E Suisun Marsh","Nurse-
Denverton","Lampara",1
"12","Chinook Salmon (fall)","Grizzly Bay","Tule
Red","Beach Seine",1
"13","Chinook Salmon (fall)","Grizzly Bay","Tule
Red","Lampara",2
"14","Chinook Salmon (fall)","Grizzly Bay","Grizzly
Bay","Lampara",1
"15","Chinook Salmon (fall)","Grizzly Bay","Ryer
Island","Lampara",4
"16","Chinook Salmon (fall)","Lower Sacramento-San Joaquin","Decker
Island","Lampara",2
"17","Chinook Salmon (fall)","Lower Sacramento-San Joaquin","Horseshoe
Bend","Beach Seine",105
"18","Chinook Salmon (fall)","Lower Sacramento-San Joaquin","Horseshoe
Bend","Lampara",1
"19","Chinook Salmon (late-fall)","Cache Slough Complex","Liberty
Island","Beach Seine",1
"20","Chinook Salmon (spring)","Cache Slough Complex","Yolo
Flyway
Farms","Beach Seine",1
"21","Chinook Salmon (spring)","Cache Slough Complex","Yolo
Flyway
Farms","Lampara",1
"22","Chinook Salmon (spring)","Confluence","Broad
Slough","Lampara",1
"23","Chinook Salmon (spring)","Lower Sacramento-San Joaquin","Horseshoe
Bend","Beach Seine",5
"24","Chinook Salmon (spring)","Lower Sacramento-San Joaquin","Webb Tract
Islands and
Berms","Lampara",3
"25","Chinook Salmon (tagged)","Lower Sacramento-San Joaquin","Webb Tract
Islands and
Berms","Lampara",1
"26","Longfin Smelt","Confluence","Honker-
Spoonbill","Otter Trawl",4
"27","Longfin Smelt","Grizzly Bay","Grizzly
Bay","Otter Trawl",3
"28",NA,"Grizzly Bay","Grizzly
Bay","Macrozooplankton",1
"29","Longfin Smelt","E Suisun Marsh","Blacklock
Marsh","Macrozooplankton",1
"30","Longfin Smelt","Grizzly Bay","Tule
Red","Macrozooplankton",25
"31","Longfin Smelt","Grizzly Bay","Grizzly
Bay","Macrozooplankton",123
"32","Longfin Smelt","Grizzly Bay","Ryer
Island","Macrozooplankton",4
