"","VisitNo","SampleID_key","SampleID_frp","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","Flagged_Data","QAQC.y","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","Visit.Date2","year","month","DateTime","Season","DepthSource2","DepthOfWater2","DepthOfWater3","DepthMeters","volume"
"1",7021,12021,"OTTTRA01-WTIB-03OCT2022","true","Trawl","OTTTRA",""," 1. No twists; snags; or tears"," 2= against flow"," ",7.5,NA,32,NA,"","08:30","08:40",10,NA,NA,38.093319,121.580124,38.094396,121.587584,29969,207168,237195,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," 1-33%"," Garmin 5",5,""," paired? n seine code 1",NA,"true","Kvichak","ED;SH;GP;KS","Webb Tract Island and Berms","10/03/2022","WTIB-CH-S","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",165,20.1,8.69,613,8,4.5,0.25,0.31,7," 2=low",1," Outside",NA," false"," ",2022-10-03,2022,10,"2022-10-03 08:30","Fall","",7.5,7.75,7.75,NA
"2",7022,12022,"OTTTRA02-WTIB-03OCT2022","true","Trawl","OTTTRA",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",7,NA,28,NA,"","09:13","09:21",8,NA,NA,38.093548,121.578889,38.09533,121.583804,29969,237204,266303,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," 1-33%"," Garmin 5",5,""," net looked funky at end; pulled; one of the lines got clipped into the other boards line; looked good 95% of trawl - code 2; dominant vegetation in net: egeden seine code 2",NA,"true","Kvichak","ED;SH;GP;KS","Webb Tract Island and Berms","10/03/2022","WTIB-CH-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",175,20.6,8.6,495,7.9,2.7,0.23,0.41,7.3," 2=low",1," Outside",NA," false"," ",2022-10-03,2022,10,"2022-10-03 09:13","Fall","",7,7.25,7.25,NA
"3",7023,12023,"OTTTRA03-WTIB-03OCT2022","true","Trawl","OTTTRA",""," 1. No twists; snags; or tears"," 2= against flow"," ",7.9,NA,28,NA,"","09:45","09:55",10,NA,NA,38.095128,121.58287,38.09583,121.585267,29969,266302,290790,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," 1-33%"," Garmin 5",3,""," dominant vegetation in net:egeden seine code 1",NA,"true","Kvichak","ED;SH;GP;KS","Webb Tract Island and Berms","10/03/2022","WTIB-CH-N","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," W"," 4=flood",172,20.8,8.61,403,7.8,2.3,0.23,0.48,6.9," 2=low",1," Outside",NA," false"," Paired: N",2022-10-03,2022,10,"2022-10-03 09:45","Fall","",7.9,8.15,8.15,NA
"4",7024,12024,"OTTTRA04-HORS-03OCT2022","true","Trawl","OTTTRA",""," 1. No twists; snags; or tears"," 2= against flow"," ",8,NA,32,NA,"","11:12","11:22",10,NA,NA,38.10133,121.709022,38.09689,121.708784,29969,290756,316481,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," 1-33%"," Garmin 5",5,""," dominant vegetation in net: egeden; line out= 32 seine code 1",NA,"true","Kvichak","ED;SH;GP;KS","Horseshoe Bend","10/03/2022","HORS-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",87,20.3,8.69,2487,7.8,5.6,0.15,0.31,6.6," 2=low",1," Inside",NA," false"," Paired: N",2022-10-03,2022,10,"2022-10-03 11:12","Fall","",8,8.25,8.25,NA
"5",7025,12026,"OTTTRA05-HORS-03OCT2022","true","Trawl","OTTTRA",""," 1. No twists; snags; or tears"," 2= against flow"," ",3.8,NA,16,NA,"","11:50","12:00",10,NA,NA,38.091663,121.708881,38.08847,121.709538,29969,316532,334961,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," ","1.Boat",NA,NA," 1-33%"," Garmin 5",6,""," seine code 1",NA,"true","Kvichak","ED;SH;GP;KS","Horseshoe Bend","10/03/2022","HORS-M","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",100,20.3,8.65,2655,7.8,7.9,0.16,0.24,6.4," 2=low",1," Inside",NA," false"," Paired? N",2022-10-03,2022,10,"2022-10-03 11:50","Fall","",3.8,4.05,4.05,NA
"6",7026,12027,"OTTTRA06-HORS-03OCT2022","true","Trawl","OTTTRA",""," 3. Complete twist; snag; or large tear"," 2= against flow"," ",5.2,NA,20,NA,"","12:23","12:30",7,NA,NA,38.082569,121.724908,38.082557,121.727869,29969,334359,346390,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," 0%"," Garmin 5",3,""," th dispose of a mystery clam before we could id it. flat; large dist btwn ridges; brown; w/ some white 3-4"" long. seine code 3 : net caught on log; rope wrapped in prop; cut rope; recovered all gear. mussel unid- anodonta sp. (id by ks on 10/4/22 using lab id guides) ",NA,"true","Kvichak","ED;SH;GP;KS","Horseshoe Bend","10/03/2022","HORS-S","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 1=high slack",69,20.3,8.85,3378,7.7,8.1,0.14,0.24,6.5," 2=low",1," Inside",NA," false"," Tide at high slack; still ""against"" the current because going against a strong wind. Paired? N",2022-10-03,2022,10,"2022-10-03 12:23","Fall","",5.2,5.45,5.45,NA
"7",7041,12041,"OTTTRA1-HONK-05OCT2022","true","Trawl","OTTTRA",""," 3. Complete twist; snag; or large tear"," 2= against flow"," ",5,NA,20,NA,"","07:46","07:56",NA,NA,NA,38.058414,121.903465,38.055666,121.895978,29969,516407,542279,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," >100%"," Garmin 5",4,""," gigantic peat ball couldn't get into boat. dumped sample; seine code 3",NA,"true","Kvichak","DMC;ED;GP","Honker-Spoonbill","10/05/2022","HONK-SPOON","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NE"," 4=flood",51,19.4,8.45,10961,7.7,13.2,0.23,0.39,8," 2=low",1," Inside",NA," false"," ",2022-10-05,2022,10,"2022-10-05 07:46","Fall","",5,5.25,5.25,NA
"8",7042,12042,"OTTTRA02-HONK-05OCT2022","true","Trawl","OTTTRA",""," 1. No twists; snags; or tears"," 2= against flow"," ",5.5,NA,20,NA,"","08:35","08:45",8.8,NA,NA,38.061215,121.908448,38.064778,121.910798,29969,542272,569388,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," 1-33%"," Garmin 5",4,""," 8 min 50 sec; pondweed veg (see picture)- southern naiad confirmed by shruti; seine code 1",NA,"true","Kvichak","DMC;ED;GP","Honker-Spoonbill","10/05/2022","HONK-SPOON","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NE"," 4=flood",48,19.3,8.32,12305,7.6,18.6,0.23,0.4,8.2," 2=low",1," Inside",NA," false"," ",2022-10-05,2022,10,"2022-10-05 08:35","Fall","",5.5,5.75,5.75,NA
"9",7043,12043,"OTTTRA03-HONK-05OCT2022","true","Trawl","OTTTRA",""," 1. No twists; snags; or tears"," 2= against flow"," ",5.2,NA,17,NA,"","09:12","09:22",10,NA,NA,38.054715,121.894713,38.057705,121.898992,29969,569387,601440,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," 1-33%"," Garmin 5",4,""," bryozoans in sample (not magnificient); dominant vegetation in net: ulvaspp; pondweed- naiad; egeden; seine code 1",NA,"true","Kvichak","DMC;ED;GP","Honker-Spoonbill","10/05/2022","HONK-SPOON","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NE"," 4=flood",30,19.4,8.33,11830,7.6,36.3,0.27,0.45,7.9," 2=low",1," Inside",NA," false"," ",2022-10-05,2022,10,"2022-10-05 09:12","Fall","",5.2,5.45,5.45,NA
"10",7044,12044,"OTTTRA04-CHIP-05OCT2022","true","Trawl","OTTTRA",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.8,NA,6,NA,"","09:59","10:09",10,NA,NA,38.061911,121.909987,38.066077,121.912391,29969,601435,625741,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," 0%"," Garmin 5",3,""," seine code 1",NA,"true","Kvichak","DMC;ED;GP","Chipps Island","10/05/2022","CHIP-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NE"," 4=flood",23,18.7,8.3,16673,7.7,33,0.35,0.61,8.2," 1=absent",1," Inside",NA," false"," ",2022-10-05,2022,10,"2022-10-05 09:59","Fall","",1.8,2.05,2.05,NA
