"","SampleID_frp","OrganismCode","OrganismId","SampleID_key","VisitNo","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","Flagged_Data","QAQC.y","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","Visit.Date2","year","month","DateTime","Season","DepthSource2","DepthOfWater2","DepthMeters","volume","SeineCode2","Casts","rotations","rotation.final","rpm","ave_vol","FishId","TotalCatch","PlusCount","IDer","IdDate","PercentSampled","FishCatchNotes","EntryOrder","FishLength","FishWeight","Hai","FinsHai","SkinHai","EyesHai","ParasiteHai","GillsHai","DeformHai","TagYear","TagSerial","AdClip","Mortality","FishLengthComments","FishCode","Code_UCDAVIS","Code_YBFM","CommonName","Category","Species","Genus","Family","Order","Class","Phylum","Native","State.Status","Federal.Status","Status.Abrev","LifeStage","FishDiet","Legend_Clams","Legend_Fish_Color_hex","Legend_Fish","Legend_Macro","Legend_Meso","Analy","Analy2","CN","length_count","fish4$SampleID_frp","fish4$CommonName","count_check","CPUEbySpp","CPUEbySpp2","tCPUE","PercentComp","fish5$SampleID_frp","fish5$CommonName"
"1","BEASEI01-BRAD-09MAY2023","164",329,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,56.25," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,15305,1,0,"","",NA,"",29663,37,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MOSQUI","MQF","MQF","Mosquitofish","Fish","affinis","Gambusia","Poeciliidae","Cyprinodontiformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mosquitofish","Fish Larvae","Fish Larvae","fish","fish","Mosquitofish",1,"BEASEI01-BRAD-09MAY2023","Mosquitofish",0,177.777777777778,177.777777777778,206933.333333333,0.000859106529209622,"BEASEI01-BRAD-09MAY2023","Mosquitofish"
"2","BEASEI01-HORS-01FEB2023","1361",1361,12308,7308,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",1,NA,7.5,15,"","08:30","",NA,NA,NA,38.098448,121.709436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 0%"," ",NA,""," not paired. gps 5; accuracy 7.7 ft. gps from phone. spc from 26 and 30 off for sonde #2",NA,"true","Mudsucker","DMC;ED;GU;GP","Horseshoe Bend","02/01/2023","HORS-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",27,8.2,10.65,232,7.6,28.5,0.34,0.6,16.7," 1=absent",2," Inside",NA," false"," LS - LEIGH SANDERS GUEST",2023-02-01,2023,2,"2023-02-01 08:30","Winter","",1,1,56.25," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14540,2,0,"","",NA,"",28369,40,NA,"true",0,0,0,0,0,0,NA,"","false","false","","CHISAL-F","","","Chinook Salmon (fall)","Fish","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Chinook Salmon (fall)","","","fish","fish","Chinook Salmon (fall)",2,"BEASEI01-HORS-01FEB2023","Chinook Salmon (fall)",0,355.555555555556,355.555555555556,1244.44444444444,0.285714285714286,"BEASEI01-HORS-01FEB2023","Chinook Salmon (fall)"
"3","BEASEI01-HORS-02MAR2023","1361",1361,12377,7357,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",1.1,NA,10.5,8.75,"","10:47","",NA,NA,NA,38.097354,121.709718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Mudsucker","AC;DMC;ED;GU;AM","Horseshoe Bend","03/02/2023","HORS-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",53,8.3,11.36,229,7.7,10.9,0.48,0.43,16.6," 1=absent",1," Inside",NA," false"," BA=BRIAN ARMSTRONG (GUEST)",2023-03-02,2023,3,"2023-03-02 10:47","Spring","",1.1,1.1,50.53125," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14705,59,0,"","",NA,"",28536,52,NA,"true",0,0,0,0,0,0,NA,"","false","false","","CHISAL-F","","","Chinook Salmon (fall)","Fish","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Chinook Salmon (fall)","","","fish","fish","Chinook Salmon (fall)",59,"BEASEI01-HORS-02MAR2023","Chinook Salmon (fall)",0,11675.9431045145,11675.9431045145,19393.9393939394,0.602040816326531,"BEASEI01-HORS-02MAR2023","Chinook Salmon (fall)"
"4","BEASEI01-HORS-03JAN2023","1361",1361,12241,7241,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",1,NA,6,15,"","09:10","",NA,NA,NA,38.098501,121.70949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 0%"," ",NA,""," gps #6; accuracy 3m. not paired. salmon! gps manually updated from geo-tagged photos taken that day - ed 21jul2023",NA,"true","Mudsucker","AC;ED;KS","Horseshoe Bend","01/03/2023","HORS-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NA"," 4=flood",15,9.5,9.83,126,7.5,64.3,0.43,0.71,14.7," 1=absent",2," Inside",NA," false"," ",2023-01-03,2023,1,"2023-01-03 09:10","Winter","",1,1,45," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14341,4,0,"","",NA,"",27983,37,NA,"true",0,0,0,0,0,0,NA,"CDFW_23FRP005","false","false","CDFW_23FRP005","CHISAL-F","","","Chinook Salmon (fall)","Fish","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Chinook Salmon (fall)","","","fish","fish","Chinook Salmon (fall)",4,"BEASEI01-HORS-03JAN2023","Chinook Salmon (fall)",0,888.888888888889,888.888888888889,2444.44444444444,0.363636363636364,"BEASEI01-HORS-03JAN2023","Chinook Salmon (fall)"
"5","BEASEI01-HORS-10MAY2023","175",437,13384,7984,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",1.1,NA,7.5,15,"","09:09","",NA,NA,NA,38.096885,121.709762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 0%"," ",NA,""," gps 6 accuracy 3m. mortality: spltai; splitai brought back to confirm id; 2 unids in vials; frp23-016: unid; frp23-017: spltai. gps calculated in 2023 sample inventory - ed 9/11/2023",NA,"true","Mudsucker","CB;AC;ED;AM","Horseshoe Bend","05/10/2023","HORS-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",33,14.9,9.56,122,7.6,6.4,0.75,0.25,6.9," 1=absent",2," Inside",NA," false"," ",2023-05-10,2023,5,"2023-05-10 09:09","Spring","",1.1,1.1,61.875," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,15202,1,0,"","",NA,"",30441,15,NA,"true",0,0,0,0,0,0,NA,"","false","false","","SACSUC","SKR","SASU","Sacramento Sucker","Fish","occidentalis","Catostomus","Catostomidae","Cypriniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Sacramento Sucker","Fish Larvae","Fish Larvae","fish","fish","Sacramento Sucker",1,"BEASEI01-HORS-10MAY2023","Sacramento Sucker",0,161.616161616162,161.616161616162,41373.7373737374,0.00390625,"BEASEI01-HORS-10MAY2023","Sacramento Sucker"
"6","BEASEI01-HORS-11APR2023","1361",1361,12537,7497,"true","Seine","BEASEI","","2. Partial twist; snag; or tear"," 2= against flow"," ",0.6,NA,12,13.25,"","13:13","",NA,NA,NA,38.081527,121.719113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%"," ",NA,""," seine code 2=lots of mud in cod end; needed to rinse net. salmon mortality. gps calculated in 2023 sample inventory by ed",NA,"true","Mudsucker","CB;AC;ED;GU","Horseshoe Bend","04/11/2023","HORS-M","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 2=ebb",58,14.7,10.12,166,7.6,14.3,0.19,0.54,11," 1=absent",1," Inside",NA," false"," Guest: Alec Strachan",2023-04-11,2023,4,"2023-04-11 13:13","Spring","",0.6,0.6,47.7," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,14947,25,0,"","",NA,"",28967,42,NA,"true",0,0,0,0,0,0,NA,"","false","false","","CHISAL-F","","","Chinook Salmon (fall)","Fish","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Chinook Salmon (fall)","","","fish","fish","Chinook Salmon (fall)",25,"BEASEI01-HORS-11APR2023","Chinook Salmon (fall)",0,5241.09014675052,5241.09014675052,9643.60587002097,0.543478260869565,"BEASEI01-HORS-11APR2023","Chinook Salmon (fall)"
"7","BEASEI01-HORS-15DEC2022","197",315,12124,7126,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.9,NA,7.5,10,"","09:20","",NA,NA,NA,38.098557,121.70943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 0%"," ",NA,""," gearid bs02; dominant vegetation in sample: egeden",NA,"true","Mudsucker","AC;DMC;ED;GP","Horseshoe Bend","12/15/2022","HORS-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",180,9.5,10.27,355,7.5,10.1,0.24,0.3,12.9," 1=absent",2," Inside",NA," false"," SECCHI DEEPER THAN DEPTH",2022-12-15,2022,12,"2022-12-15 09:20","Fall","",0.9,0.9,33.75," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14085,143,113,"","",NA,"",26563,59,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"BEASEI01-HORS-15DEC2022","Mississippi Silverside",0,42370.3703703704,42370.3703703704,42666.6666666667,0.993055555555555,"BEASEI01-HORS-15DEC2022","Mississippi Silverside"
"8","BEASEI01-HORS-30NOV2022","197",315,12216,7214,"true","Seine","BEASEI","","1. No twists; snags; or tears"," "," ",1,NA,10.75,8,"","09:23","",NA,NA,NA,38.097474,121.709693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 0%"," ",NA,""," gps 5; accuracy 2m. not paired",NA,"true","Mudsucker","AC;ED;GP;KS","Horseshoe Bend","11/30/2022","HORS-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",NA,11.1,10.41,3064,7.7,12.5,0.26,0.35,6," 1=absent",2," ",NA," false"," ",2022-11-30,2022,11,"2022-11-30 09:23","Fall","",1,1,43," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14280,231,201,"","",NA,"",27672,52,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"BEASEI01-HORS-30NOV2022","Mississippi Silverside",0,53720.9302325581,53720.9302325581,53720.9302325581,1,"BEASEI01-HORS-30NOV2022","Mississippi Silverside"
"9","BEASEI01-LIBE-08MAR2023","1361",1361,12383,7363,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",1,NA,11,15,"","07:50","",NA,NA,NA,38.242036,121.682167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired. ",NA,"true","Mudsucker","AC;ED;GU;AM;GP","Liberty Island","03/08/2023","LIBE_UNK","4=rain","1=wind 1-3 mph; scaley ripples"," NA"," 2=ebb",43,9.1,10.76,260,7.8,13.2,0.56,0.84,15," 1=absent",1," Inside",NA," false"," LS= LEIGH SANDERS (GUEST)",2023-03-08,2023,3,"2023-03-08 07:50","Spring","",1,1,82.5," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14723,2,0,"","",NA,"",28661,39,NA,"true",0,0,0,0,0,0,NA,"","false","false","","CHISAL-F","","","Chinook Salmon (fall)","Fish","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Chinook Salmon (fall)","","","fish","fish","Chinook Salmon (fall)",2,"BEASEI01-LIBE-08MAR2023","Chinook Salmon (fall)",0,242.424242424242,242.424242424242,242.424242424242,1,"BEASEI01-LIBE-08MAR2023","Chinook Salmon (fall)"
"10","BEASEI01-LIBE-25MAY2023","177",400,13487,8084,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",1.1,NA,11,15,"","12:32","",NA,NA,NA,38.241939,121.682273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 1-33%"," ",NA,""," secchi hit bottom. sacsuc and fish unid both in same vial. gps 6. not paired. sacsuc and unid identified at splitt - ma 5/26/2023",NA,"true","Mudsucker","DMC;ED;GU;AM","Liberty Island","05/25/2023","LIBE_UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",NA,17.9,11.68,113,8.8,4.7,0.11,0.22,5," 1=absent",2," Inside",NA," false"," ",2023-05-25,2023,5,"2023-05-25 12:32","Spring","",1.1,1.1,90.75," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,15424,2,0,"","",NA,"",30247,22,NA,"true",0,0,0,0,0,0,NA,"","false","false","","PRISCU","SCP","PRS","Prickly Sculpin","Fish","aspur","Cottus","Cottidae","Scorpaeniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Prickly Sculpin","Fish Larvae","Fish Larvae","fish","fish","Prickly Sculpin",2,"BEASEI01-LIBE-25MAY2023","Prickly Sculpin",0,220.385674931129,220.385674931129,122754.820936639,0.00179533213644524,"BEASEI01-LIBE-25MAY2023","Prickly Sculpin"
