"","SampleID_frp","OrganismCode","OrganismId","SampleID_key","VisitNo","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","Flagged_Data","QAQC.y","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","Visit.Date2","year","month","DateTime","Season","DepthSource2","DepthOfWater2","DepthOfWater3","DepthMeters","volume","rotations","rotation.final","rpm","ave_vol","FishId","TotalCatch","PlusCount","IDer","IdDate","PercentSampled","FishCatchNotes","EntryOrder","FishLength","FishWeight","Hai","FinsHai","SkinHai","EyesHai","ParasiteHai","GillsHai","DeformHai","TagYear","TagSerial","AdClip","Mortality","FishLengthComments","FishCode","Code_UCDAVIS","Code_YBFM","CommonName","Category","Species","Genus","Family","Order","Class","Phylum","Native","State.Status","Federal.Status","Status.Abrev","LifeStage","FishDiet","Legend_Clams","Legend_Fish_Color_hex","Legend_Fish","Legend_Macro","Legend_Meso","Analy","Analy2","CN","length_count","fish4$SampleID_frp","fish4$CommonName","count_check","CPUEbySpp","CPUEbySpp2","tCPUE","PercentComp","fish5$SampleID_frp","fish5$CommonName"
"1","BEASEI01-BRAD-09MAY2023","164",329,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,NA,15305,1,0,"","",NA,"",29663,37,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MOSQUI","MQF","MQF","Mosquitofish","Fish","affinis","Gambusia","Poeciliidae","Cyprinodontiformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mosquitofish","Fish Larvae","Fish Larvae","fish","fish","Mosquitofish",1,"BEASEI01-BRAD-09MAY2023","Mosquitofish",0,177.777777777778,177.777777777778,206933.333333333,0.000859106529209622,"BEASEI01-BRAD-09MAY2023","Mosquitofish"
"2","BEASEI01-BRAD-09MAY2023","197",315,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,NA,15303,535,505,"","",NA,"",29613,51,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"BEASEI01-BRAD-09MAY2023","Mississippi Silverside",0,95111.1111111111,95111.1111111111,206933.333333333,0.459621993127148,"BEASEI01-BRAD-09MAY2023","Mississippi Silverside"
"3","BEASEI01-BRAD-09MAY2023","216",371,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,NA,15307,1,1,"","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","MISSHR","MISSGRASS","SHRK","Grass Shrimp","Invertebrate","","Palaemonetes","Palaemonidae","Decapoda","Malacostraca","Arthropoda","Introduced","","","","adult",FALSE,"Present",NA,"","Decapoda Adult","Decapoda","Decapoda","Decapoda","Palaemonetes",NA,"BEASEI01-BRAD-09MAY2023","Grass Shrimp",NA,177.777777777778,0,206933.333333333,0,"BEASEI01-BRAD-09MAY2023","Grass Shrimp"
"4","BEASEI01-BRAD-09MAY2023","967",436,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,NA,15306,1,0,"","",NA,"",29664,58,NA,"true",0,0,0,0,0,0,NA,"","false","false","","SACPIK","SPM","SAPM","Sacramento Pikeminnow","Fish","grandis","Ptychocheilus","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Sacramento Pikeminnow","Fish Larvae","Fish Larvae","fish","fish","Sacramento Pikeminnow",1,"BEASEI01-BRAD-09MAY2023","Sacramento Pikeminnow",0,177.777777777778,177.777777777778,206933.333333333,0.000859106529209622,"BEASEI01-BRAD-09MAY2023","Sacramento Pikeminnow"
"5","BEASEI01-BRAD-09MAY2023","974",469,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,NA,15304,132,102,"","",NA,"",29649,20,NA,"true",0,0,0,0,0,0,NA,"","false","false","","SPLITT","ST","SPLT","Splittail","Fish","macrolepidotus","Pogonichthys","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Native","Moderate Concern","","MC","",FALSE,"Present",NA,"Sacramento Splittail","Fish Larvae","Fish Larvae","fish","fish","Sacramento Splittail",30,"BEASEI01-BRAD-09MAY2023","Splittail",0,23466.6666666667,23466.6666666667,206933.333333333,0.11340206185567,"BEASEI01-BRAD-09MAY2023","Splittail"
"6","BEASEI01-BRAD-09MAY2023","982",506,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,NA,15295,495,465,"","",NA,"",29592,22,NA,"true",0,0,0,0,0,0,NA,"","false","false","","THRSTI","STBK","TSS","Threespine Stickleback","Fish","aculeatus","Gasterosteus","Gasterosteidae","Gasterosteiformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Threespine Stickleback","Fish Larvae","Fish Larvae","fish","fish","Threespine Stickleback",30,"BEASEI01-BRAD-09MAY2023","Threespine Stickleback",0,88000,88000,206933.333333333,0.425257731958763,"BEASEI01-BRAD-09MAY2023","Threespine Stickleback"
"7","BEASEI01-HORS-01FEB2023","1361",1361,12308,7308,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",1,NA,7.5,15,"","08:30","",NA,NA,NA,38.098448,121.709436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 0%"," ",NA,""," not paired. gps 5; accuracy 7.7 ft. gps from phone. spc from 26 and 30 off for sonde #2",NA,"true","Mudsucker","DMC;ED;GU;GP","Horseshoe Bend","02/01/2023","HORS-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",27,8.2,10.65,232,7.6,28.5,0.34,0.6,16.7," 1=absent",2," Inside",NA," false"," LS - LEIGH SANDERS GUEST",2023-02-01,2023,2,"2023-02-01 08:30","Winter","",1,1,1,56.25,NA,NA,NA,NA,14540,2,0,"","",NA,"",28370,42,NA,"true",0,0,0,0,0,0,NA,"","false","false","","CHISAL-F","","","Chinook Salmon (fall)","Fish","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Chinook Salmon (fall)","","","fish","fish","Chinook Salmon (fall)",2,"BEASEI01-HORS-01FEB2023","Chinook Salmon (fall)",0,355.555555555556,355.555555555556,1244.44444444444,0.285714285714286,"BEASEI01-HORS-01FEB2023","Chinook Salmon (fall)"
"8","BEASEI01-HORS-01FEB2023","164",329,12308,7308,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",1,NA,7.5,15,"","08:30","",NA,NA,NA,38.098448,121.709436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 0%"," ",NA,""," not paired. gps 5; accuracy 7.7 ft. gps from phone. spc from 26 and 30 off for sonde #2",NA,"true","Mudsucker","DMC;ED;GU;GP","Horseshoe Bend","02/01/2023","HORS-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",27,8.2,10.65,232,7.6,28.5,0.34,0.6,16.7," 1=absent",2," Inside",NA," false"," LS - LEIGH SANDERS GUEST",2023-02-01,2023,2,"2023-02-01 08:30","Winter","",1,1,1,56.25,NA,NA,NA,NA,14541,1,0,"","",NA,"",28371,35,0,"true",0,0,0,0,0,0,NA,"","false","false","","MOSQUI","MQF","MQF","Mosquitofish","Fish","affinis","Gambusia","Poeciliidae","Cyprinodontiformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mosquitofish","Fish Larvae","Fish Larvae","fish","fish","Mosquitofish",1,"BEASEI01-HORS-01FEB2023","Mosquitofish",0,177.777777777778,177.777777777778,1244.44444444444,0.142857142857143,"BEASEI01-HORS-01FEB2023","Mosquitofish"
"9","BEASEI01-HORS-01FEB2023","197",315,12308,7308,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",1,NA,7.5,15,"","08:30","",NA,NA,NA,38.098448,121.709436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 0%"," ",NA,""," not paired. gps 5; accuracy 7.7 ft. gps from phone. spc from 26 and 30 off for sonde #2",NA,"true","Mudsucker","DMC;ED;GU;GP","Horseshoe Bend","02/01/2023","HORS-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",27,8.2,10.65,232,7.6,28.5,0.34,0.6,16.7," 1=absent",2," Inside",NA," false"," LS - LEIGH SANDERS GUEST",2023-02-01,2023,2,"2023-02-01 08:30","Winter","",1,1,1,56.25,NA,NA,NA,NA,14539,4,0,"","",NA,"",28365,52,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",4,"BEASEI01-HORS-01FEB2023","Mississippi Silverside",0,711.111111111111,711.111111111111,1244.44444444444,0.571428571428572,"BEASEI01-HORS-01FEB2023","Mississippi Silverside"
"10","BEASEI01-HORS-02MAR2023","1361",1361,12377,7357,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",1.1,NA,10.5,8.75,"","10:47","",NA,NA,NA,38.097354,121.709718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Mudsucker","AC;DMC;ED;GU;AM","Horseshoe Bend","03/02/2023","HORS-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",53,8.3,11.36,229,7.7,10.9,0.48,0.43,16.6," 1=absent",1," Inside",NA," false"," BA=BRIAN ARMSTRONG (GUEST)",2023-03-02,2023,3,"2023-03-02 10:47","Spring","",1.1,1.1,1.1,50.53125,NA,NA,NA,NA,14705,59,0,"","",NA,"",28561,41,NA,"true",0,0,0,0,0,0,NA,"","false","false","","CHISAL-F","","","Chinook Salmon (fall)","Fish","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Chinook Salmon (fall)","","","fish","fish","Chinook Salmon (fall)",59,"BEASEI01-HORS-02MAR2023","Chinook Salmon (fall)",0,11675.9431045145,11675.9431045145,19393.9393939394,0.602040816326531,"BEASEI01-HORS-02MAR2023","Chinook Salmon (fall)"
