"","Station","VisitNo","SampleID_key","SampleID_frp","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","Comments.x","Flagged_Data.x","QAQC.y","Boat","Crew","Location","Visit.Date","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","ID","Current","abbreviation","Lat","Lon","Region","Notes","site","sitetype","Region2","Comments.y","Flagged_Data.y","DateTime","year","month","Season"
"1","ARNO-CH-NE",6501,11122,"ZOOP21-ARNO-23MAY2022","true","Trawl","ZOOP",""," "," 2= against flow"," Channel edge",1.8,NA,NA,NA,"","10:08","10:13",5,NA,NA,38.180082,121.906045,38.178147,121.907807,26639,493899,501166,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat",5,9," ",6,4," ",NA,"true","Mudsucker","ED;GP;SS;KS","Arnold",2022-05-23,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 1=high slack",47,19.5,7.7,7877,7.1,11.3,0.11,0.5," 15.2"," 1=absent"," 2"," Inside"," "," false"," pH sensor not calibrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-23 10:08",2022,5,"Spring"
"2","ARNO-CH-NE",6501,11121,"MAC21-ARNO-23MAY2022","true","Trawl","MAC",""," "," 2= against flow"," Channel edge",1.6,NA,NA,NA,"","10:08","10:17",7,NA,NA,38.180082,121.906045,38.176818,121.90765,28946,800104,811250,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat",6,6," ",6,4," ",NA,"true","Mudsucker","ED;GP;SS;KS","Arnold",2022-05-23,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 1=high slack",47,19.5,7.7,7877,7.1,11.3,0.11,0.5," 15.2"," 1=absent"," 2"," Inside"," "," false"," pH sensor not calibrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-23 10:08",2022,5,"Spring"
"3","ARNO-CH-NE",6501,11123,"NT21-ARNO-23MAY2022","true","Trawl","NT",""," "," 2= against flow"," Channel edge",1.8,NA,NA,NA,"","10:08","10:13",5,NA,NA,38.180082,121.906045,38.178147,121.907807,NA,NA,NA,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat",NA,NA," ",6,4," Net and Codends were from DWR",NA,"true","Mudsucker","ED;GP;SS;KS","Arnold",2022-05-23,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 1=high slack",47,19.5,7.7,7877,7.1,11.3,0.11,0.5," 15.2"," 1=absent"," 2"," Inside"," "," false"," pH sensor not calibrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-23 10:08",2022,5,"Spring"
"4","ARNO-CH-NE",6502,11125,"ZOOP22-ARNO-23MAY2022","true","Trawl","ZOOP",""," "," 2= against flow"," Channel edge",1.4,NA,NA,NA,"","10:44","10:49",5,NA,NA,38.176605,121.907707,38.175063,121.906374,26639,501166,510106,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat",5,9," ",6,3," Flowmeter number not written down but used same one as other trawls from Arnold",NA,"true","Mudsucker","ED;GP;SS;KS","Arnold",2022-05-23,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 1=high slack",32,20.2,8.03,7829,7.2,11.9,0.13,0.53," 14.7"," 1=absent"," 2"," Inside"," "," false"," pH not calibrated  At 38.178091; 121.907943 - sign fell over; put back up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-23 10:44",2022,5,"Spring"
"5","ARNO-CH-NE",6502,11124,"MAC22-ARNO-23MAY2022","true","Trawl","MAC",""," "," 2= against flow"," Channel edge",1.4,NA,NA,NA,"","10:44","10:49",5,NA,NA,38.176605,121.907707,38.175063,121.906374,28946,811239,821309,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," 1.Surface","1.Boat",6,6," ",6,3," No flowmeter number written down but assumed same as other trawls in Arnold",NA,"true","Mudsucker","ED;GP;SS;KS","Arnold",2022-05-23,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 1=high slack",32,20.2,8.03,7829,7.2,11.9,0.13,0.53," 14.7"," 1=absent"," 2"," Inside"," "," false"," pH not calibrated  At 38.178091; 121.907943 - sign fell over; put back up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-23 10:44",2022,5,"Spring"
"6","ARNO-CH-NE",6502,11126,"NT22-ARNO-23MAY2022","true","Trawl","NT",""," "," 2= against flow"," Channel edge",1.4,NA,NA,NA,"","10:44","10:49",5,NA,NA,38.176605,121.907707,38.175063,121.906374,NA,NA,NA,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," 1.Surface","1.Boat",NA,NA," ",6,3," Used DWR net and codend",NA,"true","Mudsucker","ED;GP;SS;KS","Arnold",2022-05-23,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 1=high slack",32,20.2,8.03,7829,7.2,11.9,0.13,0.53," 14.7"," 1=absent"," 2"," Inside"," "," false"," pH not calibrated  At 38.178091; 121.907943 - sign fell over; put back up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-23 10:44",2022,5,"Spring"
"7","ARNO-CH-S",6503,11127,"MAC23-ARNO-23MAY2022","true","Trawl","MAC",""," "," 2= against flow"," Channel edge",1.2,NA,NA,NA,"","11:23","11:31",8.5,NA,NA,38.179997,121.906065,38.176914,121.907658,28946,821305,835758,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat",6,6," ",6,3," ",NA,"true","Mudsucker","ED;GP;SS;KS","Arnold",2022-05-23,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",49,19.9,7.86,7918,7.2,14.9,0.12,0.58," 14.9"," 1=absent"," 2"," Inside"," "," false"," pH not calibrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-23 11:23",2022,5,"Spring"
"8","ARNO-CH-S",6503,11128,"ZOOP23-ARNO-23MAY2022","true","Trawl","ZOOP",""," "," 2= against flow"," Channel edge",1.5,NA,NA,NA,"","11:23","11:28",5,NA,NA,38.179997,121.906065,38.178644,121.907158,26639,510106,518546,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat",5,9," ",6,3," ",NA,"true","Mudsucker","ED;GP;SS;KS","Arnold",2022-05-23,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",49,19.9,7.86,7918,7.2,14.9,0.12,0.58," 14.9"," 1=absent"," 2"," Inside"," "," false"," pH not calibrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-23 11:23",2022,5,"Spring"
"9","ARNO-CH-S",6503,11129,"NT23-ARNO-23MAY2022","true","Trawl","NT",""," "," 2= against flow"," Channel edge",1.5,NA,NA,NA,"","11:23","11:28",5,NA,NA,38.179997,121.906065,38.178644,121.907158,NA,NA,NA,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat",NA,NA," ",6,3," Nets and codend from DWR",NA,"true","Mudsucker","ED;GP;SS;KS","Arnold",2022-05-23,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",49,19.9,7.86,7918,7.2,14.9,0.12,0.58," 14.9"," 1=absent"," 2"," Inside"," "," false"," pH not calibrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-23 11:23",2022,5,"Spring"
"10","ARNO-CH-SE",6504,11131,"ZOOP24-ARNO-23MAY2022","true","Trawl","ZOOP",""," "," 2= against flow"," Channel",1,NA,NA,NA,"","11:57","12:01",5,NA,NA,38.180099,121.905779,38.18005,121.905734,26639,518546,524296,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat",5,9," ",6,3," Taken at breech at strong ebb; essentially a flux",NA,"true","Mudsucker","ED;GP;SS;KS","Arnold",2022-05-23,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",52,20.8,8.1,8027,7.2,12.6,0.1,0.68," 20.2"," 1=absent"," 2"," Inside"," "," false"," pH sensor not calibrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-23 11:57",2022,5,"Spring"
