"","test.SampleID","test.Geartype"
"1",NA,NA
"2","LAMOPE04-GRIZ-25APR2022","BIGLAM"
"3","LAMOPE05-GRIZ-25APR2022","BIGLAM"
"4","LAMOPE06-GRIZ-25APR2022","BIGLAM"
"5","LAMOPE04-GRIZ-19MAY2022","BIGLAM"
"6","LAMOPE05-GRIZ-19MAY2022","BIGLAM"
"7","LAMOPE06-GRIZ-19MAY2022","BIGLAM"
"8","LAMOPE08-RYER-25APR2022","BIGLAM"
"9","LAMOPE09-RYER-25APR2022","BIGLAM"
"10","LAMOPE07-RYER-19MAY2022","BIGLAM"
"11","LAMOPE08-RYER-19MAY2022","BIGLAM"
"12","LAMOPE09-RYER-19MAY2022","BIGLAM"
"13","LAMOPE01-TULE-19MAY2022","BIGLAM"
"14","LAMOPE02-TULE-19MAY2022","BIGLAM"
"15","LAMOPE03-TULE-19MAY2022","BIGLAM"
