"","Site_Gear_Season","Samples_to_80pct"
"1","Arnold Slough_BEASEI_Fall",2
"2","Arnold Slough_BEASEI_Spring",3
"3","Arnold Slough_LAMPARA_Fall",8
"4","Arnold Slough_LAMPARA_Spring",8
"5","Arnold Slough_LAMPARA_Winter",6
"6","Blacklock Marsh_LAMPARA_Fall",4
"7","Blacklock Marsh_LAMPARA_Spring",7
"8","Blacklock Marsh_LAMPARA_Winter",4
"9","Bradmoor Island_BEASEI_Fall",4
"10","Bradmoor Island_BEASEI_Spring",6
"11","Bradmoor Island_BEASEI_Winter",3
"12","Bradmoor Island_LAMPARA_Fall",4
"13","Bradmoor Island_LAMPARA_Spring",4
"14","Bradmoor Island_LAMPARA_Winter",4
"15","Broad Slough_LAMPARA_Fall",5
"16","Broad Slough_LAMPARA_Spring",5
"17","Broad Slough_LAMPARA_Winter",7
"18","Broad Slough_OTTTRA_Fall",4
"19","Broad Slough_OTTTRA_Summer",2
"20","Browns Island_LAMPARA_Fall",6
"21","Browns Island_LAMPARA_Spring",10
"22","Browns Island_LAMPARA_Winter",7
"23","Browns Island_OTTTRA_Fall",4
"24","Browns Island_OTTTRA_Summer",3
"25","Chipps Island_LAMPARA_Fall",6
"26","Chipps Island_LAMPARA_Spring",7
"27","Chipps Island_LAMPARA_Winter",6
"28","Chipps Island_OTTTRA_Fall",3
"29","Chipps Island_OTTTRA_Summer",4
"30","Decker Island_LAMPARA_Fall",3
"31","Decker Island_LAMPARA_Spring",3
"32","Decker Island_LAMPARA_Winter",3
"33","Grizzly Bay_LAMPARA_Fall",5
"34","Grizzly Bay_LAMPARA_Spring",7
"35","Grizzly Bay_LAMPARA_Winter",6
"36","Grizzly Bay_OTTTRA_Fall",3
"37","Grizzly Bay_OTTTRA_Summer",3
"38","Honker-Spoonbill_LAMPARA_Fall",6
"39","Honker-Spoonbill_LAMPARA_Spring",8
"40","Honker-Spoonbill_LAMPARA_Winter",8
"41","Honker-Spoonbill_OTTTRA_Fall",5
"42","Honker-Spoonbill_OTTTRA_Summer",3
"43","Horseshoe Bend_BEASEI_Fall",5
"44","Horseshoe Bend_BEASEI_Spring",6
"45","Horseshoe Bend_BEASEI_Winter",6
"46","Horseshoe Bend_LAMPARA_Fall",6
"47","Horseshoe Bend_LAMPARA_Spring",3
"48","Horseshoe Bend_LAMPARA_Winter",6
"49","Horseshoe Bend_OTTTRA_Fall",3
"50","Horseshoe Bend_OTTTRA_Summer",4
"51","Liberty Island_BEASEI_Fall",2
"52","Liberty Island_BEASEI_Spring",5
"53","Liberty Island_LAMPARA_Fall",7
"54","Liberty Island_LAMPARA_Spring",8
"55","Liberty Island_LAMPARA_Winter",5
"56","Lower Yolo Ranch_LAMPARA_Fall",7
"57","Lower Yolo Ranch_LAMPARA_Spring",9
"58","Lower Yolo Ranch_LAMPARA_Winter",6
"59","Nurse-Denverton_LAMPARA_Fall",6
"60","Nurse-Denverton_LAMPARA_Spring",12
"61","Nurse-Denverton_LAMPARA_Winter",5
"62","Peytonia-Suisun_LAMPARA_Fall",8
"63","Peytonia-Suisun_LAMPARA_Spring",9
"64","Peytonia-Suisun_LAMPARA_Winter",5
"65","Ryer Island_LAMPARA_Fall",5
"66","Ryer Island_LAMPARA_Spring",7
"67","Ryer Island_LAMPARA_Winter",8
"68","Ryer Island_OTTTRA_Fall",4
"69","Ryer Island_OTTTRA_Summer",4
"70","Stairsteps-Liberty Cut_LAMPARA_Fall",6
"71","Stairsteps-Liberty Cut_LAMPARA_Spring",7
"72","Stairsteps-Liberty Cut_LAMPARA_Winter",5
"73","Tule Red_BEASEI_Fall",2
"74","Tule Red_BEASEI_Spring",3
"75","Tule Red_BEASEI_Winter",3
"76","Tule Red_LAMPARA_Fall",6
"77","Tule Red_LAMPARA_Spring",10
"78","Tule Red_LAMPARA_Winter",7
"79","Tule Red_OTTTRA_Fall",5
"80","Tule Red_OTTTRA_Spring",5
"81","Tule Red_OTTTRA_Summer",3
"82","Webb Tract Islands and Berms_LAMPARA_Fall",3
"83","Webb Tract Islands and Berms_LAMPARA_Spring",3
"84","Webb Tract Islands and Berms_LAMPARA_Winter",5
"85","Webb Tract Islands and Berms_OTTTRA_Fall",2
"86","Webb Tract Islands and Berms_OTTTRA_Summer",3
"87","Wings Landing_BEASEI_Spring",2
"88","Wings Landing_LAMPARA_Fall",7
"89","Wings Landing_LAMPARA_Spring",6
"90","Wings Landing_LAMPARA_Winter",7
"91","Winter Island_LAMPARA_Fall",6
"92","Winter Island_LAMPARA_Spring",6
"93","Winter Island_LAMPARA_Winter",6
"94","Winter Island_OTTTRA_Fall",4
"95","Yolo Flyway Farms_LAMPARA_Fall",5
"96","Yolo Flyway Farms_LAMPARA_Spring",8
"97","Yolo Flyway Farms_LAMPARA_Winter",3
