"","Site_Gear_Season","Samples_to_90pct"
"1","Arnold Slough_BEASEI_Fall",3
"2","Arnold Slough_BEASEI_Spring",4
"3","Arnold Slough_LAMPARA_Fall",10
"4","Arnold Slough_LAMPARA_Spring",11
"5","Arnold Slough_LAMPARA_Winter",8
"6","Blacklock Marsh_LAMPARA_Fall",5
"7","Blacklock Marsh_LAMPARA_Spring",8
"8","Blacklock Marsh_LAMPARA_Winter",5
"9","Bradmoor Island_BEASEI_Fall",4
"10","Bradmoor Island_BEASEI_Spring",8
"11","Bradmoor Island_BEASEI_Winter",4
"12","Bradmoor Island_LAMPARA_Fall",5
"13","Bradmoor Island_LAMPARA_Spring",5
"14","Bradmoor Island_LAMPARA_Winter",4
"15","Broad Slough_LAMPARA_Fall",6
"16","Broad Slough_LAMPARA_Spring",6
"17","Broad Slough_LAMPARA_Winter",8
"18","Broad Slough_OTTTRA_Fall",5
"19","Broad Slough_OTTTRA_Summer",3
"20","Browns Island_LAMPARA_Fall",9
"21","Browns Island_LAMPARA_Spring",12
"22","Browns Island_LAMPARA_Winter",8
"23","Browns Island_OTTTRA_Fall",5
"24","Browns Island_OTTTRA_Summer",3
"25","Chipps Island_LAMPARA_Fall",6
"26","Chipps Island_LAMPARA_Spring",8
"27","Chipps Island_LAMPARA_Winter",7
"28","Chipps Island_OTTTRA_Fall",4
"29","Chipps Island_OTTTRA_Summer",5
"30","Decker Island_LAMPARA_Fall",3
"31","Decker Island_LAMPARA_Spring",3
"32","Decker Island_LAMPARA_Winter",4
"33","Grizzly Bay_LAMPARA_Fall",6
"34","Grizzly Bay_LAMPARA_Spring",9
"35","Grizzly Bay_LAMPARA_Winter",6
"36","Grizzly Bay_OTTTRA_Fall",5
"37","Grizzly Bay_OTTTRA_Summer",4
"38","Honker-Spoonbill_LAMPARA_Fall",7
"39","Honker-Spoonbill_LAMPARA_Spring",8
"40","Honker-Spoonbill_LAMPARA_Winter",9
"41","Honker-Spoonbill_OTTTRA_Fall",5
"42","Honker-Spoonbill_OTTTRA_Summer",4
"43","Horseshoe Bend_BEASEI_Fall",6
"44","Horseshoe Bend_BEASEI_Spring",7
"45","Horseshoe Bend_BEASEI_Winter",7
"46","Horseshoe Bend_LAMPARA_Fall",7
"47","Horseshoe Bend_LAMPARA_Spring",4
"48","Horseshoe Bend_LAMPARA_Winter",7
"49","Horseshoe Bend_OTTTRA_Fall",4
"50","Horseshoe Bend_OTTTRA_Summer",6
"51","Liberty Island_BEASEI_Fall",2
"52","Liberty Island_BEASEI_Spring",6
"53","Liberty Island_LAMPARA_Fall",8
"54","Liberty Island_LAMPARA_Spring",10
"55","Liberty Island_LAMPARA_Winter",6
"56","Lower Yolo Ranch_LAMPARA_Fall",9
"57","Lower Yolo Ranch_LAMPARA_Spring",12
"58","Lower Yolo Ranch_LAMPARA_Winter",7
"59","Nurse-Denverton_LAMPARA_Fall",8
"60","Nurse-Denverton_LAMPARA_Spring",14
"61","Nurse-Denverton_LAMPARA_Winter",6
"62","Peytonia-Suisun_LAMPARA_Fall",9
"63","Peytonia-Suisun_LAMPARA_Spring",10
"64","Peytonia-Suisun_LAMPARA_Winter",6
"65","Ryer Island_LAMPARA_Fall",7
"66","Ryer Island_LAMPARA_Spring",9
"67","Ryer Island_LAMPARA_Winter",9
"68","Ryer Island_OTTTRA_Fall",4
"69","Ryer Island_OTTTRA_Summer",4
"70","Stairsteps-Liberty Cut_LAMPARA_Fall",8
"71","Stairsteps-Liberty Cut_LAMPARA_Spring",9
"72","Stairsteps-Liberty Cut_LAMPARA_Winter",5
"73","Tule Red_BEASEI_Fall",3
"74","Tule Red_BEASEI_Spring",3
"75","Tule Red_BEASEI_Winter",4
"76","Tule Red_LAMPARA_Fall",7
"77","Tule Red_LAMPARA_Spring",12
"78","Tule Red_LAMPARA_Winter",9
"79","Tule Red_OTTTRA_Fall",6
"80","Tule Red_OTTTRA_Spring",6
"81","Tule Red_OTTTRA_Summer",4
"82","Webb Tract Islands and Berms_LAMPARA_Fall",4
"83","Webb Tract Islands and Berms_LAMPARA_Spring",3
"84","Webb Tract Islands and Berms_LAMPARA_Winter",6
"85","Webb Tract Islands and Berms_OTTTRA_Fall",2
"86","Webb Tract Islands and Berms_OTTTRA_Summer",4
"87","Wings Landing_BEASEI_Spring",2
"88","Wings Landing_LAMPARA_Fall",8
"89","Wings Landing_LAMPARA_Spring",8
"90","Wings Landing_LAMPARA_Winter",9
"91","Winter Island_LAMPARA_Fall",7
"92","Winter Island_LAMPARA_Spring",7
"93","Winter Island_LAMPARA_Winter",6
"94","Winter Island_OTTTRA_Fall",4
"95","Yolo Flyway Farms_LAMPARA_Fall",7
"96","Yolo Flyway Farms_LAMPARA_Spring",9
"97","Yolo Flyway Farms_LAMPARA_Winter",4
