"","Station","VisitNo","SampleID_key","SampleID_frp","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","Comments.x","Flagged_Data.x","QAQC.y","Boat","Crew","Location","Visit.Date","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","ID","Current","abbreviation","Lat","Lon","Region","Notes","site","sitetype","Region2","Comments.y","Flagged_Data.y","Visit.Date2","DateTime","year","month","Season"
"1","ARNO-CH-M",6709,11548,"LAMOPE04-ARNO-25MAY2022","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",0.9,NA,NA,NA,"","10:09","",NA,NA,NA,38.175433,121.907699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Crew Members and Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 1-33%",NA,NA," gps 6 accuracy 3m; Paired N; dominant veg in net FILALG 1-33%; Code 2 due to twist in net; HARMUD found on deck but not sure if from this sampling event/site",NA,"true","Chinook","ED;EL;GP;KS","Arnold",2022-05-25,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 4=flood",38,21.4,6.95,8087,7.4,17.3,0.18,0.81,19.5," 1=absent",1," Inside",NA," false"," no random points done ; code 2 net twisted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-25,"2022-05-25 10:09",2022,5,"Spring"
"2","ARNO-CH-M",6710,11549,"LAMOPE05-ARNO-25MAY2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.7,NA,NA,NA,"","10:33","",NA,NA,NA,38.177216,121.907694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 1-33%",NA,NA," gps 6 accuracy 3m; dominant veg in net: STUPEC; FILALG 1-33%; Seine deployment not selected on datasheet; GearID LAM03; Paired N",NA,"true","Chinook","ED;EL;GP;KS","Arnold",2022-05-25,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 4=flood",38,21.4,7.41,7872,7.5,17.1,0.14,0.7,16.5," 1=absent",1," Inside",NA," false"," site was not a randomly generated point",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-25,"2022-05-25 10:33",2022,5,"Spring"
"3","ARNO-CH-NE",6643,11464,"LAMOPE05-ARNO-28APR2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1,NA,NA,NA,"","12:46","",NA,NA,NA,38.175505,121.907764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%",NA,NA," gps 6 accuracy 3m",NA,"true","Mudsucker","MA;DC;ED;KS","Arnold",2022-04-28,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",21,17.1,9.07,4465,7.7,37.1,0.32,0.89,14.2," 1=absent",2," Inside",NA," false"," random generated spots inaccessible; chose spot for lampara based on feasibility. Paired? N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-28,"2022-04-28 12:46",2022,4,"Spring"
"4","ARNO-CH-S",7155,12156,"LAMOPE09-ARNO-21DEC2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," "," ",2.1,NA,NA,NA,"","12:23","",NA,NA,NA,38.176481,121.907443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 1-33%",NA,NA," GPS 5; ACCURACY 2M. NOT PAIRED. DOMINANT VEGETATION IN NET: FILALG",NA,"false","Mudsucker","AC;DMC;SH;KS","Arnold",2022-12-21,"5=fog","1=wind 1-3 mph; scaley ripples"," NE"," 1=high slack",56,8.6,10.5,6562,7.4,12.6,0.29,0.61,15.3," 1=absent",2," Inside",NA," false"," HEXAGON 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-21,"2022-12-21 12:23",2022,12,"Fall"
"5","ARNO-CH-SE",6641,11462,"LAMOPE04-ARNO-28APR2022","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",NA,NA,NA,NA,"","11:37","",NA,NA,NA,38.179359,121.906276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%",NA,NA," no depth recorded; seine code 2: high flow caused lampara to flow away from boat as we approached it ",NA,"true","Mudsucker","MA;DC;ED;KS","Arnold",2022-04-28,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",15,15.2,9,5226,7.5,56.9,0.41,1.17,19.7," 1=absent",2," Inside",NA," false"," Paired? N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-28,"2022-04-28 11:37",2022,4,"Spring"
"6","ARNO-CH-SE",6711,11550,"LAMOPE06-ARNO-25MAY2022","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",1.8,NA,NA,NA,"","10:57","",NA,NA,NA,38.179148,121.90664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%",NA,NA," gps 6 accuracy 3m; code 2 due to high flows causing net to be too narrow",NA,"true","Chinook","ED;EL;GP;KS","Arnold",2022-05-25,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 4=flood",46,21.8,7.14,8031,7.5,12.8,0.15,0.68,19.1," 1=absent",1," Inside",NA," false"," code 2 net was narrow due to high flow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-25,"2022-05-25 10:57",2022,5,"Spring"
"7","ARNO-UNK",7153,12154,"LAMOPE07-ARNO-21DEC2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.1,NA,NA,NA,"","11:44","",NA,NA,NA,38.178305,121.901662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 1-33%",NA,NA," DEPTH USING SECCHI. DOMINANT VEGETATION IN NET: FILALG. GPS 5; ACCURACY 3M. NOT PAIRED. NOTICED HOLE (1FT DIAMETER) DURING PAYOUT OF NET; MARKED WITH YELLOW TAPE.",NA,"true","Mudsucker","AC;DMC;SH;KS","Arnold",2022-12-21,"5=fog","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",51,8.6,10.32,6626,7.4,12.9,0.28,0.59,15.1," 1=absent",2," Inside",1," false"," HEXAGON 15 (13 WAS SHALLOW)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-21,"2022-12-21 11:44",2022,12,"Fall"
"8","ARNO-UNK",7154,12155,"LAMOPE08-ARNO-21DEC2022","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",1.2,NA,NA,NA,"","11:59","",NA,NA,NA,38.175738,121.903442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 1-33%",NA,NA," GPS 5; ACCURACY 3M. NOT PAIRED. DOMINANT VEGETATION IN NET: FILALG. LOTS OF FILALG AT MOUTH OF COD END THAT TOOK ABOUT 10 SECONDS TO CLEAR AND PULL OUT OF WATER.",NA,"true","Mudsucker","AC;DMC;SH;KS","Arnold",2022-12-21,"5=fog","1=wind 1-3 mph; scaley ripples"," NE"," ",54,8.1,10.77,6693,7.3,11.3,0.34,0.79,18.8," 1=absent",2," Inside",NA," false"," HEXAGON 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-21,"2022-12-21 11:59",2022,12,"Fall"
"9","ARNO-UNK",6642,11463,"BEASEI01-ARNO-28APR2022","true","Seine","BEASEI",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.7,NA,5,13,"","12:17","",NA,NA,NA,38.175232,121.907262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",2,NA," 0%",NA,NA," GPS 6 accuracy 3m; YELGOB @ 20mm",NA,"true","Mudsucker","MA;DC;ED;KS","Arnold",2022-04-28,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",22,16.8,9,4422,7.6,36.7,0.29,0.81,13.8," 1=absent",2," Inside",NA," false"," Paired? N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-28,"2022-04-28 12:17",2022,4,"Spring"
"10","ARNO-UNK",6644,11465,"LAMOPE06-ARNO-28APR2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.8,NA,NA,NA,"","13:13","",NA,NA,NA,38.179663,121.904988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%",NA,NA," gps 6 accuracy 8m",NA,"true","Mudsucker","MA;DC;ED;KS","Arnold",2022-04-28,"1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NW"," 4=flood",22,16.8,9.03,4638,7.7,36,0.24,0.8,15.1," 1=absent",2," Inside",NA," false"," no random point; lampara done where access was possible. Paired? N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-28,"2022-04-28 13:13",2022,4,"Spring"
"11","ARNO-UNK",7209,12211,"LAMOPE07-ARNO-22NOV2022","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 1= with flow"," ",0.7,NA,NA,NA,"","12:35","",NA,NA,NA,38.18192,121.899564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%",NA,NA," GPS 5; ACCURACY 2M. NOT PAIRED. CODE 2 - WITH TIDE BUT VERY LITTLE FLOW",NA,"true","Chinook","AC;ED;GP;KS","Arnold",2022-11-22,"2=33-66% clouds","0=Calm; glassy"," N"," 4=flood",62,11.3,10.84,9866,7.4,8,0.15,0.6,18.6," 1=absent",2," Inside",NA," false"," DELETE POLYGONS 25 24 27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22,"2022-11-22 12:35",2022,11,"Fall"
"12","ARNO-UNK",7211,12213,"LAMOPE09-ARNO-22NOV2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," "," ",0.8,NA,NA,NA,"","13:32","",NA,NA,NA,38.179893,121.905542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 1-33%",NA,NA," GPS 5; ACCURACY 2M. NOT PAIRED. DOMINANT VEGETATION IN NET: FILALG. ",NA,"true","Chinook","AC;ED;GP;KS","Arnold",2022-11-22,"3=66-100% clouds","0=Calm; glassy"," N"," 4=flood",68,11.9,9.97,9899,7.5,7.9,0.14,0.6,13.3," 1=absent",2," Inside",1," false"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22,"2022-11-22 13:32",2022,11,"Fall"
"13","ARNO-UNK",7210,12212,"LAMOPE08-ARNO-22NOV2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1,NA,NA,NA,"","12:59","",NA,NA,NA,38.182005,121.90175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 1-33%",NA,NA," GPS 5; ACCURACY 3M. NOT PAIRED. DOMINANT VEGETATION IN NET: FILALG; ULVA SPP. ; NOT REALLY ANY CURRENT. KILSPP - UNCERTAIN IF MOSQUI OR KILLIFISH BUT LOOKS MORE LIKE KILLSPP",NA,"true","Chinook","AC;ED;GP;KS","Arnold",2022-11-22,"2=33-66% clouds","0=Calm; glassy"," N"," 1=high slack",62,11.8,10.87,9868,7.5,7.2,0.13,0.7,16.3," 1=absent",2," Inside",NA," false"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22,"2022-11-22 12:59",2022,11,"Fall"
"14","BROA-INT",6044,10301,"LAMOPE07-BROA-11APR2022","true","Seine","LAMOPE",""," 3. Complete twist; snag; or large tear"," 3= unknown"," ",3.6,NA,NA,NA,"","11:36","",NA,NA,NA,38.047461,121.847688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%",NA,NA," no veg in net",NA,"true","Mudsucker","MA;ED;KMP;KS","Broad Slough",2022-04-11,"2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," W"," 1=high slack",45,16.6,9.3,5934,7.9,15.8,0.25,0.81,9," 1=absent",2," Inside",NA," false"," GPS # 5 accuracy 2m  code 3 - drifted into deeper water; net twisted @ end due to wind; depth started @ 2.2m then to 5.0m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-11,"2022-04-11 11:36",2022,4,"Spring"
