"","VisitNo","SampleID_key","SampleID","StartTime","EndTime","Duration","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","DepthOfWater","NetMeterStart","NetMeterEnd","TowDirection","SeineCode","SeineDeploymentType","LengthOfTrawl","Width","PercentOpen","GearTypeAbbreviation","effort","Location","Date","Comments","CommonName","Count","Length"
"1",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Grass Shrimp",1,NA
"2",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",465,NA
"3",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",505,NA
"4",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Splittail",102,NA
"5",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,24
"6",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,49
"7",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,47
"8",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Splittail",1,21
"9",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,24
"10",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,48
"11",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Splittail",1,21
"12",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,44
"13",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,33
"14",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Splittail",1,24
"15",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,24
"16",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,22
"17",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,23
"18",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,50
"19",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,51
"20",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Splittail",1,20
"21",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,20
"22",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,22
"23",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Splittail",1,23
"24",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Splittail",1,21
"25",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Sacramento Pikeminnow",1,58
"26",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,55
"27",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,48
"28",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,21
"29",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,31
"30",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Splittail",1,21
"31",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,50
"32",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,23
"33",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,36
"34",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,37
"35",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Splittail",1,25
"36",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,57
"37",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Splittail",1,22
"38",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,19
"39",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,20
"40",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Mississippi Silverside",1,51
"41",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired.","Threespine Stickleback",1,21
