"","Comments","CommonName","Length","Count","Date","DepthOfWater","effort","FishCatchNotes","GearTypeAbbreviation","LAB_NAME","LatitudeEnd","LatitudeStart","LengthOfTrawl","Location","LongitudeEnd","LongitudeStart","NetMeterEnd","NetMeterStart","PercentOpen","SampleID","SampleID_key","SeineCode","SeineDeploymentType","StartTime","TowDirection","Date.1","VisitNo","Width"
"1"," gps 5; accuracy 2m. not paired.","Grass Shrimp",NA,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"2"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",NA,465,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"3"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",NA,505,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"4"," gps 5; accuracy 2m. not paired.","Splittail",NA,102,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"5"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",24,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"6"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",49,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"7"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",47,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"8"," gps 5; accuracy 2m. not paired.","Splittail",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"9"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",24,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"10"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",48,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
