"","VisitNo","newLocation","SampleID_key","GearTypeAbbreviation","Location","FishLength","OrganismId","EntryOrder","OrganismCode","FishCode","Code_UCDAVIS","Code_YBFM","CommonName","Category","Species","Genus","Family","Order","Class","Phylum","Native","State.Status","Federal.Status","Status.Abrev","LifeStage","FishDiet","Legend_Clams","Legend_Fish_Color_hex","Legend_Fish","Legend_Macro","Legend_Meso","Analy","Analy2","CN"
"1",7541,"Bradmoor Island",12561,"MAC","Bradmoor Island",80,206,116279,"77","","","","Gammarus","Invertebrate","spp.","Gammarus","Gammaridae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",TRUE,"Present",NA,"","Amphipoda Adult","Amphipoda","Gammaridae","Amphipoda","Gammarus"
"2",7541,"Bradmoor Island",12561,"MAC","Bradmoor Island",52,206,116280,"77","","","","Gammarus","Invertebrate","spp.","Gammarus","Gammaridae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",TRUE,"Present",NA,"","Amphipoda Adult","Amphipoda","Gammaridae","Amphipoda","Gammarus"
"3",7541,"Bradmoor Island",12561,"MAC","Bradmoor Island",86,206,116281,"77","","","","Gammarus","Invertebrate","spp.","Gammarus","Gammaridae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",TRUE,"Present",NA,"","Amphipoda Adult","Amphipoda","Gammaridae","Amphipoda","Gammarus"
"4",7541,"Bradmoor Island",12561,"MAC","Bradmoor Island",110,206,116282,"77","","","","Gammarus","Invertebrate","spp.","Gammarus","Gammaridae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",TRUE,"Present",NA,"","Amphipoda Adult","Amphipoda","Gammaridae","Amphipoda","Gammarus"
"5",7541,"Bradmoor Island",12561,"MAC","Bradmoor Island",53,206,116283,"77","","","","Gammarus","Invertebrate","spp.","Gammarus","Gammaridae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",TRUE,"Present",NA,"","Amphipoda Adult","Amphipoda","Gammaridae","Amphipoda","Gammarus"
"6",7541,"Bradmoor Island",12561,"MAC","Bradmoor Island",86,206,116284,"77","","","","Gammarus","Invertebrate","spp.","Gammarus","Gammaridae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",TRUE,"Present",NA,"","Amphipoda Adult","Amphipoda","Gammaridae","Amphipoda","Gammarus"
"7",7541,"Bradmoor Island",12561,"MAC","Bradmoor Island",57,206,116285,"77","","","","Gammarus","Invertebrate","spp.","Gammarus","Gammaridae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",TRUE,"Present",NA,"","Amphipoda Adult","Amphipoda","Gammaridae","Amphipoda","Gammarus"
"8",7541,"Bradmoor Island",12561,"MAC","Bradmoor Island",65,206,116286,"77","","","","Gammarus","Invertebrate","spp.","Gammarus","Gammaridae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",TRUE,"Present",NA,"","Amphipoda Adult","Amphipoda","Gammaridae","Amphipoda","Gammarus"
"9",7541,"Bradmoor Island",12561,"MAC","Bradmoor Island",63,206,116287,"77","","","","Gammarus","Invertebrate","spp.","Gammarus","Gammaridae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",TRUE,"Present",NA,"","Amphipoda Adult","Amphipoda","Gammaridae","Amphipoda","Gammarus"
"10",7541,"Bradmoor Island",12561,"MAC","Bradmoor Island",39,206,116288,"77","","","","Gammarus","Invertebrate","spp.","Gammarus","Gammaridae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",TRUE,"Present",NA,"","Amphipoda Adult","Amphipoda","Gammaridae","Amphipoda","Gammarus"
