"","VisitNo","SampleID_key","SampleID_frp","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","QAQC.y","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","Visit.Date2","year","month","DateTime","Season"
"1",7241,12241,"BEASEI01-HORS-03JAN2023","true","Seine","BEASEI",""," 1. No twists; snags; or tears"," 2= against flow"," ",1,NA,6,15,"","09:10","",NA,NA,NA,38.098501,121.70949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","2",NA," 0%"," ",NA," "," GPS #6; ACCURACY 3M. NOT PAIRED. SALMON! GPS manually updated from geo-tagged photos taken that day - ED 21JUL2023","true","Mudsucker","AC;ED;KS","Horseshoe Bend","01/03/2023","HORS-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NA"," 4=flood",15,9.5,9.83,126,7.5,64.3,0.43,0.71,14.7," 1=absent",2," Inside",NA," false"," ",2023-01-03,2023,1,"2023-01-03 09:10","Winter"
"2",7242,12242,"BEASEI02-HORS-03JAN2023","true","Seine","BEASEI",""," 1. No twists; snags; or tears"," 2= against flow"," ",1,NA,6.5,9,"","09:54","",NA,NA,NA,38.097405,121.709736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","2",NA," 1-33%"," ",NA," "," GPS 6; ACCURACY 2M. NOT PAIRED. DOMINANT VEGETATION IN NET: EGEDEN. TIDE FLOWING OUT STILL BECAUSE OF AMOUNT OF WATER THERE IS. GPS manually updated based on fixed beach seine locations - ED 21JUL2023","true","Mudsucker","AC;ED;KS","Horseshoe Bend","01/03/2023","HORS-N","3=66-100% clouds","2= wind 4-7 mph; small wavelets"," NA"," 4=flood",18,9.5,9.92,130,7.4,62.3,0.44,0.68,14.9," 1=absent",2," Inside",NA," false"," ",2023-01-03,2023,1,"2023-01-03 09:54","Winter"
"3",7243,12243,"LAMOPE01-HORS-03JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.9,NA,NA,NA,"","10:31","",NA,NA,NA,38.083104,121.712136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED.GPS calculated and corrected in 2023 Sample Inventory - ED 21JUL2023","true","Mudsucker","AC;ED;KS","Horseshoe Bend","01/03/2023","HORS-M","3=66-100% clouds","2= wind 4-7 mph; small wavelets"," NW"," 4=flood",15,9.5,9.88,143,7.3,55.6,0.44,0.67,15.5," 1=absent",2," Inside",NA," false"," ",2023-01-03,2023,1,"2023-01-03 10:31","Winter"
"4",7244,12244,"LAMOPE02-HORS-03JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.6,NA,NA,NA,"","10:59","",NA,NA,NA,38.084148,121.720405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. DOMINANT VEGETATION IN NET: EGEDEN; HYACINTH. GPS calculated and corrected in 2023 Sample Inventory - ED 21JUL2023","true","Mudsucker","AC;ED;KS","Horseshoe Bend","01/03/2023","HORS-M","3=66-100% clouds","0=Calm; glassy"," NW"," 4=flood",17,9.4,9.58,179,7.3,48.1,0.39,0.66,16.3," 1=absent",2," Inside",1," false"," ",2023-01-03,2023,1,"2023-01-03 10:59","Winter"
"5",7245,12245,"LAMOPE03-DECK-03JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.3,NA,NA,NA,"","11:20","",NA,NA,NA,38.084279,121.724097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. DOMINANT VEGETATION IN NET: HYACINTH. GPS manually corrected from geo-tagged photos from that day - ED 21JUL2023","true","Mudsucker","AC;ED;KS","Decker Island","01/03/2023","DECK-UNK","3=66-100% clouds","0=Calm; glassy"," NW"," 4=flood",18,9.4,9.7,158,7.2,44.4,0.85,0.67,16.1," 1=absent",2," Inside",NA," false"," GPS 6; ACCURACY 3M. NOT PAIRED; HIGH FLOW COMING IN ",2023-01-03,2023,1,"2023-01-03 11:20","Winter"
"6",7246,12246,"LAMOPE04-HORS-03JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.4,NA,NA,NA,"","11:40","",NA,NA,NA,38.080321,121.728292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. DOMINANT VEGETATION IN NET: EGEDEN. GPS manually updated from geo-tagged photos taken that day - ED 21JUL2023 ","true","Mudsucker","AC;ED;KS","Horseshoe Bend","01/03/2023","HORS-S","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",17,9.5,9.95,135,7.3,58.2,0.39,0.64,15.4," 1=absent",2," Inside",NA," false"," ",2023-01-03,2023,1,"2023-01-03 11:40","Winter"
"7",7247,12247,"LAMOPE05-WTIB-03JAN2023","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",12,NA,NA,NA,"","12:40","",NA,NA,NA,38.095686,121.591478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. CODE 2- DEPTH. GPS calculated and fixed in 2023 sample inventory - ED 21JUL2023","true","Mudsucker","AC;ED;KS","Webb Tract Island and Berms","01/03/2023","WTIB-CH-S","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 4=flood",13,9.8,9.38,142,7.1,88.3,0.54,0.86,16.2," 1=absent",2," Inside",NA," false"," ",2023-01-03,2023,1,"2023-01-03 12:40","Winter"
"8",7248,12251,"LAMOPE06-WTIB-03JAN2023","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",7.1,NA,NA,NA,"","12:52","",NA,NA,NA,38.094711,121.584098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. CODE 2 - DEEP. GPS calculated and fixed in 2023 Sample Inventory - ED 21JUL2023","true","Mudsucker","AC;ED;KS","Webb Tract Island and Berms","01/03/2023","WTIB-CH-S","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 4=flood",10,9.8,9.24,143,7.1,89.8,0.54,0.88,16.5," 1=absent",2," Inside",NA," false"," ",2023-01-03,2023,1,"2023-01-03 12:52","Winter"
"9",7249,12252,"LAMOPE07-WTIB-03JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.1,NA,NA,NA,"","13:08","",NA,NA,NA,38.096616,121.589746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. DOMINANT VEGETATION IN NET: EGEDEN. PULLED NET THROUGH TULES. GPS calculated and fixed in 2023 Sample Inventory - ED 21JUL2023","true","Mudsucker","AC;ED;KS","Webb Tract Island and Berms","01/03/2023","WTIB-CH-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 4=flood",13,9.8,9.45,145,7.1,89,0.54,0.81,16.3," 1=absent",2," Inside",NA," false"," ",2023-01-03,2023,1,"2023-01-03 13:08","Winter"
"10",7250,12253,"LAMOPE01-WINT-12JAN2023","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",1.2,NA,NA,NA,"","08:26","",NA,NA,NA,38.046178,121.849661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. NET BRIEFLY CAUGHT ON SOMETHING BUT IT CAME LOOSE WHEN IT WAS BEING PULLED IN; NO HOLES FOUND","true","Mudsucker","MA;AC;ED;GP","Winter Island","01/12/2023","WINT-CH-BREACH-E","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 1=high slack",22,10.1,9.83,231,7.3,57.3,0.86,0.69,24.1," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 08:26","Winter"
