"","VisitNo","SampleID_key","SampleID_frp","StartTime","EndTime","Duration","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","DepthMeters","NetMeterStart","NetMeterEnd","TowDirection","SeineCode","SeineDeploymentType","LengthOfTrawl","Width","PercentOpen","GearTypeAbbreviation","volume","Location","Visit.Date2","Comments"
"1",8047,13449,"BEASEI01-BRAD-09MAY2023","08:50","",NA,38.189129,NA,121.920662,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired."
"2",8369,13810,"BEASEI01-BRAD-16NOV2023","09:10","",NA,38.189449,NA,121.918505,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Bradmoor Island",2023-11-16," gps from ipad. detritus in net but no veg. depth from handheld"
"3",8476,13976,"BEASEI01-BRAD-21DEC2023","10:35","",NA,38.184728,NA,121.918228,NA,1.1,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members",6.5,7,NA,"BEASEI",25.025,"Bradmoor Island",2023-12-21," code 2: lots of grass on shore; lead line bouncing over grass"
"4",7308,12308,"BEASEI01-HORS-01FEB2023","08:30","",NA,38.098448,NA,121.709436,NA,1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",7.5,15,NA,"BEASEI",56.25,"Horseshoe Bend",2023-02-01," not paired. gps 5; accuracy 7.7 ft. gps from phone. spc from 26 and 30 off for sonde #2"
"5",7357,12377,"BEASEI01-HORS-02MAR2023","10:47","",NA,38.097354,NA,121.709718,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",10,8.8,NA,"BEASEI",48.4,"Horseshoe Bend",2023-03-02," gps 5; accuracy 2m. not paired."
"6",7241,12241,"BEASEI01-HORS-03JAN2023","09:10","",NA,38.098501,NA,121.70949,NA,1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",6,15,NA,"BEASEI",45,"Horseshoe Bend",2023-01-03," gps #6; accuracy 3m. not paired. salmon! gps manually updated from geo-tagged photos taken that day - ed 21jul2023"
"7",7984,13384,"BEASEI01-HORS-10MAY2023","09:09","",NA,38.096885,NA,121.709762,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",7.5,15,NA,"BEASEI",61.875,"Horseshoe Bend",2023-05-10," gps 6 accuracy 3m. mortality: spltai; splitai brought back to confirm id; 2 unids in vials; frp23-016: unid; frp23-017: spltai. gps calculated in 2023 sample inventory - ed 9/11/2023"
"8",7497,12537,"BEASEI01-HORS-11APR2023","13:13","",NA,38.081527,NA,121.719113,NA,0.6,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members",12,13,NA,"BEASEI",46.8,"Horseshoe Bend",2023-04-11," seine code 2=lots of mud in cod end; needed to rinse net. salmon mortality. gps calculated in 2023 sample inventory by ed"
"9",8464,13964,"BEASEI01-HORS-19DEC2023","10:56","",NA,38.097357,NA,121.709732,NA,1.1,NA,NA," 3= unknown","1. No twists; snags; or tears","Crew Members",9,8,NA,"BEASEI",39.6,"Horseshoe Bend",2023-12-19," secchi approximately same as depth"
"10",8381,13841,"BEASEI01-HORS-21NOV2023","09:51","",NA,38.097425,NA,121.709772,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",8.2,15,NA,"BEASEI",67.65,"Horseshoe Bend",2023-11-21," "
