"","SampleID_key","CommonName","TotalCatch","FishLength","FishCatchNotes"
"1",13449,"Mosquitofish",1,37,""
"2",13449,"Mississippi Silverside",535,47,""
"3",13449,"Grass Shrimp",1,NA,""
"4",13449,"Sacramento Pikeminnow",1,58,""
"5",13449,"Splittail",132,20,""
"6",13449,"Threespine Stickleback",495,25,""
"7",13810,"Killifish spp.",4,26,""
"8",13810,"Mississippi Silverside",158,40,""
"9",13976,"Mosquitofish",2,21,""
"10",13976,"Mississippi Silverside",52,68,""
"11",13976,"Threespine Stickleback",1,39,""
"12",12308,"Chinook Salmon (fall)",2,40,""
"13",12308,"Mosquitofish",1,35,""
"14",12308,"Mississippi Silverside",4,52,""
"15",12377,"Chinook Salmon (fall)",59,39,""
"16",12377,"Chinook Salmon (spring)",4,61,""
"17",12377,"Mosquitofish",1,36,""
"18",12377,"Mississippi Silverside",34,49,""
"19",12241,"Chinook Salmon (fall)",4,39,""
"20",12241,"Mississippi Silverside",2,50,""
"21",12241,"Sacramento Pikeminnow",4,65,""
"22",12241,"Threadfin Shad",1,64,""
"23",13384,"Sacramento Sucker",1,15,""
"24",13384,"Mississippi Silverside",3,69,""
"25",13384,"Splittail",252,24,""
"26",12537,"Chinook Salmon (fall)",25,41,""
"27",12537,"Grass Shrimp",1,NA,""
"28",12537,"Corbicula",12,NA,""
"29",12537,"Pacific Staghorn Sculpin",2,50,""
"30",12537,"Sacramento Pikeminnow",3,48,""
"31",12537,"Shimofuri Goby",12,57,""
"32",12537,"Starry Flounder",1,18,""
"33",12537,"Yellowfin Goby",3,86,""
"34",13964,"Mississippi Silverside",59,58,""
"35",13841,"Siberian Prawn",6,NA,""
"36",13841,"Mississippi Silverside",195,26,""
"37",13841,"Tridentiger spp.",1,20,""
"38",13787,"Killifish spp.",1,25,""
"39",13787,"Mississippi Silverside",1,35,""
"40",12383,"Chinook Salmon (fall)",2,32,""
"41",13487,"Prickly Sculpin",2,22,""
"42",13487,"Grass Shrimp",49,NA,""
"43",13487,"Sacramento Pikeminnow",3,96,""
"44",13487,"Splittail",1109,29,""
"45",13374,"Siberian Prawn",1,NA,""
"46",13374,"Grass Shrimp",3,NA,""
"47",13374,"Sacramento Pikeminnow",1,113,""
"48",12424,"Mosquitofish",2,31,""
"49",13940,"Killifish spp.",323,37,""
"50",13940,"Mosquitofish",3,20,""
"51",13940,"Prickly Sculpin",1,65,""
"52",13940,"Threespine Stickleback",36,26,""
"53",12449,"Mosquitofish",1,25,""
"54",12449,"Pacific Staghorn Sculpin",8,61,""
"55",12449,"Threespine Stickleback",2,27,""
"56",12306,"Pacific Staghorn Sculpin",26,28,""
"57",12482,"Pacific Staghorn Sculpin",2,70,""
"58",12482,"Shimofuri Goby",1,30,""
"59",12482,"Threespine Stickleback",3,48,""
"60",13458,"Killifish spp.",26,34,""
"61",13458,"Siberian Prawn",11,NA,""
"62",13458,"Mosquitofish",2,27,""
"63",13458,"Mississippi Silverside",109,55,""
"64",13458,"Grass Shrimp",4,NA,""
"65",13458,"Threespine Stickleback",86,55,""
"66",13458,"Tule Perch",1,129,""
"67",13811,"Killifish spp.",1,26,""
"68",13811,"Siberian Prawn",9,NA,""
"69",13811,"Mississippi Silverside",229,72,""
"70",13811,"Common Carp",1,213,""
"71",13811,"Splittail",5,121,""
"72",13811,"Threadfin Shad",11,74,""
"73",13977,"Mosquitofish",2,26,""
"74",13977,"Mississippi Silverside",63,60,""
"75",12385,"Killifish spp.",4,45,""
"76",12385,"Chinook Salmon (fall)",1,57,""
"77",12385,"Chinook Salmon (spring)",1,64,""
"78",12385,"Mosquitofish",10,22,""
"79",12385,"Crayfish",1,NA,""
"80",12385,"Mississippi Silverside",838,50,""
"81",12385,"Grass Shrimp",11,NA,""
"82",12385,"Tadpole",1,NA,""
"83",12385,"Golden Shiner",7,60,""
"84",12385,"Hitch",4,57,""
"85",12385,"Sacramento Pikeminnow",4,53,""
"86",12309,"Killifish spp.",3,28,""
"87",12309,"Mississippi Silverside",6,60,""
"88",12309,"Corbicula",4,NA,""
"89",12378,"Chinook Salmon (fall)",5,50,""
"90",12378,"Chinook Salmon (spring)",1,61,""
"91",12378,"Mississippi Silverside",291,60,""
"92",12378,"Red Shiner",1,50,""
"93",12378,"Shimofuri Goby",1,47,""
"94",12378,"Threespine Stickleback",1,30,""
"95",12242,"Chinook Salmon (fall)",4,38,""
"96",12242,"Mosquitofish",2,18,""
"97",12242,"Mississippi Silverside",32,49,""
"98",12242,"Sacramento Pikeminnow",5,65,""
"99",13401,"Mississippi Silverside",1,31,""
"100",13401,"Splittail",110,21,""
"101",12539,"Siberian Prawn",1,NA,""
"102",12539,"Chinook Salmon (fall)",6,40,""
"103",12539,"Mississippi Silverside",1,45,""
"104",12539,"Corbicula",3,NA,""
"105",12539,"Pacific Staghorn Sculpin",1,53,""
"106",12539,"Shimofuri Goby",4,58,""
"107",12539,"Starry Flounder",1,21,""
"108",13842,"Mississippi Silverside",4,25,""
"109",13842,"Threadfin Shad",7,92,""
"110",13788,"Killifish spp.",2,8,""
"111",13788,"Corbicula",1,NA,""
"112",13788,"Largemouth Bass",9,118,""
"113",13375,"Chinook Salmon (late-fall)",1,48,""
"114",13375,"Prickly Sculpin",1,26,""
"115",13375,"Splittail",1,19,""
"116",13941,"Killifish spp.",52,17,""
"117",13941,"Mosquitofish",72,22,""
"118",13941,"Threespine Stickleback",36,23,""
"119",12307,"Chinook Salmon (fall)",1,39,""
"120",12307,"Mississippi Silverside",8,29,""
"121",12307,"Threespine Stickleback",2,28,""
"122",12483,"Siberian Prawn",1,NA,""
"123",13978,"Mosquitofish",2,16,""
"124",13978,"Mississippi Silverside",2,28,""
"125",13978,"Splittail",2,107,""
"126",13459,"Killifish spp.",23,38,""
"127",13459,"Siberian Prawn",2,NA,""
"128",13459,"Prickly Sculpin",2,40,""
"129",13459,"Mississippi Silverside",12,67,""
"130",13459,"Grass Shrimp",4,NA,""
"131",13459,"Sacramento Pikeminnow",1,107,""
"132",13459,"Threespine Stickleback",55,31,""
"133",13812,"Killifish spp.",11,35,""
"134",13812,"Shrimp Other",2,NA,""
"135",13812,"Mosquitofish",1,NA,""
"136",13812,"Mississippi Silverside",323,52,""
"137",13812,"Shimofuri Goby",1,29,""
"138",13812,"Splittail",1,96,""
"139",13812,"Starry Flounder",1,97,""
"140",13812,"Threadfin Shad",83,60,""
"141",13812,"Threespine Stickleback",1,42,""
"142",12387,"Killifish spp.",1,32,""
"143",12387,"Siberian Prawn",3,NA,""
"144",12387,"Mississippi Silverside",2,54,""
"145",12387,"Grass Shrimp",1,NA,""
"146",12387,"Golden Shiner",1,36,""
"147",13462,"Killifish spp.",39,31,""
"148",13462,"Mississippi Silverside",50,62,""
"149",13462,"Threespine Stickleback",1,41,""
"150",13462,"Yellowfin Goby",4,19,""
"151",13813,"Killifish spp.",9,26,""
"152",13813,"Mississippi Silverside",21,40,""
"153",13813,"Corbicula",2,NA,""
"154",13979,"Siberian Prawn",1,NA,""
"155",13979,"Mosquitofish",5,21,""
"156",13979,"Mississippi Silverside",465,71,""
"157",13979,"Splittail",1,96,""
"158",13979,"Threadfin Shad",2,59,""
"159",12534,"No Catch",0,NA,""
"160",13796,"Mississippi Silverside",1,82,""
"161",13796,"Bay Shrimp",1,NA,""
"162",13796,"Corbicula",3,NA,""
"163",13426,"No Catch",0,NA,""
"164",13446,"Mississippi Silverside",1,69,""
"165",13446,"Bluegill",1,130,""
"166",13923,"Black Crappie",1,85,""
"167",13923,"Golden Shiner",5,51,""
"168",13923,"Hitch",1,68,""
"169",13923,"Largemouth Bass",2,120,""
"170",12425,"No Catch",0,NA,""
"171",13432,"Siberian Prawn",4,NA,""
"172",13432,"Golden Shiner",1,126,""
"173",13432,"Hitch",1,74,""
"174",13432,"Splittail",2,35,""
"175",12485,"No Catch",0,NA,""
"176",13485,"Prickly Sculpin",1,54,""
"177",13485,"Striped Bass",1,34,""
"178",13485,"Splittail",1,262,""
"179",13485,"Yellowfin Goby",1,55,""
"180",13428,"Mississippi Silverside",2,69,""
"181",14872,"Siberian Prawn",2,NA,""
"182",14872,"Prickly Sculpin",1,28,""
"183",12844,"Pacific Staghorn Sculpin",5,35,""
"184",12448,"No Catch",0,NA,""
"185",13468,"No Catch",0,NA,""
"186",12755,"No Catch",0,NA,""
"187",13427,"No Catch",0,NA,""
"188",12426,"No Catch",0,NA,""
"189",13435,"Bluegill",3,79,""
"190",13435,"Golden Shiner",2,70,""
"191",13435,"Hitch",1,81,""
"192",13435,"Largemouth Bass",2,374,""
"193",13429,"No Catch",0,NA,""
"194",12848,"No Catch",0,NA,""
"195",12450,"No Catch",0,NA,""
"196",13907,"Striped Bass",1,450,""
"197",13798,"Striped Bass",2,470,""
"198",13846,"Striped Bass",1,440,""
"199",13868,"Striped Bass",1,308,""
"200",13918,"Largemouth Bass",3,245,""
"201",14533,"Striped Bass",2,470,""
"202",14876,"Striped Bass",1,555,""
"203",13875,"Striped Bass",1,500,""
"204",13910,"Striped Bass",1,660,""
"205",14877,"Striped Bass",1,385,""
"206",14540,"Striped Bass",1,500,""
"207",13876,"Striped Bass",1,370,""
"208",14874,"Striped Bass",1,410,""
"209",12312,"Mississippi Silverside",1,72,""
"210",12521,"No Catch",0,NA,""
"211",13925,"No Catch",0,NA,""
"212",13789,"No Catch",0,NA,""
"213",13411,"No Catch",0,NA,""
"214",12318,"Chinook Salmon (fall)",2,38,""
"215",12318,"Mosquitofish",1,25,""
"216",12318,"Shimofuri Goby",1,34,""
"217",12533,"No Catch",1,NA,""
"218",13402,"No Catch",0,NA,""
"219",12841,"Siberian Prawn",3,NA,""
"220",12441,"Siberian Prawn",3,NA,""
"221",12441,"Striped Bass",1,128,""
"222",12441,"Bay Shrimp",1,NA,""
"223",12441,"Pacific Herring",1,27,""
"224",13980,"Northern Anchovy",4,36,""
"225",13871,"American Shad",2,82,""
"226",12310,"Mississippi Silverside",1,31,""
