"","SampleID_key","CommonName","FishLength","PlusCount","TotalCatch","FishCatchNotes"
"1",13818,"American Shad",69,0,11,""
"2",13866,"American Shad",73,0,1,""
"3",13861,"American Shad",58,0,3,""
"4",13721,"American Shad",74,0,4,""
"5",13974,"American Shad",71,0,1,""
"6",13818,"American Shad",77,0,11,""
"7",13818,"American Shad",70,0,11,""
"8",13682,"American Shad",76,0,3,""
"9",13681,"American Shad",88,0,3,""
"10",13862,"American Shad",67,0,3,""
"11",13818,"American Shad",81,0,11,""
"12",13818,"American Shad",71,0,11,""
"13",13818,"American Shad",81,0,11,""
"14",13862,"American Shad",76,0,3,""
"15",13818,"American Shad",68,0,11,""
"16",13861,"American Shad",58,0,3,""
"17",13681,"American Shad",93,0,3,""
"18",13871,"American Shad",82,0,2,""
"19",13818,"American Shad",79,0,11,""
"20",13721,"American Shad",73,0,4,""
"21",13862,"American Shad",76,0,3,""
"22",13721,"American Shad",74,0,4,""
"23",13721,"American Shad",73,0,4,""
"24",13682,"American Shad",69,0,3,""
"25",13683,"American Shad",88,0,1,""
"26",13871,"American Shad",91,0,2,""
"27",13864,"American Shad",83,0,2,""
"28",13984,"American Shad",78,0,3,""
"29",13818,"American Shad",75,0,11,""
"30",13781,"American Shad",97,0,2,""
"31",13984,"American Shad",89,0,3,""
"32",13818,"American Shad",78,0,11,""
"33",13681,"American Shad",100,0,3,""
"34",13861,"American Shad",74,0,3,""
"35",13973,"American Shad",73,0,1,""
"36",13781,"American Shad",78,0,2,""
"37",13864,"American Shad",75,0,2,""
"38",13682,"American Shad",88,0,3,""
"39",13724,"American Shad",70,0,1,""
"40",13818,"American Shad",71,0,11,""
"41",13984,"American Shad",86,0,3,""
"42",13437,"Bigscale Logperch",39,0,1,""
"43",13818,"Bigscale Logperch",87,0,1,""
"44",13436,"Black Bass (unknown species)",17,133,163,""
"45",13436,"Black Bass (unknown species)",19,133,163,""
"46",13436,"Black Bass (unknown species)",16,133,163,""
"47",13436,"Black Bass (unknown species)",18,133,163,""
"48",13436,"Black Bass (unknown species)",18,133,163,""
"49",13436,"Black Bass (unknown species)",16,133,163,""
"50",13436,"Black Bass (unknown species)",19,133,163,""
"51",13436,"Black Bass (unknown species)",20,133,163,""
"52",13436,"Black Bass (unknown species)",19,133,163,""
"53",13436,"Black Bass (unknown species)",19,133,163,""
"54",13436,"Black Bass (unknown species)",19,133,163,""
"55",13436,"Black Bass (unknown species)",19,133,163,""
"56",13436,"Black Bass (unknown species)",18,133,163,""
"57",13436,"Black Bass (unknown species)",19,133,163,""
"58",13436,"Black Bass (unknown species)",21,133,163,""
"59",13436,"Black Bass (unknown species)",19,133,163,""
"60",13436,"Black Bass (unknown species)",19,133,163,""
"61",13436,"Black Bass (unknown species)",20,133,163,""
"62",13436,"Black Bass (unknown species)",20,133,163,""
"63",13436,"Black Bass (unknown species)",18,133,163,""
"64",13436,"Black Bass (unknown species)",18,133,163,""
"65",13436,"Black Bass (unknown species)",18,133,163,""
"66",13436,"Black Bass (unknown species)",19,133,163,""
"67",13436,"Black Bass (unknown species)",18,133,163,""
"68",13436,"Black Bass (unknown species)",17,133,163,""
"69",13436,"Black Bass (unknown species)",17,133,163,""
"70",13436,"Black Bass (unknown species)",20,133,163,""
"71",13436,"Black Bass (unknown species)",19,133,163,""
"72",13436,"Black Bass (unknown species)",17,133,163,""
"73",13436,"Black Bass (unknown species)",21,133,163,""
"74",13922,"Black Crappie",63,0,12,""
"75",13816,"Black Crappie",80,0,5,""
"76",13974,"Black Crappie",61,0,2,""
"77",13820,"Black Crappie",68,0,2,""
"78",13816,"Black Crappie",85,0,5,""
"79",13816,"Black Crappie",114,0,5,""
"80",13922,"Black Crappie",67,0,12,""
"81",13922,"Black Crappie",69,0,12,""
"82",13922,"Black Crappie",70,0,12,""
"83",13974,"Black Crappie",65,0,2,""
"84",13922,"Black Crappie",77,0,12,""
"85",13922,"Black Crappie",78,0,12,""
"86",13820,"Black Crappie",63,0,2,""
"87",13816,"Black Crappie",89,0,5,""
"88",13922,"Black Crappie",68,0,12,""
"89",13922,"Black Crappie",66,0,12,""
"90",13816,"Black Crappie",84,0,5,""
"91",13923,"Black Crappie",85,0,1,""
"92",13922,"Black Crappie",80,0,12,""
"93",13922,"Black Crappie",88,0,12,""
"94",13922,"Black Crappie",67,0,12,""
"95",12290,"Black Crappie",244,0,1,""
"96",13922,"Black Crappie",64,0,12,""
"97",13853,"Bluegill",30,0,27,""
"98",13816,"Bluegill",118,0,4,""
"99",13853,"Bluegill",39,0,27,""
"100",13853,"Bluegill",39,0,27,""
"101",13435,"Bluegill",79,0,3,""
"102",12284,"Bluegill",25,0,6,""
"103",13853,"Bluegill",39,0,27,""
"104",13853,"Bluegill",47,0,27,""
"105",13853,"Bluegill",30,0,27,""
"106",13369,"Bluegill",43,0,6,""
"107",13435,"Bluegill",44,0,3,""
"108",12263,"Bluegill",30,0,1,""
"109",13853,"Bluegill",33,0,27,""
"110",13853,"Bluegill",39,0,27,""
"111",13370,"Bluegill",33,0,11,""
"112",13853,"Bluegill",44,0,27,""
"113",12386,"Bluegill",43,0,1,""
"114",13446,"Bluegill",130,0,1,""
"115",13816,"Bluegill",115,0,4,""
"116",13844,"Bluegill",29,0,9,""
"117",12388,"Bluegill",32,0,2,""
"118",13853,"Bluegill",38,0,27,""
"119",13435,"Bluegill",57,0,3,""
"120",13816,"Bluegill",125,0,4,""
"121",13853,"Bluegill",32,0,27,""
"122",13853,"Bluegill",38,0,27,""
"123",13370,"Bluegill",39,0,11,""
"124",13853,"Bluegill",42,0,27,""
"125",13844,"Bluegill",27,0,9,""
"126",13844,"Bluegill",26,0,9,""
"127",12252,"Bluegill",24,0,4,""
"128",13853,"Bluegill",47,0,27,""
"129",13369,"Bluegill",36,0,6,""
"130",13369,"Bluegill",47,0,6,""
"131",13370,"Bluegill",66,0,11,""
"132",13853,"Bluegill",47,0,27,""
"133",13853,"Bluegill",49,0,27,""
"134",13853,"Bluegill",31,0,27,""
"135",13853,"Bluegill",32,0,27,""
"136",13922,"Bluegill",49,0,1,""
"137",13844,"Bluegill",30,0,9,""
"138",13370,"Bluegill",38,0,11,""
"139",13371,"Bluegill",43,0,1,""
"140",13370,"Bluegill",48,0,11,""
"141",12388,"Bluegill",31,0,2,""
"142",12324,"Bluegill",41,0,1,""
"143",13370,"Bluegill",63,0,11,""
"144",13478,"Bluegill",45,0,1,""
"145",12384,"Bluegill",31,0,2,""
"146",13853,"Bluegill",42,0,27,""
"147",12252,"Bluegill",39,0,4,""
"148",12296,"Bluegill",40,0,1,""
"149",13369,"Bluegill",32,0,6,""
"150",12284,"Bluegill",64,0,6,""
"151",12322,"Bluegill",29,0,5,""
"152",13853,"Bluegill",37,0,27,""
"153",13853,"Bluegill",37,0,27,""
"154",12322,"Bluegill",33,0,5,""
"155",13370,"Bluegill",45,0,11,""
"156",13974,"Bluegill",32,0,3,""
"157",13370,"Bluegill",60,0,11,""
"158",13844,"Bluegill",33,0,9,""
"159",12284,"Bluegill",50,0,6,""
"160",13369,"Bluegill",31,0,6,""
"161",12322,"Bluegill",43,0,5,""
"162",13844,"Bluegill",31,0,9,""
"163",13853,"Bluegill",35,0,27,""
"164",13853,"Bluegill",41,0,27,""
"165",13853,"Bluegill",34,0,27,""
"166",12246,"Bluegill",146,0,1,""
"167",13816,"Bluegill",117,0,4,""
"168",12252,"Bluegill",39,0,4,""
"169",13974,"Bluegill",31,0,3,""
"170",12284,"Bluegill",27,0,6,""
"171",13853,"Bluegill",37,0,27,""
"172",13844,"Bluegill",32,0,9,""
"173",12252,"Bluegill",47,0,4,""
"174",12323,"Bluegill",93,0,2,""
"175",12322,"Bluegill",33,0,5,""
"176",13370,"Bluegill",33,0,11,""
"177",13370,"Bluegill",68,0,11,""
"178",13853,"Bluegill",31,0,27,""
"179",13974,"Bluegill",28,0,3,""
"180",12323,"Bluegill",36,0,2,""
"181",13369,"Bluegill",54,0,6,""
"182",12322,"Bluegill",37,0,5,""
"183",13844,"Bluegill",23,0,9,""
"184",13844,"Bluegill",33,0,9,""
"185",12284,"Bluegill",41,0,6,""
"186",12291,"Bluegill",34,0,1,""
"187",12284,"Bluegill",33,0,6,""
"188",12384,"Bluegill",45,0,2,""
"189",13853,"Bluegill",30,0,27,""
"190",13370,"Bluegill",50,0,11,""
"191",13484,"Channel Catfish",337,0,1,""
"192",12365,"Clam Other",NA,1,1,""
"193",12388,"Clam Other",NA,1,1,""
"194",13811,"Common Carp",213,0,1,""
"195",13488,"Common Carp",53,0,1,""
"196",12462,"Common Carp",520,0,1,""
"197",13987,"Corbicula",NA,2,2,""
"198",13869,"Corbicula",NA,7,7,""
"199",13788,"Corbicula",NA,1,1,""
"200",12531,"Corbicula",NA,5,5,""
"201",12388,"Corbicula",NA,1,1,""
"202",13913,"Corbicula",NA,2,2,""
"203",13451,"Corbicula",NA,1,1,""
"204",13437,"Corbicula",NA,322,322,""
"205",12535,"Corbicula",NA,15,15,""
"206",13682,"Corbicula",NA,4,4,""
"207",12309,"Corbicula",NA,4,4,""
"208",13986,"Corbicula",NA,1,1,""
"209",13867,"Corbicula",NA,1,1,""
"210",13455,"Corbicula",NA,1,1,""
"211",13492,"Corbicula",NA,26,26,""
"212",13903,"Corbicula",NA,3,3,""
"213",13489,"Corbicula",NA,1,1,""
"214",13796,"Corbicula",NA,3,3,""
"215",13916,"Corbicula",NA,1,1,""
"216",13805,"Corbicula",NA,1,1,""
"217",13465,"Corbicula",NA,1,1,""
"218",13817,"Corbicula",NA,1,1,""
"219",13726,"Corbicula",NA,1,1,""
"220",12445,"Corbicula",NA,1,1,""
"221",13434,"Corbicula",NA,3,3,""
"222",13461,"Corbicula",NA,15,15,""
"223",13494,"Corbicula",NA,13,13,""
"224",13490,"Corbicula",NA,10,10,""
"225",13413,"Corbicula",NA,2,2,""
"226",13457,"Corbicula",NA,3,3,""
"227",13687,"Corbicula",NA,1,1,""
"228",13813,"Corbicula",NA,2,2,""
"229",13991,"Corbicula",NA,6,6,""
"230",12324,"Corbicula",NA,1,1,""
"231",13781,"Corbicula",NA,1,1,""
"232",12539,"Corbicula",NA,3,3,""
"233",13917,"Corbicula",NA,1,1,""
"234",13902,"Corbicula",NA,8,8,""
"235",13999,"Corbicula",NA,1,1,""
"236",13681,"Corbicula",NA,1,1,""
"237",12532,"Corbicula",NA,119,119,""
"238",12537,"Corbicula",NA,12,12,""
"239",12313,"Corbicula",NA,1,1,""
"240",13686,"Corbicula",NA,39,39,""
"241",12530,"Corbicula",NA,2,2,""
"242",12302,"Corbicula",NA,145,145,""
"243",13725,"Corbicula",NA,4,4,""
"244",12243,"Corbicula",NA,1,1,""
"245",13782,"Corbicula",NA,9,9,""
"246",13493,"Corbicula",NA,19,19,""
"247",13447,"Corbicula",NA,3,3,""
"248",12257,"Corbicula",NA,1,1,""
"249",13460,"Corbicula",NA,2,2,""
"250",13496,"Corbicula",NA,32,32,""
"251",13993,"Corbicula",NA,7,7,""
"252",13495,"Corbicula",NA,51,51,""
"253",12275,"Corbicula",NA,1,1,""
"254",13465,"Bay Shrimp",NA,2,2,""
"255",13988,"Bay Shrimp",NA,3,3,""
"256",14006,"Bay Shrimp",NA,1,1,""
"257",13913,"Bay Shrimp",NA,1,1,""
"258",13722,"Bay Shrimp",NA,17,17,""
"259",13682,"Bay Shrimp",NA,19,19,""
"260",13867,"Bay Shrimp",NA,8,8,""
"261",12443,"Bay Shrimp",NA,4,4,""
"262",12305,"Bay Shrimp",NA,3,3,""
"263",13725,"Bay Shrimp",NA,3,3,""
"264",13681,"Bay Shrimp",NA,13,13,""
"265",12451,"Bay Shrimp",NA,4,4,""
"266",12367,"Bay Shrimp",NA,1,1,""
"267",13795,"Bay Shrimp",NA,1,1,""
