"","SampleID_key","CommonName","FishLength","PlusCount","TotalCatch","FishCatchNotes","EntryOrder"
"1",13818,"American Shad",69,0,11,"",31000
"2",13866,"American Shad",73,0,1,"",31314
"3",13861,"American Shad",58,0,3,"",31300
"4",13721,"American Shad",74,0,4,"",30553
"5",13974,"American Shad",71,0,1,"",31976
"6",13818,"American Shad",77,0,11,"",31005
"7",13818,"American Shad",70,0,11,"",30998
"8",13682,"American Shad",76,0,3,"",30510
"9",13681,"American Shad",88,0,3,"",30502
"10",13862,"American Shad",67,0,3,"",31303
"11",13818,"American Shad",81,0,11,"",31004
"12",13818,"American Shad",71,0,11,"",31003
"13",13818,"American Shad",81,0,11,"",31006
"14",13862,"American Shad",76,0,3,"",31302
"15",13818,"American Shad",68,0,11,"",31001
"16",13861,"American Shad",58,0,3,"",31299
"17",13681,"American Shad",93,0,3,"",30503
"18",13871,"American Shad",82,0,2,"",31320
"19",13818,"American Shad",79,0,11,"",30999
"20",13721,"American Shad",73,0,4,"",30551
"21",13862,"American Shad",76,0,3,"",31304
"22",13721,"American Shad",74,0,4,"",30552
"23",13721,"American Shad",73,0,4,"",30554
"24",13682,"American Shad",69,0,3,"",30512
"25",13683,"American Shad",88,0,1,"",30519
"26",13871,"American Shad",91,0,2,"",31319
"27",13864,"American Shad",83,0,2,"",31310
"28",13984,"American Shad",78,0,3,"",32235
"29",13818,"American Shad",75,0,11,"",30997
"30",13781,"American Shad",97,0,2,"",30601
"31",13984,"American Shad",89,0,3,"",32237
"32",13818,"American Shad",78,0,11,"",31002
"33",13681,"American Shad",100,0,3,"",30501
"34",13861,"American Shad",74,0,3,"",31301
"35",13973,"American Shad",73,0,1,"",31906
"36",13781,"American Shad",78,0,2,"",30602
"37",13864,"American Shad",75,0,2,"",31311
"38",13682,"American Shad",88,0,3,"",30511
"39",13724,"American Shad",70,0,1,"",30580
"40",13818,"American Shad",71,0,11,"",30996
"41",13984,"American Shad",86,0,3,"",32236
"42",13437,"Bigscale Logperch",39,0,1,"",29557
"43",13818,"Bigscale Logperch",87,0,1,"",31007
"44",13436,"Black Bass (unknown species)",17,133,163,"",29515
"45",13436,"Black Bass (unknown species)",19,133,163,"",29514
"46",13436,"Black Bass (unknown species)",16,133,163,"",29520
"47",13436,"Black Bass (unknown species)",18,133,163,"",29517
"48",13436,"Black Bass (unknown species)",18,133,163,"",29537
"49",13436,"Black Bass (unknown species)",16,133,163,"",29538
"50",13436,"Black Bass (unknown species)",19,133,163,"",29519
"51",13436,"Black Bass (unknown species)",20,133,163,"",29521
"52",13436,"Black Bass (unknown species)",19,133,163,"",29536
"53",13436,"Black Bass (unknown species)",19,133,163,"",29533
"54",13436,"Black Bass (unknown species)",19,133,163,"",29523
"55",13436,"Black Bass (unknown species)",19,133,163,"",29530
"56",13436,"Black Bass (unknown species)",18,133,163,"",29540
"57",13436,"Black Bass (unknown species)",19,133,163,"",29527
"58",13436,"Black Bass (unknown species)",21,133,163,"",29512
"59",13436,"Black Bass (unknown species)",19,133,163,"",29522
"60",13436,"Black Bass (unknown species)",19,133,163,"",29524
"61",13436,"Black Bass (unknown species)",20,133,163,"",29528
"62",13436,"Black Bass (unknown species)",20,133,163,"",29531
"63",13436,"Black Bass (unknown species)",18,133,163,"",29535
"64",13436,"Black Bass (unknown species)",18,133,163,"",29532
"65",13436,"Black Bass (unknown species)",18,133,163,"",29526
"66",13436,"Black Bass (unknown species)",19,133,163,"",29518
"67",13436,"Black Bass (unknown species)",18,133,163,"",29525
"68",13436,"Black Bass (unknown species)",17,133,163,"",29529
"69",13436,"Black Bass (unknown species)",17,133,163,"",29534
"70",13436,"Black Bass (unknown species)",20,133,163,"",29516
"71",13436,"Black Bass (unknown species)",19,133,163,"",29513
"72",13436,"Black Bass (unknown species)",17,133,163,"",29539
"73",13436,"Black Bass (unknown species)",21,133,163,"",29511
"74",13922,"Black Crappie",63,0,12,"",31533
"75",13816,"Black Crappie",80,0,5,"",30974
"76",13974,"Black Crappie",61,0,2,"",32007
"77",13820,"Black Crappie",68,0,2,"",31114
"78",13816,"Black Crappie",85,0,5,"",30976
"79",13816,"Black Crappie",114,0,5,"",30973
"80",13922,"Black Crappie",67,0,12,"",31535
"81",13922,"Black Crappie",69,0,12,"",31531
"82",13922,"Black Crappie",70,0,12,"",31537
"83",13974,"Black Crappie",65,0,2,"",32006
"84",13922,"Black Crappie",77,0,12,"",31538
"85",13922,"Black Crappie",78,0,12,"",31532
"86",13820,"Black Crappie",63,0,2,"",31115
"87",13816,"Black Crappie",89,0,5,"",30972
"88",13922,"Black Crappie",68,0,12,"",31528
