"","SampleID_key","CommonName","FishLength","PlusCount","TotalCatch","FishLengthComments","EntryOrder"
"1",12087,"American Shad",103,0,3,"",26198
"2",10949,"American Shad",152,0,1,"",25228
"3",12087,"American Shad",96,0,3,"",26196
"4",12087,"American Shad",97,0,3,"",26197
"5",11528,"American Shad",152,0,1,"",25824
"6",11470,"American Shad",61,0,2,"",25543
"7",11470,"American Shad",92,0,2,"",25542
"8",12170,"American Shad",80,0,3,"",27124
"9",12217,"American Shad",80,0,1,"",27707
"10",12170,"American Shad",75,0,3,"",27125
"11",12170,"American Shad",81,0,3,"",27123
"12",12085,"American Shad",92,0,1,"",26190
"13",12172,"Bay Pipefish",187,0,1,"",27190
"14",11470,"Bigscale Logperch",26,0,1,"",29082
"15",11471,"Bigscale Logperch",91,0,1,"",25555
"16",11470,"Black Crappie",81,0,2,"",25531
"17",10311,"Black Crappie",313,0,1,"",24916
"18",11470,"Black Crappie",105,0,2,"",25530
"19",10294,"Bluefin Killifish",27,0,1,"",24873
"20",12223,"Bluegill",33,0,1,"",27901
"21",10318,"Bluegill",62,0,8,"",24994
"22",10311,"Bluegill",35,0,5,"",24949
"23",10981,"Bluegill",53,0,2,"",25266
"24",10311,"Bluegill",34,0,5,"",24953
"25",10288,"Bluegill",38,0,2,"",24811
"26",10288,"Bluegill",42,0,2,"",24810
"27",10318,"Bluegill",33,0,8,"",24998
"28",10980,"Bluegill",66,0,1,"",25263
"29",10318,"Bluegill",46,0,8,"",24999
"30",12143,"Bluegill",39,0,4,"",26673
"31",10311,"Bluegill",45,0,5,"",24952
"32",10318,"Bluegill",37,0,8,"",25000
"33",12123,"Bluegill",28,0,1,"",26535
"34",10981,"Bluegill",56,0,2,"",25267
"35",12161,"Bluegill",27,0,2,"",26931
"36",12161,"Bluegill",27,0,2,"",26932
"37",12143,"Bluegill",37,0,4,"",26671
"38",10318,"Bluegill",35,0,8,"",24995
"39",10318,"Bluegill",42,0,8,"",24996
"40",12143,"Bluegill",39,0,4,"",26672
"41",10318,"Bluegill",30,0,8,"",24993
"42",12220,"Bluegill",63,0,1,"",27753
"43",12225,"Bluegill",55,0,1,"",27933
