"","SampleID_frp","OrganismCode","OrganismId","SampleID_key","VisitNo","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","Flagged_Data","QAQC.y","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","Visit.Date2","year","month","DateTime","Season","DepthSource2","DepthOfWater2","DepthOfWater3","DepthMeters","volume","rotations","rotation.final","rpm","FishId","TotalCatch","PlusCount","IDer","IdDate","PercentSampled","FishCatchNotes","EntryOrder","FishLength","FishWeight","Hai","FinsHai","SkinHai","EyesHai","ParasiteHai","GillsHai","DeformHai","TagYear","TagSerial","AdClip","Mortality","FishLengthComments","FishCode","Code_UCDAVIS","Code_YBFM","CommonName","Category","Species","Genus","Family","Order","Class","Phylum","Native","State.Status","Federal.Status","Status.Abrev","LifeStage","FishDiet","Legend_Clams","Legend_Fish_Color_hex","Legend_Fish","Legend_Macro","Legend_Meso","Analy","Analy2","CN","length_count","fish4$SampleID_frp","fish4$CommonName","count_check","CPUEbySpp","CPUEbySpp2","tCPUE","PercentComp","fish5$SampleID_frp","fish5$CommonName"
"1","BEASEI01-BRAD-09MAY2023","164",329,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","2",NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,15305,1,0,"","",NA,"",29663,37,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MOSQUI","MQF","MQF","Mosquitofish","Fish","affinis","Gambusia","Poeciliidae","Cyprinodontiformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mosquitofish","Fish Larvae","Fish Larvae","fish","fish","Mosquitofish",1,"BEASEI01-BRAD-09MAY2023","Mosquitofish",0,177.777777777778,177.777777777778,206933.333333333,0.000859106529209622,"BEASEI01-BRAD-09MAY2023","Mosquitofish"
"2","BEASEI01-BRAD-09MAY2023","197",315,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","2",NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,15303,535,505,"","",NA,"",29605,47,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"BEASEI01-BRAD-09MAY2023","Mississippi Silverside",0,95111.1111111111,95111.1111111111,206933.333333333,0.459621993127148,"BEASEI01-BRAD-09MAY2023","Mississippi Silverside"
"3","BEASEI01-BRAD-09MAY2023","216",371,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","2",NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,15307,1,1,"","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","MISSHR","MISSGRASS","SHRK","Grass Shrimp","Invertebrate","","Palaemonetes","Palaemonidae","Decapoda","Malacostraca","Arthropoda","Introduced","","","","adult",FALSE,"Present",NA,"","Decapoda Adult","Decapoda","Decapoda","Decapoda","Palaemonetes",NA,"BEASEI01-BRAD-09MAY2023","Grass Shrimp",NA,177.777777777778,0,206933.333333333,0,"BEASEI01-BRAD-09MAY2023","Grass Shrimp"
"4","BEASEI01-BRAD-09MAY2023","967",436,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","2",NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,15306,1,0,"","",NA,"",29664,58,NA,"true",0,0,0,0,0,0,NA,"","false","false","","SACPIK","SPM","SAPM","Sacramento Pikeminnow","Fish","grandis","Ptychocheilus","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Sacramento Pikeminnow","Fish Larvae","Fish Larvae","fish","fish","Sacramento Pikeminnow",1,"BEASEI01-BRAD-09MAY2023","Sacramento Pikeminnow",0,177.777777777778,177.777777777778,206933.333333333,0.000859106529209622,"BEASEI01-BRAD-09MAY2023","Sacramento Pikeminnow"
"5","BEASEI01-BRAD-09MAY2023","974",469,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","2",NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,15304,132,102,"","",NA,"",29646,20,NA,"true",0,0,0,0,0,0,NA,"","false","false","","SPLITT","ST","SPLT","Splittail","Fish","macrolepidotus","Pogonichthys","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Native","Moderate Concern","","MC","",FALSE,"Present",NA,"Sacramento Splittail","Fish Larvae","Fish Larvae","fish","fish","Sacramento Splittail",30,"BEASEI01-BRAD-09MAY2023","Splittail",0,23466.6666666667,23466.6666666667,206933.333333333,0.11340206185567,"BEASEI01-BRAD-09MAY2023","Splittail"
"6","BEASEI01-BRAD-09MAY2023","982",506,13449,8047,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","08:50","",NA,NA,NA,38.189129,121.920662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","2",NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ",2023-05-09,2023,5,"2023-05-09 08:50","Spring","",0.5,0.5,0.5,56.25,NA,NA,NA,15295,495,465,"","",NA,"",29568,25,NA,"true",0,0,0,0,0,0,NA,"","false","false","","THRSTI","STBK","TSS","Threespine Stickleback","Fish","aculeatus","Gasterosteus","Gasterosteidae","Gasterosteiformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Threespine Stickleback","Fish Larvae","Fish Larvae","fish","fish","Threespine Stickleback",30,"BEASEI01-BRAD-09MAY2023","Threespine Stickleback",0,88000,88000,206933.333333333,0.425257731958763,"BEASEI01-BRAD-09MAY2023","Threespine Stickleback"
"7","BEASEI01-BRAD-16NOV2023","110217",1381,13810,8369,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","09:10","",NA,NA,NA,38.189449,121.918505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","02",NA," 0%"," iPad",5,"Meter stick"," gps from ipad. detritus in net but no veg. depth from handheld",NA,"true","Airboat","DMC;ED;DH;SH","Bradmoor Island","11/16/2023","BRAD-SS","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",NA,13.3,7.5,5215,7.2,24.8,0.71,1.42,38.9," 1=absent",2," Inside",NA," false"," ",2023-11-16,2023,11,"2023-11-16 09:10","Fall","Handheld depth finder",0.5,0.5,0.5,56.25,NA,NA,NA,16374,4,0,"","",NA,"",33379,26,NA,"true",0,0,0,0,0,0,NA,"","false","false","","KILSPP","","KLF","Killifish spp.","Fish","","Lucania","Cyprinodontidae","Cyprinodontiformes","Osteichthyes","Chordata","Introduced","","","","adult",NA,"",NA,"Killifish spp.","","","","","",4,"BEASEI01-BRAD-16NOV2023","Killifish spp.",0,711.111111111111,711.111111111111,28800,0.0246913580246914,"BEASEI01-BRAD-16NOV2023","Killifish spp."
"8","BEASEI01-BRAD-16NOV2023","197",315,13810,8369,"true","Seine","BEASEI","","1. No twists; snags; or tears"," 2= against flow"," ",0.5,NA,15,15,"","09:10","",NA,NA,NA,38.189449,121.918505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","02",NA," 0%"," iPad",5,"Meter stick"," gps from ipad. detritus in net but no veg. depth from handheld",NA,"true","Airboat","DMC;ED;DH;SH","Bradmoor Island","11/16/2023","BRAD-SS","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",NA,13.3,7.5,5215,7.2,24.8,0.71,1.42,38.9," 1=absent",2," Inside",NA," false"," ",2023-11-16,2023,11,"2023-11-16 09:10","Fall","Handheld depth finder",0.5,0.5,0.5,56.25,NA,NA,NA,15713,158,128,"","",NA,"",30775,40,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"BEASEI01-BRAD-16NOV2023","Mississippi Silverside",0,28088.8888888889,28088.8888888889,28800,0.975308641975309,"BEASEI01-BRAD-16NOV2023","Mississippi Silverside"
"9","BEASEI01-BRAD-21DEC2023","164",329,13976,8476,"true","Seine","BEASEI","","2. Partial twist; snag; or tear"," 2= against flow"," ",1.1,NA,6.5,7,"","10:35","",NA,NA,NA,38.184728,121.918228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","02",NA," 0%"," Garmin 6",2,"Meter stick"," code 2: lots of grass on shore; lead line bouncing over grass",NA,"true","Airboat","DMC;DD;SH;AM","Bradmoor Island","12/21/2023","BRAD-SS","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",47,12,9.46,8403,7.4,9,0.22,0.57,16," 1=absent",2," Inside",NA," false"," ",2023-12-21,2023,12,"2023-12-21 10:35","Fall","Meter stick",1.1,1.1,1.1,25.025,NA,NA,NA,15980,2,0,"","",NA,"",32099,21,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MOSQUI","MQF","MQF","Mosquitofish","Fish","affinis","Gambusia","Poeciliidae","Cyprinodontiformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mosquitofish","Fish Larvae","Fish Larvae","fish","fish","Mosquitofish",2,"BEASEI01-BRAD-21DEC2023","Mosquitofish",0,799.200799200799,799.200799200799,21978.021978022,0.0363636363636364,"BEASEI01-BRAD-21DEC2023","Mosquitofish"
"10","BEASEI01-BRAD-21DEC2023","197",315,13976,8476,"true","Seine","BEASEI","","2. Partial twist; snag; or tear"," 2= against flow"," ",1.1,NA,6.5,7,"","10:35","",NA,NA,NA,38.184728,121.918228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","02",NA," 0%"," Garmin 6",2,"Meter stick"," code 2: lots of grass on shore; lead line bouncing over grass",NA,"true","Airboat","DMC;DD;SH;AM","Bradmoor Island","12/21/2023","BRAD-SS","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",47,12,9.46,8403,7.4,9,0.22,0.57,16," 1=absent",2," Inside",NA," false"," ",2023-12-21,2023,12,"2023-12-21 10:35","Fall","Meter stick",1.1,1.1,1.1,25.025,NA,NA,NA,15979,52,22,"","",NA,"",32092,68,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"BEASEI01-BRAD-21DEC2023","Mississippi Silverside",0,20779.2207792208,20779.2207792208,21978.021978022,0.945454545454545,"BEASEI01-BRAD-21DEC2023","Mississippi Silverside"
