"","VisitNo","SampleID_key","SampleID_frp","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","Flagged_Data","QAQC.y","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","Visit.Date2","year","month","DateTime","Season"
"1",7541,12565,"PPG11-BRAD-29MAR2023","true","MI","PPG",""," "," "," Channel edge",1.2,NA,NA,NA,"","09:10","",NA,NA,1.2,38.189228,121.912906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," ",40,0,0,0,0,60,NA,NA," false"," "," ","","",NA," "," ",NA," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","4=rain","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",19,11.5,9.49,825,7.5,30,0.66,1.04,23," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 09:10","Spring"
"2",7541,12562,"ZOOP11-BRAD-29MAR2023","true","Trawl","ZOOP",""," "," 2= against flow"," Channel",2,NA,NA,NA,"","09:33","09:38",5,NA,NA,38.187572,121.914805,38.188369,121.912846,31512,187,4443,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat","1",1," "," Garmin 6",3," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","4=rain","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",19,11.5,9.49,825,7.5,30,0.66,1.04,23," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 09:33","Spring"
"3",7541,12563,"NT11-BRAD-29MAR2023","true","Trawl","NT",""," "," 2= against flow"," Channel",2,NA,NA,NA,"","09:33","09:38",5,NA,NA,38.187572,121.914805,38.188369,121.912846,NA,NA,NA,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," 1.Surface","1.Boat","",NA," "," Garmin 6",3," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","4=rain","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",19,11.5,9.49,825,7.5,30,0.66,1.04,23," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 09:33","Spring"
"4",7541,12561,"MAC11-BRAD-29MAR2023","true","Trawl","MAC",""," "," 2= against flow"," Channel",1.8,NA,NA,NA,"","09:33","09:41",8,NA,NA,38.187572,121.914805,38.190269,121.912438,31511,210,18104,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," 1.Surface","1.Boat","5",5," "," Garmin 6",3," "," MAC end cut short due to channel ending",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","4=rain","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",19,11.5,9.49,825,7.5,30,0.66,1.04,23," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 09:33","Spring"
"5",7541,12564,"EAV11-BRAD-29MAR2023","true","MI","EAV",""," "," "," Channel edge",1.2,NA,NA,NA,"","09:10","",NA,NA,0.6,38.189228,121.912906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 3",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","",NA," "," ",NA," "," ~ 20 STEMS",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","4=rain","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",19,11.5,9.49,825,7.5,30,0.66,1.04,23," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 09:10","Spring"
"6",7542,12567,"ZOOP12-BRAD-29MAR2023","true","Trawl","ZOOP",""," "," 2= against flow"," Channel",2,NA,NA,NA,"","10:48","10:53",5,NA,NA,38.202965,121.910205,38.201431,121.912451,31512,8887,18710,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," 1.Surface","1.Boat","1",1," "," Garmin 6",3," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",26,11.7,9.49,907,7.5,34.1,0.71,1.17,26.2," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 10:48","Spring"
"7",7542,12569,"EAV12-BRAD-29MAR2023","true","MI","EAV",""," "," "," Channel edge",0.5,NA,NA,NA,"","","",NA,NA,1,38.202803,121.910271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 3",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","",NA," "," ",NA," "," ~ 20 STEMS SAMPLED",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",26,11.7,9.49,907,7.5,34.1,0.71,1.17,26.2," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 ","Spring"
"8",7542,12570,"PPG12-BRAD-29MAR2023","true","MI","PPG",""," "," "," Channel edge",0.8,NA,NA,NA,"","","",NA,NA,0.8,38.202803,121.910271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 1",60,0,0,0,0,40,NA,NA," false"," "," ","","",NA," "," ",NA," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",26,11.7,9.49,907,7.5,34.1,0.71,1.17,26.2," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 ","Spring"
"9",7542,12566,"MAC12-BRAD-29MAR2023","true","Trawl","MAC",""," "," 2= against flow"," Channel",2.1,NA,NA,NA,"","10:48","10:58",10,NA,NA,38.202965,121.910205,38.199733,121.916032,31511,18210,44621,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," 1.Surface","1.Boat","5",5," "," Garmin 6",3," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",26,11.7,9.49,907,7.5,34.1,0.71,1.17,26.2," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 10:48","Spring"
"10",7542,12568,"NT12-BRAD-29MAR2023","true","Trawl","NT",""," "," 2= against flow"," Channel",2,NA,NA,NA,"","10:48","10:53",5,NA,NA,38.202965,121.910205,38.201431,121.912451,NA,NA,NA,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," 1.Surface","1.Boat","",NA," "," Garmin 6",3," "," No #'s assigned to Neuston gear",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",26,11.7,9.49,907,7.5,34.1,0.71,1.17,26.2," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 10:48","Spring"
"11",7543,12575,"PPG14-BRAD-29MAR2023","true","MI","PPG",""," "," "," Channel edge",0.8,NA,NA,NA,"","12:10","",NA,NA,0.8,38.187398,121.913784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 1",30,0,0,0,0,70,NA,NA," false"," "," ","","",NA," "," ",NA," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",27,11,9.7,857,7.5,32.5,0.68,1.16,25.2," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 12:10","Spring"
"12",7543,12571,"MAC13-BRAD-29MAR2023","true","Trawl","MAC",""," "," 2= against flow"," Channel",1.1,NA,NA,NA,"","12:20","12:27",6,NA,NA,38.187651,121.914845,38.189511,121.912602,31511,44970,61081,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," 1.Surface","1.Boat","5",5," "," Garmin 6",3," "," MAC AND NT OUT FOR 10 SEC TO AVOID SAV. MAC ENDED EARLY BECAUSE CHANNEL BECAME TOO SHALLOW",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",27,11,9.7,857,7.5,32.5,0.68,1.16,25.2," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 12:20","Spring"
"13",7543,12572,"ZOOP13-BRAD-29MAR2023","true","Trawl","ZOOP",""," "," 2= against flow"," Channel",1.2,NA,NA,NA,"","12:20","12:26",5,NA,NA,38.187651,121.914845,38.188352,121.912848,31512,18787,28154,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat","1",1," "," Garmin 6",3," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",27,11,9.7,857,7.5,32.5,0.68,1.16,25.2," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 12:20","Spring"
"14",7543,12574,"EAV14-BRAD-29MAR2023","true","MI","EAV",""," "," "," Channel edge",0.4,NA,NA,NA,"","12:10","",NA,NA,0.2,38.187398,121.91374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 3",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","",NA," "," ",NA," "," ~ 25 STEMS SAMPLES. ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",27,11,9.7,857,7.5,32.5,0.68,1.16,25.2," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 12:10","Spring"
"15",7543,12573,"NT13-BRAD-29MAR2023","true","Trawl","NT",""," "," 2= against flow"," Channel edge",1.2,NA,NA,NA,"","12:20","12:26",5,NA,NA,38.187651,121.914845,38.188352,121.912848,NA,NA,NA,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat","",NA," "," Garmin 6",3," "," MAC AND NT OUT FOR 10 SEC TO AVOID SAV. MAC ENDED EARLY BECAUSE CHANNEL BECAME TOO SHALLOW",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",27,11,9.7,857,7.5,32.5,0.68,1.16,25.2," 1=absent",1," Inside",NA," false"," ",2023-03-29,2023,3,"2023-03-29 12:20","Spring"
"16",7544,12578,"NT14-BRAD-29MAR2023","true","Trawl","NT",""," "," 2= against flow"," Channel",1.5,NA,NA,NA,"","13:08","13:13",5,NA,NA,38.203094,121.910194,38.201515,121.911884,NA,NA,NA,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat","",NA," "," Garmin 6",3," "," no gear ID for neuston",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",24,11.5,8.83,1195,7.3,40.9,0.87,1.88,34.4," 1=absent",1," Inside",NA," false"," No point samples",2023-03-29,2023,3,"2023-03-29 13:08","Spring"
"17",7544,12577,"ZOOP14-BRAD-29MAR2023","true","Trawl","ZOOP",""," "," 2= against flow"," Channel",1.5,NA,NA,NA,"","13:08","13:13",5,NA,NA,38.203094,121.910194,38.201515,121.911884,31512,28158,39210,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat","1",1," "," Garmin 6",3," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",24,11.5,8.83,1195,7.3,40.9,0.87,1.88,34.4," 1=absent",1," Inside",NA," false"," No point samples",2023-03-29,2023,3,"2023-03-29 13:08","Spring"
"18",7544,12576,"MAC14-BRAD-29MAR2023","true","Trawl","MAC",""," "," 2= against flow"," Channel",1.6,NA,NA,NA,"","13:08","13:18",10,NA,NA,38.203094,121.910194,38.200451,121.915134,31511,61230,87756,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat","5",5," "," Garmin 6",3," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",24,11.5,8.83,1195,7.3,40.9,0.87,1.88,34.4," 1=absent",1," Inside",NA," false"," No point samples",2023-03-29,2023,3,"2023-03-29 13:08","Spring"
"19",7545,14013,"EAV13-BRAD-29MAR2023","true","MI","EAV",""," "," "," Channel",0.8,NA,NA,NA,"","11:38","",NA,NA,0.4,38.199722,121.915846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 3",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","",NA," "," Garmin 6",3," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",27,11.3,8.65,1189,7.3,40.9,0.84,1.81,35.1," 1=absent",1," Inside",NA," false"," Point samples only",2023-03-29,2023,3,"2023-03-29 11:38","Spring"
