"","SampleID_frp","Location","CommonName","TotalCatch","CPUEbySpp2"
"1","BEASEI01-BRAD-09MAY2023","Bradmoor Island","Mississippi Silverside",535,95111.1111111111
"2","BEASEI01-BRAD-09MAY2023","Bradmoor Island","Splittail",132,23466.6666666667
"3","BEASEI01-BRAD-09MAY2023","Bradmoor Island","Threespine Stickleback",495,88000
"4","BEASEI01-BRAD-16NOV2023","Bradmoor Island","Killifish spp.",4,711.111111111111
"5","BEASEI01-BRAD-16NOV2023","Bradmoor Island","Mississippi Silverside",158,28088.8888888889
"6","BEASEI01-BRAD-21DEC2023","Bradmoor Island","Mosquitofish",2,799.200799200799
"7","BEASEI01-BRAD-21DEC2023","Bradmoor Island","Mississippi Silverside",52,20779.2207792208
"8","BEASEI01-BRAD-21DEC2023","Bradmoor Island","Threespine Stickleback",1,399.6003996004
"9","BEASEI01-HORS-01FEB2023","Horseshoe Bend","Chinook Salmon (fall)",2,355.555555555556
"10","BEASEI01-HORS-01FEB2023","Horseshoe Bend","Mississippi Silverside",4,711.111111111111
"11","BEASEI01-HORS-02MAR2023","Horseshoe Bend","Chinook Salmon (fall)",59,12190.0826446281
"12","BEASEI01-HORS-02MAR2023","Horseshoe Bend","Chinook Salmon (spring)",4,826.446280991735
"13","BEASEI01-HORS-02MAR2023","Horseshoe Bend","Mississippi Silverside",34,7024.79338842975
"14","BEASEI01-HORS-03JAN2023","Horseshoe Bend","Chinook Salmon (fall)",4,888.888888888889
"15","BEASEI01-HORS-03JAN2023","Horseshoe Bend","Mississippi Silverside",2,444.444444444444
"16","BEASEI01-HORS-03JAN2023","Horseshoe Bend","Sacramento Pikeminnow",4,888.888888888889
"17","BEASEI01-HORS-10MAY2023","Horseshoe Bend","Mississippi Silverside",3,484.848484848485
"18","BEASEI01-HORS-10MAY2023","Horseshoe Bend","Splittail",252,40727.2727272727
"19","BEASEI01-HORS-11APR2023","Horseshoe Bend","Chinook Salmon (fall)",25,5341.88034188034
"20","BEASEI01-HORS-11APR2023","Horseshoe Bend","Pacific Staghorn Sculpin",2,427.350427350427
"21","BEASEI01-HORS-11APR2023","Horseshoe Bend","Sacramento Pikeminnow",3,641.025641025641
"22","BEASEI01-HORS-11APR2023","Horseshoe Bend","Shimofuri Goby",12,2564.10256410256
"23","BEASEI01-HORS-11APR2023","Horseshoe Bend","Yellowfin Goby",3,641.025641025641
"24","BEASEI01-HORS-19DEC2023","Horseshoe Bend","Mississippi Silverside",59,14898.9898989899
"25","BEASEI01-HORS-21NOV2023","Horseshoe Bend","Mississippi Silverside",195,28824.8337028825
"26","BEASEI01-LIBE-07NOV2023","Liberty Island","Killifish spp.",1,663.129973474801
"27","BEASEI01-LIBE-07NOV2023","Liberty Island","Mississippi Silverside",1,663.129973474801
"28","BEASEI01-LIBE-25MAY2023","Liberty Island","Splittail",1109,122203.856749311
"29","BEASEI01-TULE-14DEC2023","Tule Red","Killifish spp.",323,61523.8095238095
"30","BEASEI01-TULE-14DEC2023","Tule Red","Mosquitofish",3,571.428571428571
"31","BEASEI01-TULE-14DEC2023","Tule Red","Threespine Stickleback",36,6857.14285714286
"32","BEASEI01-TULE-20MAR2023","Tule Red","Pacific Staghorn Sculpin",8,1185.18518518519
"33","BEASEI01-TULE-30JAN2023","Tule Red","Pacific Staghorn Sculpin",26,4622.22222222222
"34","BEASEI01-WING-04APR2023","Wings Landing","Pacific Staghorn Sculpin",2,2721.08843537415
"35","BEASEI01-WING-04APR2023","Wings Landing","Shimofuri Goby",1,1360.54421768707
"36","BEASEI01-WING-04APR2023","Wings Landing","Threespine Stickleback",3,4081.63265306122
"37","BEASEI02-BRAD-09MAY2023","Bradmoor Island","Killifish spp.",26,2888.88888888889
"38","BEASEI02-BRAD-09MAY2023","Bradmoor Island","Mississippi Silverside",109,12111.1111111111
"39","BEASEI02-BRAD-09MAY2023","Bradmoor Island","Threespine Stickleback",86,9555.55555555556
"40","BEASEI02-BRAD-16NOV2023","Bradmoor Island","Mississippi Silverside",229,29079.3650793651
"41","BEASEI02-BRAD-16NOV2023","Bradmoor Island","Splittail",5,634.920634920635
"42","BEASEI02-BRAD-16NOV2023","Bradmoor Island","Threadfin Shad",11,1396.8253968254
"43","BEASEI02-BRAD-21DEC2023","Bradmoor Island","Mosquitofish",2,538.720538720539
"44","BEASEI02-BRAD-21DEC2023","Bradmoor Island","Mississippi Silverside",63,16969.696969697
"45","BEASEI02-FLYW-08MAR2023","Flyway Farms","Killifish spp.",4,1098.9010989011
"46","BEASEI02-FLYW-08MAR2023","Flyway Farms","Mosquitofish",10,2747.25274725275
"47","BEASEI02-FLYW-08MAR2023","Flyway Farms","Mississippi Silverside",838,230219.78021978
"48","BEASEI02-FLYW-08MAR2023","Flyway Farms","Golden Shiner",7,1923.07692307692
"49","BEASEI02-FLYW-08MAR2023","Flyway Farms","Hitch",4,1098.9010989011
"50","BEASEI02-FLYW-08MAR2023","Flyway Farms","Sacramento Pikeminnow",4,1098.9010989011
"51","BEASEI02-HORS-01FEB2023","Horseshoe Bend","Killifish spp.",3,350.877192982456
"52","BEASEI02-HORS-01FEB2023","Horseshoe Bend","Mississippi Silverside",6,701.754385964912
"53","BEASEI02-HORS-02MAR2023","Horseshoe Bend","Chinook Salmon (fall)",5,701.754385964912
"54","BEASEI02-HORS-02MAR2023","Horseshoe Bend","Mississippi Silverside",291,40842.1052631579
"55","BEASEI02-HORS-03JAN2023","Horseshoe Bend","Chinook Salmon (fall)",4,1367.52136752137
"56","BEASEI02-HORS-03JAN2023","Horseshoe Bend","Mosquitofish",2,683.760683760684
"57","BEASEI02-HORS-03JAN2023","Horseshoe Bend","Mississippi Silverside",32,10940.1709401709
