FishId,SampleID_key,OrganismId,TotalCatch,PlusCount,IDer,IdDate,PercentSampled,FishCatchNotes,EntryOrder,FishLength,FishWeight,Hai,FinsHai,SkinHai,EyesHai,ParasiteHai,GillsHai,DeformHai,TagYear,TagSerial,AdClip,Mortality,FishLengthComments
2001,19,527,2,0,,,,,1,100,,true,0,0,0,0,,0,,,false,false,
2001,19,527,2,0,,,,,2,107,,true,0,0,0,0,,0,,,false,false,
2002,39,272,10,0,,,,,3,357,,true,0,0,0,0,,0,,,false,false,
2002,39,272,10,0,,,,,4,165,,true,0,0,0,0,,0,,,false,false,
2002,39,272,10,0,,,,,5,103,,true,0,0,0,0,,0,,,false,false,
2002,39,272,10,0,,,,,6,267,,true,0,0,0,0,,0,,,false,false,
2002,39,272,10,0,,,,,7,62,,true,0,0,0,0,,0,,,false,false,
2002,39,272,10,0,,,,,8,135,,true,0,0,0,0,,0,,,false,false,
2002,39,272,10,0,,,,,9,195,,true,0,0,0,0,,0,,,false,false,
2002,39,272,10,0,,,,,10,87,,true,0,0,0,0,,0,,,false,false,
2002,39,272,10,0,,,,,11,88,,true,0,0,0,0,,0,,,false,false,
2002,39,272,10,0,,,,,12,95,,true,0,0,0,0,,0,,,false,false,
2003,18,51,3,0,,,,,13,109,,true,0,0,0,0,,0,,,false,false,
2003,18,51,3,0,,,,,14,106,,true,0,0,0,0,,0,,,false,false,
2003,18,51,3,0,,,,,15,97,,true,0,0,0,0,,0,,,false,false,
2004,1485,122,1,,,,,,,,,,,,,,,,,,,,
2005,4294,400,1,,DC,12/20/2017,,,16,5.5,,true,0,0,0,0,,0,,,false,false,
2006,4315,400,2,,DC,12/20/2017,,,17,6,,true,0,0,0,0,,0,,,false,false,
2006,4315,400,2,,DC,12/20/2017,,,18,7,,true,0,0,0,0,,0,,,false,false,
2007,1535,125,2,2,,,,,22242,0,,true,0,0,0,0,0,0,,,false,false,
2008,53,329,1,,,,,,19,18,,true,0,0,0,0,,0,,,false,false,
2009,32,211,0,11,,,,,20,,,true,0,0,0,0,,0,,,false,false,
2010,4259,400,3,,DC,12/21/2017,,,21,6.5,,true,0,0,0,0,,0,,,false,false,
2010,4259,400,3,,DC,12/21/2017,,,22,4,,true,0,0,0,0,,0,,,false,false,
2010,4259,400,3,,DC,12/21/2017,,,23,7,,true,0,0,0,0,,0,,,false,false,
2011,1510,315,2,,,,,,24,65,,true,0,0,0,0,,0,,,false,false,
2011,1510,315,2,,,,,,25,60,,true,0,0,0,0,,0,,,false,false,
2012,1543,125,1,1,,,,,22248,0,,true,0,0,0,0,0,0,,,false,false,
2013,1283,15,1,,,,,,26,98,,true,0,0,0,0,,0,,,false,false,
