OrganismID,OrganismCode,FishCode,Code_UCDAVIS,Code_YBFM,CommonName,Category,Species,Genus,Family,Order,Class,Phylum,Native,State Status,Federal Status,Status Abrev,LifeStage,FishDiet,Legend_Clams,Legend_Fish_Color_hex,Legend_Fish,Legend_Macro,Legend_Meso,Analy,Analy2,CN
12,901,AEQSPP,,,Aequorea spp.,Fish,unknown,Aequorea,Aequoreidae,Leptothecata,Hydrozoa,Cnidaria,Native,,,,,FALSE,Present,,,Jellyfish,Jellyfish,Hydrozoa,Other,Other
1481,,AMEBUL,,,American Bullfrog,,catesbeiana,Lithobates,Ranidae,Anura,Amphibia,Chordata,Introduced,,,,,,,,,,,,,
15,902,AMESHA,ASH,AMS,American Shad,Fish,sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,American Shad,Fish Larvae,Fish Larvae,fish,fish,American Shad
30,903,ARRGOB,AGB,,Arrow Goby,Fish,ios,Clevelandia,Oxudercidae,Gobiiformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Arrow Goby,Fish Larvae,Fish Larvae,fish,fish,Arrow Goby
40,904,BARSUR,BSP,,Barred Surfperch,Fish,argenteus,Amphistichus,Embiotocidae,,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Barred Surfperch,Fish Larvae,Fish Larvae,fish,fish,Barred Surfperch
41,905,BATRAY,BRA,,Bat Ray,Fish,californica,Myliobatis,Myliobatidae,Myliobatiformes,Elasmobranchii,Chordata,Native,,,,,FALSE,Present,,Bat Ray,Fish Larvae,Fish Larvae,fish,fish,Bat Ray
42,906,BAYGOB,BGB,,Bay Goby,Fish,lepidus,Lepidogobius,Oxudercidae,Gobiiformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Bay Goby,Fish Larvae,Fish Larvae,fish,fish,Bay Goby
43,907,BAYPIP,BYP,,Bay Pipefish,Fish,leptorhynchus,Syngnathus,Syngnathidae,Syngnathiformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Bay Pipefish,Fish Larvae,Fish Larvae,fish,fish,Bay Pipefish
47,909,BIGLOG,BLP,LP,Bigscale Logperch,Fish,macrolepida,Percidae,Percidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Bigscale Logperch,Fish Larvae,Fish Larvae,fish,fish,Bigscale Logperch
46,908,BIGSKA,BSK,,Big Skate,Fish,binoculata,Raja,Rajidae,Rajiformes,Elasmobranchii,Chordata,Native,,,,,FALSE,Present,,Big Skate,Fish Larvae,Fish Larvae,fish,fish,Big Skate
49,910,BLABAS,BASS,BAS,Black Bass (unknown species),Fish,,,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Black Bass spp.,Fish Larvae,Fish Larvae,fish,fish,Black Bass (unknown species)
50,911,BLABUL,BLB,BKB,Black Bullhead,Fish,melas,Ameiurus,Ictaluridae,Siluriformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Black Bullhead,Fish Larvae,Fish Larvae,fish,fish,Black Bullhead
52,913,BLACKF,,,Blackfordia,Invertebrate,,Blackfordia,Blackfordiidae,Leptothecata,Hydrozoa,Cnidaria,Introduced,,,,,FALSE,Present,,,Jellyfish,Jellyfish,Jellyfish,Jellyfish,Blackfordia
51,912,BLACRA,BC,BKS,Black Crappie,Fish,nigromaculatus,Pomoxis,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Black Crappie,Fish Larvae,Fish Larvae,fish,fish,Black Crappie
53,914,BLUCAT,BLCF,,Blue Catfish,Fish,furcatus,Ictalurus,Ictaluridae,Siluriformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Blue Catfish,Fish Larvae,Fish Larvae,fish,fish,Blue Catfish
55,916,BLUEGI,BG,BGS,Bluegill,Fish,macrochirus,Lepomis,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Bluegill,Fish Larvae,Fish Larvae,fish,fish,Bluegill
54,915,BLUKIL,,,Bluefin Killifish,Fish,goodei,Lucania,Fundulidae,Cyprinodontiformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Bluefin Killifish,Fish Larvae,Fish Larvae,fish,fish,Bluefin Killifish
62,917,BROBUL,BB,BRB,Brown Bullhead,Fish,nebulosus,Ameiurus,Ictaluridae,Siluriformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Brown Bullhead,Fish Larvae,Fish Larvae,fish,fish,Brown Bullhead
71,918,CALROA,CRCH,,California Roach,Fish,symmetricus,Hesperoleucus,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Native,Moderate Concern,,MC,,FALSE,Present,,Cenral California Roach,Fish Larvae,Fish Larvae,fish,fish,Central California Roach
80,920,CHACAT,CCF,CHC,Channel Catfish,Fish,punctatus,Ictalurus,Ictaluridae,Siluriformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Channel Catfish,Fish Larvae,Fish Larvae,fish,fish,Channel Catfish
79,919,CHAGOB,CGB,,Chameleon Goby,Fish,trigonocephalus,Tridentiger,Oxudercidae,Gobiiformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Chameleon Goby,Fish Larvae,Fish Larvae,fish,fish,Chameleon Goby
499,CHEESE,CHEESE,,,testest,Fish,,,dairy,,,,,,,,,FALSE,Present,,,,,,,
81,921,CHISAL,CS,CHN,Chinook Salmon (run unk),Fish,tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Chinook Salmon (run unk),Fish Larvae,Fish Larvae,fish,fish,Chinook Salmon (run unk)
1366,1366,CHISAL-A,,,Chinook Salmon (adult),Fish,tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Chinook Salmon (adult),,,fish,fish,Chinook Salmon (adult)
1361,1361,CHISAL-F,,,Chinook Salmon (fall),Fish,tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Chinook Salmon (fall),,,fish,fish,Chinook Salmon (fall)
1364,1364,CHISAL-L,,,Chinook Salmon (late-fall),Fish,tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Chinook Salmon (late-fall),,,fish,fish,Chinook Salmon (late-fall)
1362,1362,CHISAL-S,,,Chinook Salmon (spring),Fish,tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Chordata,Native,State Threatened,Federally Threatened,"ST, FT",,FALSE,Present,,Chinook Salmon (spring),,,fish,fish,Chinook Salmon (spring)
1365,1365,CHISAL-T,,,Chinook Salmon (tagged),Fish,tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Chinook Salmon (tagged),,,fish,fish,Chinook Salmon (tagged)
1363,1363,CHISAL-W,,,Chinook Salmon (winter),Fish,tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Chordata,Native,State Endangered,Federally Endangered,"SE, FE",,FALSE,Present,,Chinook Salmon (winter),,,fish,fish,Chinook Salmon (winter)
88,922,CHRYSO,,,Chrysaora,Fish,,Chrysaora,Pelagiidae,Semaeostomeae,Scyphozoa,Cnidaria,,,,,,FALSE,Present,,,Fish Larvae,Fish Larvae,fish,fish,Chrysaora
1017,1017,CLUSPP,,,Clupeidae larvae,Other,,,Clupeidae,Clupeiformes,Actinopterygii,Chordata,,,,,larvae,FALSE,Present,,Clupeidae larvae,Fish Larvae,Fish Larvae,fish,fish,Clupeidae larvae
110,924,COMCAR,CP,C,Common Carp,Fish,carpio,Cyprinus,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Common Carp,Fish Larvae,Fish Larvae,fish,fish,Common Carp
109,923,COMJEL,,,Comb Jelly,Fish,,Pleurobrachia,Pleurobrachiidae,Cydippida,Tentaculata,Ctenophora,,,,,,FALSE,Present,,,Jellyfish,Jellyfish,Jellyfish,Jellyfish,Comb Jelly
115,8,CORBIC,CORBICULA,,Corbicula,Fish,fluminea,Corbicula,Corbiculidae,Veneroida,Bivalvia,Mollusca,,,,,adult,FALSE,Corbicula,,,Bivalvia,Other,Bivalvia,Mollusca,Corbicula
122,76,CRANGO,CRANGON,,Bay Shrimp,Fish,,Crangon,Caridae,Decapoda,Malacostraca,Arthropoda,Native,,,,adult,FALSE,Present,,,Decapoda Adult,Decapoda,Decapoda,Decapoda,Crangon
124,926,CRASPP,,,Crappie spp.,Fish,,Pomoxis,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Crappie spp.,Fish Larvae,Fish Larvae,fish,fish,Crappie spp.
125,171,CRAYFI,RSC,,Crayfish,Fish,,Pacifastacus,Astacidae,Decapoda,Malacostraca,Arthropoda,,,,,adult,FALSE,Present,,,Decapoda Adult,Decapoda,Decapoda,Decapoda,Crayfish
