QAQC,VisitNo,Boat,Crew,Location,Visit Date,Station,Weather,WindWaves,WindDirection,Tide,Secchi,SurfTemp,DO,SC,pH,Turbidity,Phycocyanin,Chlorophyll,FDOM,Microcystis,SondeNo,Wetland,DataQuality,QuestionableData,SiteComments
true,3063,Mudsucker,DC;GU;KP;MMS,Miner Slough,06/27/2019,Z_OLD_PROBR,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,,,, , , , , , , 1=absent, , , , false, Vegetation: CAM 100%
true,3081,Mudsucker,DC;GU;KP;MMS,z_old_Cache Slough,06/27/2019,Z_OLD_HS3,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 3=low slack,120,20.3,8.3, 195, 8.2, 4.1, , 0.2, , 1=absent, , , , false, 
true,3085,Mudsucker,CB;DC;NE;GU;SH;MMS,Miner Slough,09/24/2019,Z_OLD_PROBR,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,185,18.7,3.2, 151, 7.1, 2.3, , 1.7, , 1=absent, , , , false, 
true,3136,Mudsucker,DC;NE;GU;MMS,Winter Island,08/26/2019,Z_OLD_WINT_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 3=low slack,,21.9,3.5, 2213, 7.1, 7.2, , 0.5, , 3=medium, , , , false, Location: Winter Island; station not listed
true,3062,Mudsucker,DC;SH;KP;MMS,Miner Slough,09/23/2019,Z_OLD_MINER TULES,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 4=flood,154,20.9,10.3, 193, 8.4, 4.6, , 0.3, , 1=absent, , , , false, 
true,3413,Chinook,JC;DC;SH;MMS,Toe Drain,10/21/2019,TOED-N,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,24,16.6,8.1, 223, 8.2, 20.2, 0, 0.2, 586, 1=absent, , , , false, Location and Station: Toe Drain  PC=0.15  DMC221007: corrected Location from 'Yolo Bypass' to 'Toe Drain' and station 'TOED-N'
true,3415,Chinook,JC;DC;SH;MMS,z_old_Cache Slough,10/21/2019,Z_OLD_SHAG2,,, , ,,,, , , , , , , , , , , false, Location: Shag 2  Station: SHABS1  Stump on site. Stump removed.   No data
true,3214,Mudsucker,MA;DC;GU;MMS,Horseshoe Bend,08/06/2019,Z_OLD_HORS_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,,,, , , , , , , 2=low, , , , false, Guest: Nicole Rusell; Note: Intended to use previous environmentals
true,3126,Mudsucker,CB;DC;GU;SH;MMS,Browns Island,10/16/2019,Z_OLD_520 FRP,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,101,16.4,7, 1343, 7.2, 6.7, 0.12, 0.5, 574, 2=low, , , , false, Location: Confluence Station: 520FRP  Corrected: Browns; 520
true,3149,Mudsucker,DC;DE;GU;MMS,z_old_Cache Slough,08/28/2019,Z_OLD_CACHE,1=0-33% clouds,3= wind 8-12 mph; large wavelets, W, 2=ebb,135,20.3,8.4, 357, 8, 3, , 0.3, , 1=absent, , , , false, Location: Cache Slough; station not listed
true,3407,Mudsucker,DC;NE;SH,z_old_Cache Slough,10/17/2019,Z_OLD_SHAG2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 2=ebb,41,16.3,7.8, 379, 7.7, 16.1, 0, 0.4, 1316, 1=absent, , , , false, Location: Shag Slough  No station listed  PC=0.32
