"","SampleID_key","SampleID_frp","CommonName","VisitNo","subsample","Count","AdjCount","fixedLatStart","fixedLatEnd","fixedLongStart","fixedLongEnd","newLocation","newStation","DepthOfSample","DepthOfWater","GearTypeAbbreviation","LAB_NAME","Date","effort","CPUE","OrganismID"
"1",12621,"EAV11-ARNO-03APR2023","Prickly Sculpin",7581,100,2,2,38.180913,NA,-121.899073,NA,"Arnold Slough","ARNO-CH-NE",0.3,0.7,"EAV","FRP",2023-04-03,1,2,400
"2",12621,"EAV11-ARNO-03APR2023","Gammarus",7581,100,1,1,38.180913,NA,-121.899073,NA,"Arnold Slough","ARNO-CH-NE",0.3,0.7,"EAV","FRP",2023-04-03,1,1,206
"3",12621,"EAV11-ARNO-03APR2023","Gnorimosphaeroma",7581,100,1,1,38.180913,NA,-121.899073,NA,"Arnold Slough","ARNO-CH-NE",0.3,0.7,"EAV","FRP",2023-04-03,1,1,210
"4",12581,"EAV11-BLAC-30MAR2023","Gammarus",7546,100,4,4,38.17746133,NA,-121.91232,NA,"Blacklock Marsh","BLAC-INT",0.5,0.9,"EAV","FRP",2023-03-30,1,4,206
"5",12581,"EAV11-BLAC-30MAR2023","Oligochaete",7546,100,1,1,38.17746133,NA,-121.91232,NA,"Blacklock Marsh","BLAC-INT",0.5,0.9,"EAV","FRP",2023-03-30,1,1,357
"6",12581,"EAV11-BLAC-30MAR2023","Barnacle Adult",7546,100,1,1,38.17746133,NA,-121.91232,NA,"Blacklock Marsh","BLAC-INT",0.5,0.9,"EAV","FRP",2023-03-30,1,1,1401
"7",12581,"EAV11-BLAC-30MAR2023","Spider",7546,100,1,1,38.17746133,NA,-121.91232,NA,"Blacklock Marsh","BLAC-INT",0.5,0.9,"EAV","FRP",2023-03-30,1,1,468
"8",12564,"EAV11-BRAD-29MAR2023","Gammarus",7541,100,35,35,38.18428133,NA,-121.921665,NA,"Bradmoor Island","BRAD-SS",0.6,1.2,"EAV","FRP",2023-03-29,1,35,206
"9",12564,"EAV11-BRAD-29MAR2023","Americorophium spinicorne",7541,100,1,1,38.18428133,NA,-121.921665,NA,"Bradmoor Island","BRAD-SS",0.6,1.2,"EAV","FRP",2023-03-29,1,1,16
"10",12564,"EAV11-BRAD-29MAR2023","Carabidae adult",7541,100,1,1,38.18428133,NA,-121.921665,NA,"Bradmoor Island","BRAD-SS",0.6,1.2,"EAV","FRP",2023-03-29,1,1,1221
"11",12564,"EAV11-BRAD-29MAR2023","Fish Eggs",7541,100,4,4,38.18428133,NA,-121.921665,NA,"Bradmoor Island","BRAD-SS",0.6,1.2,"EAV","FRP",2023-03-29,1,4,197
"12",12564,"EAV11-BRAD-29MAR2023","Gnorimosphaeroma",7541,100,1,1,38.18428133,NA,-121.921665,NA,"Bradmoor Island","BRAD-SS",0.6,1.2,"EAV","FRP",2023-03-29,1,1,210
"13",12564,"EAV11-BRAD-29MAR2023","Diptera adult",7541,100,1,1,38.18428133,NA,-121.921665,NA,"Bradmoor Island","BRAD-SS",0.6,1.2,"EAV","FRP",2023-03-29,1,1,165
"14",13506,"EAV11-BROW-16MAY2023","Diptera adult",8096,100,2,2,38.039584,NA,-121.864325,NA,"Browns Island","BROW-CH-MAIN",0.4,0.8,"EAV","FRP",2023-05-16,1,2,165
"15",13506,"EAV11-BROW-16MAY2023","Aphididae larvae",8096,100,7,7,38.039584,NA,-121.864325,NA,"Browns Island","BROW-CH-MAIN",0.4,0.8,"EAV","FRP",2023-05-16,1,7,29
"16",13506,"EAV11-BROW-16MAY2023","Chironomid larvae",8096,100,6,6,38.039584,NA,-121.864325,NA,"Browns Island","BROW-CH-MAIN",0.4,0.8,"EAV","FRP",2023-05-16,1,6,82
"17",13506,"EAV11-BROW-16MAY2023","Tanaid",8096,100,2,2,38.039584,NA,-121.864325,NA,"Browns Island","BROW-CH-MAIN",0.4,0.8,"EAV","FRP",2023-05-16,1,2,495
"18",13506,"EAV11-BROW-16MAY2023","Ceratopogonidae larvae",8096,100,11,11,38.039584,NA,-121.864325,NA,"Browns Island","BROW-CH-MAIN",0.4,0.8,"EAV","FRP",2023-05-16,1,11,76
"19",13506,"EAV11-BROW-16MAY2023","Collembola",8096,100,1,1,38.039584,NA,-121.864325,NA,"Browns Island","BROW-CH-MAIN",0.4,0.8,"EAV","FRP",2023-05-16,1,1,108
