"SampleID_key","SampleID_frp","VisitNo","QAQC","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","newStation","fixedLatStart","fixedLongStart","fixedLatEnd","fixedLongEnd"
12241,"BEASEI01-HORS-03JAN2023",7241,"true","Seine","BEASEI",""," 1. No twists; snags; or tears"," 2= against flow"," ",1,NA,6,15,"","09:10","",NA,NA,NA,38.098501,121.70949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","2",NA," 0%"," ",NA," "," GPS #6; ACCURACY 3M. NOT PAIRED. SALMON! GPS manually updated from geo-tagged photos taken that day - ED 21JUL2023","HORS-N",38.098501,-121.70949,NA,NA
12242,"BEASEI02-HORS-03JAN2023",7242,"true","Seine","BEASEI",""," 1. No twists; snags; or tears"," 2= against flow"," ",1,NA,6.5,9,"","09:54","",NA,NA,NA,38.097405,121.709736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Crew Members"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","2",NA," 1-33%"," ",NA," "," GPS 6; ACCURACY 2M. NOT PAIRED. DOMINANT VEGETATION IN NET: EGEDEN. TIDE FLOWING OUT STILL BECAUSE OF AMOUNT OF WATER THERE IS. GPS manually updated based on fixed beach seine locations - ED 21JUL2023","HORS-N",38.097405,-121.709736,NA,NA
12243,"LAMOPE01-HORS-03JAN2023",7243,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.9,NA,NA,NA,"","10:31","",NA,NA,NA,38.083104,121.712136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED.GPS calculated and corrected in 2023 Sample Inventory - ED 21JUL2023","HORS-M",38.083104,-121.712136,NA,NA
12244,"LAMOPE02-HORS-03JAN2023",7244,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.6,NA,NA,NA,"","10:59","",NA,NA,NA,38.084148,121.720405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. DOMINANT VEGETATION IN NET: EGEDEN; HYACINTH. GPS calculated and corrected in 2023 Sample Inventory - ED 21JUL2023","HORS-M",38.084148,-121.720405,NA,NA
12245,"LAMOPE03-DECK-03JAN2023",7245,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.3,NA,NA,NA,"","11:20","",NA,NA,NA,38.084279,121.724097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. DOMINANT VEGETATION IN NET: HYACINTH. GPS manually corrected from geo-tagged photos from that day - ED 21JUL2023","DECK-TP",38.084279,-121.724097,NA,NA
12246,"LAMOPE04-HORS-03JAN2023",7246,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.4,NA,NA,NA,"","11:40","",NA,NA,NA,38.080321,121.728292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. DOMINANT VEGETATION IN NET: EGEDEN. GPS manually updated from geo-tagged photos taken that day - ED 21JUL2023 ","HORS-S",38.080321,-121.728292,NA,NA
12247,"LAMOPE05-WTIB-03JAN2023",7247,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",12,NA,NA,NA,"","12:40","",NA,NA,NA,38.095686,121.591478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. CODE 2- DEPTH. GPS calculated and fixed in 2023 sample inventory - ED 21JUL2023","WTIB-CH-S",38.095686,-121.591478,NA,NA
12251,"LAMOPE06-WTIB-03JAN2023",7248,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",7.1,NA,NA,NA,"","12:52","",NA,NA,NA,38.094711,121.584098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. CODE 2 - DEEP. GPS calculated and fixed in 2023 Sample Inventory - ED 21JUL2023","WTIB-CH-S",38.094711,-121.584098,NA,NA
12252,"LAMOPE07-WTIB-03JAN2023",7249,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.1,NA,NA,NA,"","13:08","",NA,NA,NA,38.096616,121.589746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 6; ACCURACY 3M. NOT PAIRED. DOMINANT VEGETATION IN NET: EGEDEN. PULLED NET THROUGH TULES. GPS calculated and fixed in 2023 Sample Inventory - ED 21JUL2023","WTIB-CH-N",38.096616,-121.589746,NA,NA
12253,"LAMOPE01-WINT-12JAN2023",7250,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",1.2,NA,NA,NA,"","08:26","",NA,NA,NA,38.046178,121.849661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. NET BRIEFLY CAUGHT ON SOMETHING BUT IT CAME LOOSE WHEN IT WAS BEING PULLED IN; NO HOLES FOUND","WINT-CH-BREACH-E",38.046178,-121.849661,NA,NA
