"VisitNo","QAQC","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData","SiteComments","newStation","newLocation"
7274,"true","Mudsucker","AC;ED;GP;KS","Arnold Slough","01/19/2023","ARNO-CH-NE","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",12,10,8.73,898,7.3,84.2,1.02,1.04,24," 1=absent",1," Inside",NA," false"," ","ARNO-CH-NE","Arnold Slough"
8428,"true","Mudsucker","AC;DMC;ED;DH;AM","Arnold Slough","11/28/2023","ARNO-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NE"," 1=high slack",31,10.5,9.01,8153,7.5,20.7,0.29,1.13,37.8," 1=absent",2," Inside",NA," false"," ","ARNO-UNK","Arnold Slough"
8372,"true","Airboat","DMC;ED;DH;SH","Arnold Slough","11/16/2023","ARNO-UNK","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",NA,14.8,8.1,5290,7.3,35,0.34,1.77,42.1," 1=absent",2," Inside",NA," false"," ","ARNO-CH-NE","Arnold Slough"
7275,"true","Mudsucker","AC;ED;GP;KS","Arnold Slough","01/19/2023","ARNO-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," NE"," 4=flood",15,9.1,8.53,1316,7.2,54.5,0.99,1.36,37.6," 1=absent",1," Inside",NA," false"," ","ARNO-UNK","Arnold Slough"
8498,"true","Mudsucker","AC;ED;AM;SS","Arnold Slough","12/26/2023","ARNO-CH-SE","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",64,11.1,9.61,7567,7.4,11,0.18,0.59,16.2," 1=absent",2," Inside",NA," false"," ","ARNO-CH-SE","Arnold Slough"
7586,"true","SeaArk","DMC;SH;GN","Arnold Slough","04/03/2023","ARNO-CH-SE","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 2=ebb",24,13.3,10.03,897,7.6,32.4,0.5,1.17,24.3," 1=absent",1," Inside",NA," false"," flow switched halfway through","ARNO-CH-SE","Arnold Slough"
8427,"true","Mudsucker","AC;DMC;ED;DH;AM","Arnold Slough","11/28/2023","ARNO-CH-S","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NE"," 1=high slack",39,10.3,9,8163,7.4,19.2,0.28,1.13,38.7," 1=absent",2," Inside",NA," false"," ","ARNO-CH-S","Arnold Slough"
8499,"true","Mudsucker","AC;ED;AM;SS","Arnold Slough","12/26/2023","ARNO-CH-S","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",69,10.7,9.25,7694,7.4,9.4,0.22,0.62,17.8," 1=absent",2," Inside",NA," false"," ","ARNO-CH-S","Arnold Slough"
7276,"true","Mudsucker","AC;ED;GP;KS","Arnold Slough","01/19/2023","ARNO-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," NE"," 4=flood",14,9.6,9.08,950,7.3,80.3,1.04,1.05,23.4," 1=absent",1," Inside",NA," false"," ","ARNO-UNK","Arnold Slough"
7685,"true","SeaArk","DMC;SH","Arnold Slough","03/23/2023","ARNO-UNK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",13,12.6,10.27,811,7.6,70.4,0.88,1.75,31.9," 1=absent",1," Inside",NA," false"," GPS #5; accuracy 2m","ARNO-CH-SE","Arnold Slough"
