EventID,StationCode,Datetime,SampleDate,WaterTemp,SpecificConductance,Conductivity,Turbidity,DO,pH,Secchi,Tide,WeatherCode,VegetationRank,SubstrateCode,HabitatType,MicrocystisRank,MethodCode,GearCode,GearConditionCode,SampleAltered,FieldComments,Flag_WQ,Comment_WQ,Duplicated
2063,YB,1/30/1998 13:50,1/30/1998,12.22,NA,NA,NA,NA,NA,NA,NA,CLD,NA,PAV,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2064,YB,1/30/1998 14:45,1/30/1998,12.22,NA,NA,NA,NA,NA,NA,NA,CLD,NA,PAV,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2065,YB,1/30/1998 15:10,1/30/1998,12.22,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
310,PCS,2/2/1998 11:30,2/2/1998,NA,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NV,NA,BSEIN,SEIN50,1,NA,,"NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
43,AL1,2/2/1998 14:00,2/2/1998,11.11,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
44,AL1,2/2/1998 14:10,2/2/1998,11.11,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1186,BL4,2/2/1998 14:38,2/2/1998,10.56,NA,NA,NA,NA,NA,NA,NA,RAN,NA,AVG,NV,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
107,FW1,2/2/1998 15:00,2/2/1998,11.11,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NV,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
108,FW1,2/2/1998 15:20,2/2/1998,11.11,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NV,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1131,SB1,2/4/1998 15:00,2/4/1998,NA,NA,NA,NA,NA,NA,NA,NA,CLR,NA,PAV,NV,NA,BSEIN,SEIN50,1,NA,,"NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
45,AL1,2/4/1998 15:30,2/4/1998,11.67,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1187,BL4,2/5/1998 11:25,2/5/1998,10.56,NA,NA,NA,NA,NA,NA,NA,RAN,NA,AVG,NV,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
2068,YB,2/5/1998 12:00,2/5/1998,11.11,NA,NA,NA,NA,NA,NA,NA,RAN,NA,NA,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
311,PCS,2/5/1998 12:30,2/5/1998,10.56,NA,NA,NA,NA,NA,NA,NA,RAN,NA,AVG,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1188,BL4,2/10/1998 9:55,2/10/1998,10,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1189,BL4,2/10/1998 11:30,2/10/1998,10,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2075,YB,2/11/1998 14:30,2/11/1998,9.44,NA,NA,NA,NA,NA,NA,NA,CLR,NA,PAV,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1132,SB1,2/13/1998 16:05,2/13/1998,11.11,NA,NA,NA,NA,NA,NA,NA,CLD,NA,SND,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1190,BL4,2/18/1998 14:22,2/18/1998,NA,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1191,BL4,2/18/1998 15:15,2/18/1998,NA,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
