"EventID","StationCode","Datetime","SampleDate","WaterTemp","SpecificConductance","Conductivity","Turbidity","DO","pH","Secchi","WeatherCode","VegetationRank","MicrocystisRank","MethodCode","GearCode","GearConditionCode","SampleAltered"
10298,"AL1",2023-07-18 07:15:00,2023-07-18,25.3,742,746,27.7,3.89,7.37,0.33,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10299,"AL3",2023-07-18 07:59:00,2023-07-18,24.9,348,347,33.3,4.53,7.34,0.3,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10305,"BL5",2023-07-18 09:24:00,2023-07-18,23.9,154,150,7.5,7.81,7.93,NA,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10300,"AL4",2023-07-18 10:35:00,2023-07-18,26.8,338,349,32,6.44,7.6,0.26,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10304,"BL4",2023-07-18 13:22:00,2023-07-18,26.9,190,197,12.6,8.05,8.05,0.5,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10303,"BL3",2023-07-18 14:30:00,2023-07-18,27.5,200,209,25.7,8.67,8.21,0.23,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10302,"BL2",2023-07-18 15:23:00,2023-07-18,27.4,265,277,34.2,7.37,7.74,0.18,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10301,"BL1",2023-07-19 11:00:00,2023-07-19,26.9,288,298,28.1,7.48,7.75,0.2,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10313,"BL5",2023-08-01 09:10:00,2023-08-01,21.9,142,133,26.7,7.44,7.22,0.4,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10309,"BL1",2023-08-01 10:23:00,2023-08-01,25.1,245,246,39.6,7.39,7.78,0.24,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10312,"BL4",2023-08-01 11:14:00,2023-08-01,23.4,173,167,10,8.45,8.63,0.79,"CLD",3,NA,"BSEIN","SEIN50","1",NA
10311,"BL3",2023-08-01 12:40:00,2023-08-01,24.6,186,185,19.9,8.22,8.42,0.62,"CLD",3,NA,"BSEIN","SEIN50","1",NA
10310,"BL2",2023-08-01 13:39:00,2023-08-01,25.4,234,236,38.1,7.21,7.85,0.25,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10306,"AL1",2023-08-02 08:32:00,2023-08-02,22.8,385,369,30.4,3.08,7.43,0.12,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10307,"AL3",2023-08-02 09:10:00,2023-08-02,23.7,293,286,33.4,5.18,7.6,0.23,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10308,"AL4",2023-08-02 09:58:00,2023-08-02,24.3,280,276,37.9,6.93,7.91,0.26,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10321,"BL5",2023-08-15 07:30:00,2023-08-15,23.1,142,137,8.6,6.67,7.35,NA,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10320,"BL4",2023-08-15 09:07:00,2023-08-15,25.3,173,174,9.1,7.42,8.04,0.85,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10319,"BL3",2023-08-15 10:06:00,2023-08-15,25.7,183,185,15.1,7.14,7.79,0.48,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10318,"BL2",2023-08-15 10:45:00,2023-08-15,26.4,232,239,28.5,6.3,7.61,0.28,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10317,"BL1",2023-08-15 11:34:00,2023-08-15,28.5,298,317,33.4,5.96,7.63,0.25,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10314,"AL1",2023-08-16 06:51:00,2023-08-16,26.5,798,821,17.7,3.15,7.45,0.43,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10315,"AL3",2023-08-16 07:23:00,2023-08-16,25.2,298,299,27.6,2.91,7.32,0.29,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10316,"AL4",2023-08-16 08:07:00,2023-08-16,26.6,310,319,33.2,5.32,7.57,0.26,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10322,"AL1",2023-08-29 07:25:00,2023-08-29,23.8,697,682,11.5,1.74,7.41,0.35,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10323,"AL3",2023-08-29 07:56:00,2023-08-29,23.9,367,359,30.3,3.29,7.4,0.25,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10324,"AL4",2023-08-29 08:30:00,2023-08-29,24.7,387,385,28.7,5.7,7.66,0.25,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10329,"BL5",2023-08-29 09:41:00,2023-08-29,23,157,151,11.8,12.03,8.89,NA,"CLR",3,NA,"BSEIN","SEIN50","2",NA
10328,"BL4",2023-08-29 10:36:00,2023-08-29,24.3,186,184,14.7,7.17,7.73,0.5,"CLR",2,NA,"BSEIN","SEIN50","1",NA
