"EventID","SeineLength","SeineWidth","SeineDepth","Volume","SubstrateCode","HabitatType","SeineComments","Tide_Seine","ConditionCode"
10298,26,5,0.8,104,"MUD","VEG","","High",NA
10299,30,5,0.8,120,"MUD","RIP","Went 3m downstream.","Ebb",NA
10300,30,5,0.7,105,"MUD","VEG","","Ebb",NA
10301,30,4,0.6,72,"MUD","VEG","","Ebb",NA
10302,30,5,0.5,75,"MUD","RIP","10+ crayfish","Flood",NA
10303,30,5,0.5,75,"MUD","RIP","","Ebb",NA
10304,30,4,0.6,72,"MUD","RIP","","Ebb",NA
10305,30,8,0.9,216,"AVG","VEG","Too clear/shallow for secchi - over 1 m.","Ebb",NA
10306,23,5,0.8,92,"MUD","RIP","Sampling shortned due to veg.","Flood",NA
10307,30,5,0.9,135,"MUD","VEG","Sampled 3m downstream due to primrose, went over ~2m primrose patch.","Flood",NA
10308,30,5,0.8,120,"MUD","VEG","","Flood",NA
10309,30,5,0.7,105,"MUD","VEG","","Ebb",NA
10310,30,5,0.4,60,"MUD","RIP","","Flood",NA
10311,30,5,0.5,75,"MUD","RIP","10 corbicula. High filamentous algae created high morts.","Ebb",NA
10312,30,4,1,120,"MUD","RIP","Veg caused high mortality - filamentous algae","Ebb",NA
10313,30,8,0.8,192,"AVG","VEG","","Ebb",NA
10314,24,5,0.7,84,"MUD","VEG","Shortened length due to veg.","Flood",NA
10315,30,5,0.8,120,"MUD","VEG","Moved ~3m upstream due to veg. ~2m.","Flood",NA
10316,30,5,0.8,120,"MUD","VEG","","High",NA
10317,30,5,0.5,75,"MUD","VEG","","Ebb",NA
10318,30,5,0.6,90,"MUD","RIP","","Ebb",NA
10319,30,5,0.8,120,"MUD","RIP","","Ebb",NA
10320,30,4,1.2,144,"MUD","RIP","","Ebb",NA
10321,30,8,1,240,"AVG","VEG","Too clear/deep for secchi; filamentous algae.","Ebb",NA
10322,24,5,0.7,84,"MUD","VEG","Sample shortened due to vegetation. FAL = Felipe La Luz. Found a LP in mouth of SPB!","Ebb",NA
10323,28,5,0.7,98,"MUD","VEG","Went ~3m upstream and shortened due to primrose.","Ebb",NA
10324,30,5,0.6,90,"MUD","VEG","","Ebb",NA
10325,30,5,0.6,90,"MUD","VEG","","Ebb",NA
10326,30,5,0.4,60,"MUD","RIP","","Ebb",NA
10327,30,5,0.6,90,"MUD","RIP","","Ebb",NA
10328,30,4,0.9,108,"MUD","RIP","Saw a sea lion!","Ebb",NA
10329,30,8,0.5,120,"AVG","VEG","Too clear/shallow for secchi. Went over ~15m of heavy veg.","Ebb",NA
10331,24,5,0.7,84,"MUD","VEG","Shortened seine due to veg.","Ebb",NA
10332,27,5,0.7,94.5,"MUD","VEG","Sample shortened due to vegetation.","Ebb",NA
10333,30,5,0.7,105,"MUD","VEG","","Ebb",NA
10334,30,5,0.5,75,"MUD","VEG","","Ebb",NA
10335,30,5,0.4,60,"MUD","VEG","","Flood",NA
10336,30,5,0.4,60,"MUD","RIP","10+ corbicula!","Low",NA
10337,30,4,0.7,84,"MUD","RIP","10 Corbicula","Ebb",NA
10338,NA,NA,NA,NA,NA,"VEG","Too clear/deep for secchi,. Vegetation too thick (surfacing), couldn't sein","Ebb",NA
10339,23,5,0.6,69,"MUD","RIP","BM = Brian Mahardja; Length shortened due to primrose","Ebb",NA
10340,28,5,0.8,112,"MUD","RIP","BM = Brian Mahardja","Ebb",NA
10341,30,5,0.6,90,"MUD","VEG","BM = Brian Mahardja","Low",NA
10342,30,5,0.6,90,"MUD","VEG","BM = Brian Mahardja","Flood",NA
10343,30,5,0.7,105,"MUD","RIP","BM = Brian Mahardja","Flood",NA
10344,30,5,0.8,120,"MUD","RIP","BM = Brian Mahardja; corbicula 10+","Flood",NA
10345,30,4,0.8,96,"MUD","RIP","corbicula 20+. SAV 12 x 3m near shore interrupted the sein . BM = Brian Mahardja(USBR)","Flood",NA
10346,NA,NA,NA,NA,"AVG","VEG","Couldn't seine due to vegetation.","Ebb",NA
10356,24,5,0.6,72,"MUD","VEG","Site shortened because of vegetation","Ebb",NA
10357,28,5,0.6,84,"MUD","VEG","Site shortened because of vegetation","Flood",NA
10358,30,5,0.4,60,"MUD","RIP","","Low",NA
10359,30,5,0.5,75,"MUD","VEG","","Ebb",NA
10360,30,5,0.4,60,"MUD","RIP","","Low",NA
10361,30,5,0.4,60,"MUD","RIP","10+ Corbicula","Low",NA
10362,30,4,0.8,96,"MUD","RIP","","Ebb",NA
10370,23,5,0.5,57.5,"MUD","RIP","Seine shortened due to vegetation.","Flood",NA
10371,27,5,0.6,81,"MUD","RIP","Shortened seine b/c of primrose.","Flood",NA
10372,30,5,0.5,75,"MUD","VEG","","Ebb",NA
10373,30,5,0.4,60,"MUD","VEG","Took water quality after trap was rolled down (high NTU).","Ebb",NA
10374,30,5,0.5,75,"MUD","RIP","","Flood",NA
