"","OrganismCode","EventID","StationCode","Datetime","SampleDate","WaterTemp","SpecificConductance","Conductivity","Turbidity","DO","pH","Secchi","WeatherCode","VegetationRank","MicrocystisRank","MethodCode","GearCode","GearConditionCode","SampleAltered","SampleDate2","year","month","SampleID","Count","OrganismID","OrganismCode.y","FishCode","Code_UCDAVIS","CommonName","Category","Species","Genus","Family","Order","Class","Phylum","Native","State.Status","Federal.Status","Status.Abrev","LifeStage","FishDiet","Legend_Clams","Legend_Fish_Color_hex","Legend_Fish","Legend_Macro","Legend_Meso","Analy","Analy2","CN","Season"
"1","AMM",10140,"STTD","4/13/2023 9:02","4/13/2023",16.5,578,484,17.7,8.87,8.3,0.33,"CLR",2,NA,"RSTR","RSTR8",1,NA,2023-04-13,2023,4,"20230413_0902_STTD_AMM",0,110302,"110302","","","Ammocoete Lamprey","Fish","","Lampetra","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Native","","","","",NA,"",NA,"Lamprey Ammocoete","","","","","Ammocoete Lamprey","Spring"
"2","AMM",10018,"STTD","2/2/2023 10:34","2/2/2023",6.7,470,305,91.8,9.18,7.57,0.12,"CLD",2,NA,"RSTR","RSTR8",1,NA,2023-02-02,2023,2,"20230202_1034_STTD_AMM",0,110302,"110302","","","Ammocoete Lamprey","Fish","","Lampetra","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Native","","","","",NA,"",NA,"Lamprey Ammocoete","","","","","Ammocoete Lamprey","Winter"
"3","AMM",10219,"STTD","5/24/2023 8:21","5/24/2023",20.6,338,309,13.5,8.57,8.64,0.54,"CLR",2,NA,"RSTR","RSTR8",1,NA,2023-05-24,2023,5,"20230524_0821_STTD_AMM",0,110302,"110302","","","Ammocoete Lamprey","Fish","","Lampetra","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Native","","","","",NA,"",NA,"Lamprey Ammocoete","","","","","Ammocoete Lamprey","Spring"
"4","AMM",10218,"STTD","5/23/2023 11:09","5/23/2023",22.2,396,375,19.9,8.04,8.42,0.35,"CLR",2,NA,"RSTR","RSTR8",1,NA,2023-05-23,2023,5,"20230523_1109_STTD_AMM",0,110302,"110302","","","Ammocoete Lamprey","Fish","","Lampetra","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Native","","","","",NA,"",NA,"Lamprey Ammocoete","","","","","Ammocoete Lamprey","Spring"
"5","AMM",10045,"STTD","2/17/2023 11:03","2/17/2023",9.2,731,510,16.7,10.18,8.02,0.33,"CLR",2,NA,"RSTR","RSTR8",1,NA,2023-02-17,2023,2,"20230217_1103_STTD_AMM",0,110302,"110302","","","Ammocoete Lamprey","Fish","","Lampetra","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Native","","","","",NA,"",NA,"Lamprey Ammocoete","","","","","Ammocoete Lamprey","Winter"
"6","AMM",10017,"STTD","2/1/2023 10:30","2/1/2023",6.1,448,286,101,9.62,7.59,0.11,"CLR",3,NA,"RSTR","RSTR8",2,NA,2023-02-01,2023,2,"20230201_1030_STTD_AMM",0,110302,"110302","","","Ammocoete Lamprey","Fish","","Lampetra","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Native","","","","",NA,"",NA,"Lamprey Ammocoete","","","","","Ammocoete Lamprey","Winter"
"7","AMM",10058,"STTD","2/28/2023 10:44","2/28/2023",7.6,780,520,18,10.55,8.07,0.31,"RAN",2,NA,"RSTR","RSTR8",1,NA,2023-02-28,2023,2,"20230228_1044_STTD_AMM",0,110302,"110302","","","Ammocoete Lamprey","Fish","","Lampetra","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Native","","","","",NA,"",NA,"Lamprey Ammocoete","","","","","Ammocoete Lamprey","Winter"
"8","AMM",10055,"STTD","2/23/2023 10:57","2/23/2023",9.7,720,510,23.5,10.44,8.09,0.33,"CLD",2,NA,"RSTR","RSTR8",1,NA,2023-02-23,2023,2,"20230223_1057_STTD_AMM",0,110302,"110302","","","Ammocoete Lamprey","Fish","","Lampetra","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Native","","","","",NA,"",NA,"Lamprey Ammocoete","","","","","Ammocoete Lamprey","Winter"
"9","AMM",10180,"STTD","5/5/2023 9:41","5/5/2023",17.3,675,576,24.4,5.74,7.69,0.31,"CLD",2,NA,"RSTR","RSTR8",1,NA,2023-05-05,2023,5,"20230505_0941_STTD_AMM",0,110302,"110302","","","Ammocoete Lamprey","Fish","","Lampetra","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Native","","","","",NA,"",NA,"Lamprey Ammocoete","","","","","Ammocoete Lamprey","Spring"
"10","AMM",10105,"STTD","4/3/2023 13:15","4/3/2023",13.7,455,357,44.2,10.33,8.22,0.19,"CLR",2,NA,"RSTR","RSTR8",1,NA,2023-04-03,2023,4,"20230403_1315_STTD_AMM",0,110302,"110302","","","Ammocoete Lamprey","Fish","","Lampetra","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi","Chordata","Native","","","","",NA,"",NA,"Lamprey Ammocoete","","","","","Ammocoete Lamprey","Spring"
