"","SampleID_frp","OrganismCode","OrganismId","SampleID_key","VisitNo","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","Flagged_Data","QAQC.y","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","Visit.Date2","year","month","DateTime","Season","DepthSource2","DepthOfWater2","DepthOfWater3","DepthMeters","volume","rotations","rotation.final","rpm","FishId","TotalCatch","PlusCount","IDer","IdDate","PercentSampled","FishCatchNotes","EntryOrder","FishLength","FishWeight","Hai","FinsHai","SkinHai","EyesHai","ParasiteHai","GillsHai","DeformHai","TagYear","TagSerial","AdClip","Mortality","FishLengthComments","FishCode","Code_UCDAVIS","Code_YBFM","CommonName","Category","Species","Genus","Family","Order","Class","Phylum","Native","State.Status","Federal.Status","Status.Abrev","LifeStage","FishDiet","Legend_Clams","Legend_Fish_Color_hex","Legend_Fish","Legend_Macro","Legend_Meso","Analy","Analy2","CN","length_count","fish4.SampleID_frp","fish4.CommonName","count_check","CPUEbySpp","CPUEbySpp2","tCPUE","PercentComp","fish5.SampleID_frp","fish5.CommonName","Legend2"
"1","BEASEI01-HORS-15DEC2022",197,315,12124,7126,"true","Seine","BEASEI",NA,"1. No twists; snags; or tears"," 2= against flow"," ",0.9,NA,7.5,10,"","09:20","",NA,NA,NA,38.098557,121.70943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," ",NA,"",2,NA," 0%"," ",NA,""," gearid bs02; dominant vegetation in sample: egeden",NA,"true","Mudsucker","AC;DMC;ED;GP","Horseshoe Bend","12/15/2022","HORS-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",180,9.5,10.27,355,7.5,10.1,0.24,0.3,12.9," 1=absent",2," Inside",NA," false"," SECCHI DEEPER THAN DEPTH",2022-12-15,2022,12,"2022-12-15 09:20","Fall","",0.9,0.9,0.9,33.75,NA,NA,NA,14085,143,113,NA,NA,NA,"",26555,48,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"BEASEI01-HORS-15DEC2022","Mississippi Silverside",0,42370.3703703704,42370.3703703704,42666.6666666667,0.993055555555555,"BEASEI01-HORS-15DEC2022","Mississippi Silverside","Mississippi Silverside"
"2","BEASEI01-HORS-15DEC2022",994,535,12124,7126,"true","Seine","BEASEI",NA,"1. No twists; snags; or tears"," 2= against flow"," ",0.9,NA,7.5,10,"","09:20","",NA,NA,NA,38.098557,121.70943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," ",NA,"",2,NA," 0%"," ",NA,""," gearid bs02; dominant vegetation in sample: egeden",NA,"true","Mudsucker","AC;DMC;ED;GP","Horseshoe Bend","12/15/2022","HORS-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",180,9.5,10.27,355,7.5,10.1,0.24,0.3,12.9," 1=absent",2," Inside",NA," false"," SECCHI DEEPER THAN DEPTH",2022-12-15,2022,12,"2022-12-15 09:20","Fall","",0.9,0.9,0.9,33.75,NA,NA,NA,14086,1,0,NA,NA,NA,"",26569,91,NA,"true",0,0,0,0,0,0,NA,"","false","false","","YELGOB","YFG","YFG","Yellowfin Goby","Fish","flavimanus","Acanthogobius","Oxudercidae","Gobiiformes","Actinopterygii","Chordata","Introduced","","","","",FALSE,"Present",NA,"Yellowfin Goby","Fish Larvae","Fish Larvae","fish","fish","Yellowfin Goby",1,"BEASEI01-HORS-15DEC2022","Yellowfin Goby",0,296.296296296296,296.296296296296,42666.6666666667,0.00694444444444444,"BEASEI01-HORS-15DEC2022","Yellowfin Goby","Yellowfin Goby"
"3","BEASEI01-HORS-30NOV2022",197,315,12216,7214,"true","Seine","BEASEI",NA,"1. No twists; snags; or tears"," "," ",1,NA,10.75,8,"","09:23","",NA,NA,NA,38.097474,121.709693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," ",NA,"",2,NA," 0%"," ",NA,""," gps 5; accuracy 2m. not paired",NA,"true","Mudsucker","AC;ED;GP;KS","Horseshoe Bend","11/30/2022","HORS-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",NA,11.1,10.41,3064,7.7,12.5,0.26,0.35,6," 1=absent",2," ",NA," false"," ",2022-11-30,2022,11,"2022-11-30 09:23","Fall","",1,1,1,43,NA,NA,NA,14280,231,201,NA,NA,NA,"",27676,50,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"BEASEI01-HORS-30NOV2022","Mississippi Silverside",0,53720.9302325581,53720.9302325581,53720.9302325581,1,"BEASEI01-HORS-30NOV2022","Mississippi Silverside","Mississippi Silverside"
"4","BEASEI01-TULE-29NOV2022",197,315,12214,7212,"true","Seine","BEASEI",NA,"1. No twists; snags; or tears"," "," ",0.4,NA,15,13,"","09:10","",NA,NA,NA,38.118129,121.97742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," ",NA,"",2,NA," 0%"," ",NA,""," gps 5; accuracy 2m. not paired. possible missil too small to id; lots of mud in net; water quality taken from bucket; unid silversides all <25mm",NA,"true","Truck","MA;ED;GP","Tule Red","11/29/2022","TULE-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,9.5,10.08,20650,7.3,5.1,0.66,4.4,17.8," 1=absent",2," Inside",NA," false"," ",2022-11-29,2022,11,"2022-11-29 09:10","Fall","",0.4,0.4,0.4,39,NA,NA,NA,14275,120,90,NA,NA,NA,"",27625,43,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"BEASEI01-TULE-29NOV2022","Mississippi Silverside",0,30769.2307692308,30769.2307692308,31794.8717948718,0.967741935483871,"BEASEI01-TULE-29NOV2022","Mississippi Silverside","Mississippi Silverside"
"5","BEASEI01-TULE-29NOV2022",619,1183,12214,7212,"true","Seine","BEASEI",NA,"1. No twists; snags; or tears"," "," ",0.4,NA,15,13,"","09:10","",NA,NA,NA,38.118129,121.97742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," ",NA,"",2,NA," 0%"," ",NA,""," gps 5; accuracy 2m. not paired. possible missil too small to id; lots of mud in net; water quality taken from bucket; unid silversides all <25mm",NA,"true","Truck","MA;ED;GP","Tule Red","11/29/2022","TULE-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,9.5,10.08,20650,7.3,5.1,0.66,4.4,17.8," 1=absent",2," Inside",NA," false"," ",2022-11-29,2022,11,"2022-11-29 09:10","Fall","",0.4,0.4,0.4,39,NA,NA,NA,14276,4,4,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","",NA,"SSU","","Silverside UNID","Fish",NA,NA,"Atherinopsidae","Atheriniformes","Actinopterygii","Chordata",NA,"","","","larvae",FALSE,"Present",NA,"Atherinopsidae larvae","Fish Larvae","Fish Larvae","fish","fish",NA,1,"BEASEI01-TULE-29NOV2022","Silverside UNID",-1,1025.64102564103,1025.64102564103,31794.8717948718,0.032258064516129,"BEASEI01-TULE-29NOV2022","Silverside UNID","Atherinopsidae larvae"
"6","BEASEI02-HORS-15DEC2022",197,315,12126,7128,"true","Seine","BEASEI",NA,"1. No twists; snags; or tears"," 2= against flow"," ",0.8,NA,8.5,10,"","09:57","",NA,NA,NA,38.081473,121.719647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," ",NA,"",1,NA," 1-33%"," ",NA,""," gps 5 accuracy 2m; not paired; dominant vegetation in net: hyacinth.",NA,"true","Mudsucker","AC;DMC;ED;GP","Horseshoe Bend","12/15/2022","HORS-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",NA,9.4,10.35,300,7.5,8.3,0.24,0.31,13," 1=absent",2," Inside",NA," false"," ",2022-12-15,2022,12,"2022-12-15 09:57","Fall","",0.8,0.8,0.8,34,NA,NA,NA,14087,926,896,NA,NA,NA,"",26592,50,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"BEASEI02-HORS-15DEC2022","Mississippi Silverside",0,272352.941176471,272352.941176471,273235.294117647,0.996770721205598,"BEASEI02-HORS-15DEC2022","Mississippi Silverside","Mississippi Silverside"
"7","BEASEI02-HORS-15DEC2022",8,115,12126,7128,"true","Seine","BEASEI",NA,"1. No twists; snags; or tears"," 2= against flow"," ",0.8,NA,8.5,10,"","09:57","",NA,NA,NA,38.081473,121.719647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," ",NA,"",1,NA," 1-33%"," ",NA,""," gps 5 accuracy 2m; not paired; dominant vegetation in net: hyacinth.",NA,"true","Mudsucker","AC;DMC;ED;GP","Horseshoe Bend","12/15/2022","HORS-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",NA,9.4,10.35,300,7.5,8.3,0.24,0.31,13," 1=absent",2," Inside",NA," false"," ",2022-12-15,2022,12,"2022-12-15 09:57","Fall","",0.8,0.8,0.8,34,NA,NA,NA,14091,1,1,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","CORBIC","CORBICULA","","Corbicula","Fish","fluminea","Corbicula","Corbiculidae","Veneroida","Bivalvia","Mollusca","","","","","adult",FALSE,"Corbicula",NA,"","Bivalvia","Other","Bivalvia","Mollusca","Corbicula",NA,"BEASEI02-HORS-15DEC2022","Corbicula",NA,294.117647058824,0,273235.294117647,0,"BEASEI02-HORS-15DEC2022","Corbicula",""
"8","BEASEI02-HORS-15DEC2022",970,449,12126,7128,"true","Seine","BEASEI",NA,"1. No twists; snags; or tears"," 2= against flow"," ",0.8,NA,8.5,10,"","09:57","",NA,NA,NA,38.081473,121.719647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," ",NA,"",1,NA," 1-33%"," ",NA,""," gps 5 accuracy 2m; not paired; dominant vegetation in net: hyacinth.",NA,"true","Mudsucker","AC;DMC;ED;GP","Horseshoe Bend","12/15/2022","HORS-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",NA,9.4,10.35,300,7.5,8.3,0.24,0.31,13," 1=absent",2," Inside",NA," false"," ",2022-12-15,2022,12,"2022-12-15 09:57","Fall","",0.8,0.8,0.8,34,NA,NA,NA,14090,1,0,NA,NA,NA,"",26602,28,NA,"true",0,0,0,0,0,0,NA,"","false","false","","SHIGOB","SG","SHM","Shimofuri Goby","Fish","bifasciatus","Tridentiger","Oxudercidae","Gobiiformes","Actinopterygii","Chordata","Introduced","","","","",FALSE,"Present",NA,"Shimofuri Goby","Fish Larvae","Fish Larvae","fish","fish","Shimofuri Goby",1,"BEASEI02-HORS-15DEC2022","Shimofuri Goby",0,294.117647058824,294.117647058824,273235.294117647,0.00107642626480086,"BEASEI02-HORS-15DEC2022","Shimofuri Goby","Shimofuri Goby"
"9","BEASEI02-HORS-15DEC2022",981,505,12126,7128,"true","Seine","BEASEI",NA,"1. No twists; snags; or tears"," 2= against flow"," ",0.8,NA,8.5,10,"","09:57","",NA,NA,NA,38.081473,121.719647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," ",NA,"",1,NA," 1-33%"," ",NA,""," gps 5 accuracy 2m; not paired; dominant vegetation in net: hyacinth.",NA,"true","Mudsucker","AC;DMC;ED;GP","Horseshoe Bend","12/15/2022","HORS-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",NA,9.4,10.35,300,7.5,8.3,0.24,0.31,13," 1=absent",2," Inside",NA," false"," ",2022-12-15,2022,12,"2022-12-15 09:57","Fall","",0.8,0.8,0.8,34,NA,NA,NA,14088,1,0,NA,NA,NA,"",26600,41,NA,"true",0,0,0,0,0,0,NA,"","false","false","","THRSHA","TFS","TFS","Threadfin Shad","Fish","petenense","Dorosoma","Clupeidae","Clupeiformes","Actinopterygii","Chordata","Introduced","","","","",FALSE,"Present",NA,"Threadfin Shad","Fish Larvae","Fish Larvae","fish","fish","Threadfin Shad",1,"BEASEI02-HORS-15DEC2022","Threadfin Shad",0,294.117647058824,294.117647058824,273235.294117647,0.00107642626480086,"BEASEI02-HORS-15DEC2022","Threadfin Shad","Threadfin Shad"
"10","BEASEI02-HORS-15DEC2022",994,535,12126,7128,"true","Seine","BEASEI",NA,"1. No twists; snags; or tears"," 2= against flow"," ",0.8,NA,8.5,10,"","09:57","",NA,NA,NA,38.081473,121.719647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," ",NA,"",1,NA," 1-33%"," ",NA,""," gps 5 accuracy 2m; not paired; dominant vegetation in net: hyacinth.",NA,"true","Mudsucker","AC;DMC;ED;GP","Horseshoe Bend","12/15/2022","HORS-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",NA,9.4,10.35,300,7.5,8.3,0.24,0.31,13," 1=absent",2," Inside",NA," false"," ",2022-12-15,2022,12,"2022-12-15 09:57","Fall","",0.8,0.8,0.8,34,NA,NA,NA,14089,1,0,NA,NA,NA,"",26601,95,NA,"true",0,0,0,0,0,0,NA,"","false","false","","YELGOB","YFG","YFG","Yellowfin Goby","Fish","flavimanus","Acanthogobius","Oxudercidae","Gobiiformes","Actinopterygii","Chordata","Introduced","","","","",FALSE,"Present",NA,"Yellowfin Goby","Fish Larvae","Fish Larvae","fish","fish","Yellowfin Goby",1,"BEASEI02-HORS-15DEC2022","Yellowfin Goby",0,294.117647058824,294.117647058824,273235.294117647,0.00107642626480086,"BEASEI02-HORS-15DEC2022","Yellowfin Goby","Yellowfin Goby"
